03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,_runtime,_timestamp,04_peers/peer_2_epoch_oos,03_hivemind/overshot_TBS,04_peers/peer_4_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,_step,04_peers/peer_3_epoch,04_peers/peer_4_epoch,03_hivemind/per_epoch_training_samples
0,,129,1,10915.94,,,,,2.9900413765194966,2.9900413765194966,,,,,,,,,,,128,,,,0,10.0,49,1681396898.0,,,,,,,0,,,
0,0.0,421,1,2038.63,128.0,,,,15.866835248540662,15.866835248540662,0.0,,,,,,,,,,416,,,,0,10.0,50,1681396899.0,,,,,2.99,,1,,,
0,0.0,720,1,734.53,416.0,,,,43.630641992890254,43.630641992890254,0.0,,,,,,,,,,704,,,,0,10.0,51,1681396900.0,,,,,15.87,,2,,,
0,0.0,1052,1,322.16,704.0,,,,98.4477690956682,98.4477690956682,0.0,,,,,,,,,,1024,,,,0,10.0,52,1681396901.0,,,,,43.63,,3,,,
0,0.0,1362,1,198.69,1024.0,,,,158.06876166737794,158.06876166737794,0.0,,,,,,,,,,1312,,,,0,10.0,54,1681396903.0,,,,,98.45,,4,,,
0,0.0,1672,1,151.99,1312.0,,,,204.59310937515318,204.59310937515318,0.0,,,,,,,,,,1600,,,,0,10.0,55,1681396904.0,,,,,158.07,,5,,,
0,0.0,1983,1,132.21,1600.0,,,,232.84865264325344,232.84865264325344,0.0,,,,,,,,,,1920,,,,0,10.0,56,1681396905.0,,,,,204.59,,6,,,
0,0.0,2285,1,124.75,1920.0,,,,244.3489121828457,244.3489121828457,0.0,,,,,,,,,,2208,,,,0,10.0,57,1681396906.0,,,,,232.85,,7,,,
0,0.0,2793,2,102.27,2208.0,,,,293.10741571415826,293.10741571415826,0.0,,,,,,,,,,2688,,,,0,10.0,58,1681396907.0,,,,,244.35,,8,,,
0,0.0,4085,4,57.8,2496.0,,,,496.2401962516806,496.2401962516806,0.0,0.0,,44.06,,,,,192.0,,3872,,,,0,10.0,60,1681396909.0,0.0,,,,249.05,,9,,,
0,0.0,5439,4,36.92,2816.0,,54.2,,740.1278671485593,740.1278671485593,0.0,0.0,0.0,130.18,,,,,512.0,256.0,5216,,61.14,,0,10.0,61,1681396910.0,0.0,,0.0,,250.72,288.0,10,0.0,0.0,
0,0.0,6692,4,29.43,3136.0,,136.06,,886.0239550244041,886.0239550244041,0.0,0.0,0.0,202.22,,,,,864.0,576.0,6432,,150.45,,0,10.0,62,1681396911.0,0.0,,0.0,,251.41,640.0,11,0.0,0.0,
0,0.0,10098,5,18.07,3456.0,,198.72,,1254.4636224966027,1254.4636224966027,0.0,0.0,0.0,232.24,,,,,1152.0,896.0,9696,,204.0,,0,10.0,63,1681396912.0,0.0,,0.0,,251.06,928.0,12,0.0,0.0,
0,0.0,13547,5,11.38,3744.0,,228.37,293.65,1689.1571939551043,1689.1571939551043,0.0,0.0,0.0,246.28,2048.0,0.0,,,1472.0,1184.0,12960,,234.64,,0,7.11,65,1681396914.0,0.0,,0.0,0.0,251.52,1248.0,13,0.0,0.0,
0,0.0,16926,5,7.66,4064.0,,243.07,697.36,2068.0892891554386,2068.0892891554386,0.0,0.0,0.0,251.47,4096.0,0.0,,,1760.0,1504.0,15968,,246.55,,0,4.79,66,1681396915.0,0.0,,0.0,0.0,250.7,1536.0,14,0.0,0.0,
0,0.0,20026,5,5.53,4352.0,,248.33,1064.63,2302.9539816641345,2302.9539816641345,0.0,0.0,0.0,253.61,5888.0,0.0,,,2080.0,1792.0,19232,,251.29,,0,3.46,67,1681396916.0,0.0,,0.0,0.0,250.23,1856.0,15,0.0,0.0,
0,0.0,23505,5,3.63,4672.0,,250.05,1295.72,2555.0852918351725,2555.0852918351725,0.0,0.0,0.0,254.23,7936.0,0.0,,,2368.0,2112.0,22496,,253.14,,0,2.27,68,1681396917.0,0.0,,0.0,0.0,249.81,2144.0,16,0.0,0.0,
0,0.0,26412,5,2.53,4960.0,,250.41,1546.34,2516.4935354244076,2516.4935354244076,0.0,0.0,0.0,254.45,9984.0,0.0,,,2688.0,2400.0,25504,,253.64,,0,1.58,69,1681396918.0,0.0,,0.0,0.0,250.25,2464.0,17,0.0,0.0,
0,0.0,29484,5,1.29,5248.0,,250.99,1507.76,2545.7999951880997,2545.7999951880997,0.0,0.0,0.0,254.31,11776.0,0.0,,,3008.0,2720.0,28512,,253.53,,0,0.81,71,1681396920.0,0.0,,0.0,0.0,249.91,2752.0,18,0.0,0.0,
0,0.0,32372,5,0.16,5568.0,,251.11,1537.17,2480.2040938089544,2480.2040938089544,0.0,0.0,0.0,254.09,13568.0,0.0,,,3296.0,3008.0,31552,,253.76,,0,0.5,72,1681396921.0,0.0,,0.0,0.0,249.66,3072.0,19,0.0,0.0,
0,0.0,35248,5,0.0,5856.0,,251.11,1471.09,2416.415262470873,2416.415262470873,0.0,0.0,0.0,254.01,15360.0,0.0,,,3616.0,3328.0,34112,,253.7,,0,0.5,73,1681396922.0,0.0,,0.0,0.0,250.3,3392.0,20,0.0,0.0,
0,0.0,38150,5,0.0,6016.0,,250.54,1408.56,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.86,16896.0,0.0,,,3904.0,3616.0,36384,,253.77,,0,0.5,74,1681396923.0,0.0,,0.0,0.0,249.68,3680.0,21,0.0,0.0,
0,0.0,40996,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,75,1681396924.0,0.0,,0.0,0.0,249.68,3808.0,22,0.0,0.0,
0,0.0,43844,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,77,1681396926.0,0.0,,0.0,0.0,249.68,3808.0,23,0.0,0.0,
0,0.0,46914,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,78,1681396927.0,0.0,,0.0,0.0,249.68,3808.0,24,0.0,0.0,
0,0.0,49773,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,79,1681396928.0,0.0,,0.0,0.0,249.68,3808.0,25,0.0,0.0,
0,0.0,52663,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,80,1681396929.0,0.0,,0.0,0.0,249.68,3808.0,26,0.0,0.0,
0,0.0,55529,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,82,1681396931.0,0.0,,0.0,0.0,249.68,3808.0,27,0.0,0.0,
0,0.0,58401,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,83,1681396932.0,0.0,,0.0,0.0,249.68,3808.0,28,0.0,0.0,
0,0.0,61271,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,84,1681396933.0,0.0,,0.0,0.0,249.68,3808.0,29,0.0,0.0,
0,0.0,64143,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,85,1681396934.0,0.0,,0.0,0.0,249.68,3808.0,30,0.0,0.0,
0,0.0,67009,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,86,1681396935.0,0.0,,0.0,0.0,249.68,3808.0,31,0.0,0.0,
0,0.0,69872,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,88,1681396937.0,0.0,,0.0,0.0,249.68,3808.0,32,0.0,0.0,
0,0.0,72741,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,89,1681396938.0,0.0,,0.0,0.0,249.68,3808.0,33,0.0,0.0,
0,0.0,75613,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,90,1681396939.0,0.0,,0.0,0.0,249.68,3808.0,34,0.0,0.0,
0,0.0,78491,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,91,1681396940.0,0.0,,0.0,0.0,249.68,3808.0,35,0.0,0.0,
0,0.0,81358,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,92,1681396941.0,0.0,,0.0,0.0,249.68,3808.0,36,0.0,0.0,
0,0.0,84224,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,94,1681396943.0,0.0,,0.0,0.0,249.68,3808.0,37,0.0,0.0,
0,0.0,87077,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,95,1681396944.0,0.0,,0.0,0.0,249.68,3808.0,38,0.0,0.0,
0,0.0,89950,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,96,1681396945.0,0.0,,0.0,0.0,249.68,3808.0,39,0.0,0.0,
0,0.0,92818,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,97,1681396946.0,0.0,,0.0,0.0,249.68,3808.0,40,0.0,0.0,
0,0.0,95897,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,98,1681396947.0,0.0,,0.0,0.0,249.68,3808.0,41,0.0,0.0,
0,0.0,98753,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,100,1681396949.0,0.0,,0.0,0.0,249.68,3808.0,42,0.0,0.0,
0,0.0,101633,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,101,1681396950.0,0.0,,0.0,0.0,249.68,3808.0,43,0.0,0.0,
0,0.0,104503,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,102,1681396951.0,0.0,,0.0,0.0,249.68,3808.0,44,0.0,0.0,
0,0.0,107369,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,103,1681396952.0,0.0,,0.0,0.0,249.68,3808.0,45,0.0,0.0,
0,0.0,110220,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,105,1681396954.0,0.0,,0.0,0.0,249.68,3808.0,46,0.0,0.0,
0,0.0,113091,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,106,1681396955.0,0.0,,0.0,0.0,249.68,3808.0,47,0.0,0.0,
0,0.0,115982,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,107,1681396956.0,0.0,,0.0,0.0,249.68,3808.0,48,0.0,0.0,
0,0.0,118849,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,108,1681396957.0,0.0,,0.0,0.0,249.68,3808.0,49,0.0,0.0,
0,0.0,121719,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,109,1681396958.0,0.0,,0.0,0.0,249.68,3808.0,50,0.0,0.0,
0,0.0,124594,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,111,1681396960.0,0.0,,0.0,0.0,249.68,3808.0,51,0.0,0.0,
0,0.0,127443,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,112,1681396961.0,0.0,,0.0,0.0,249.68,3808.0,52,0.0,0.0,
0,0.0,130308,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,113,1681396962.0,0.0,,0.0,0.0,249.68,3808.0,53,0.0,0.0,
0,0.0,133168,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,114,1681396963.0,0.0,,0.0,0.0,249.68,3808.0,54,0.0,0.0,
0,0.0,136020,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,115,1681396964.0,0.0,,0.0,0.0,249.68,3808.0,55,0.0,0.0,
0,0.0,138902,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,117,1681396966.0,0.0,,0.0,0.0,249.68,3808.0,56,0.0,0.0,
0,0.0,141766,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,118,1681396967.0,0.0,,0.0,0.0,249.68,3808.0,57,0.0,0.0,
0,0.0,144632,5,0.0,6016.0,,250.66,1367.77,2375.9417470249655,2375.9417470249655,0.0,0.0,0.0,253.99,18688.0,0.0,,,4064.0,3808.0,36384,,253.84,,0,0.5,119,1681396968.0,0.0,,0.0,0.0,249.68,3808.0,58,0.0,0.0,
