_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1681397527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1681397527,1.7333333333333332,0.0,0.0,1190.998016,0.0,21.0,0.22510596963782017,177.995776,0.0,394.166272,0.0,0.0,0.0,0.03333333333333333,0.0,0.2523915383311204,208136.429568,2.719744,133.0,0.0,2481.02912,0.0,15.0,1.4,0.9666666666666666,9963.39712,56.0,,,,,,,,,,,,,,
2,1,,,1681397528,1.7333333333333332,0.0,0.008000000000009777,1324.904448,0.01225200030617048,3075.0,0.4561158083480756,180.604928,3.0,396.86144,0.0,0.0,0.0,0.03333333333333333,1556.0,1.2392228280359645,208002.523136,2.719744,143.0,0.0,2489.552896,0.0,3039.0,1.5,0.9666666666666666,10038.902784,56.0,,,,,,,,,,,,,,
3,2,,,1681397529,1.7333333333333332,0.0,0.012000000000000455,1327.02208,0.004085845553305744,3760.0,0.046787719625532256,180.604928,4.0,396.869632,0.0,0.0,0.0,0.03333333333333333,2035.0,0.04804858604585644,208000.405504,2.719744,143.0,0.0009999999999763531,2489.565184,0.0,3640.0,1.5,0.9666666666666666,10038.902784,56.0,,,,,,,,,,,,,,
4,3,,,1681397530,1.7333333333333332,0.0,0.016000000000019554,1327.02208,0.004085166422135631,4467.0,0.12183689709409821,180.604928,5.0,396.869632,0.0,0.0,0.0,0.03333333333333333,2406.0,0.11409742163244697,208000.405504,2.719744,143.0,0.0009999999999763531,2489.56928,0.0,4149.0,1.5,0.9666666666666666,10038.902784,56.0,,,,,,,,,,,,,,
5,4,,,1681397531,1.7333333333333332,0.0,0.02800000000002001,1734.12352,0.5394764658331598,5503.0,0.08281647037590029,183.160832,69.0,799.965184,0.0,0.0,0.0,0.03333333333333333,2851.0,0.06094493989053339,207593.28768,2.719744,151.0,0.055000000000063665,2904.981504,0.0,5164.0,1.7,0.9666666666666666,10521.2928,58.0,,,,,,,,,,,,,,
6,5,,,1681397532,1.7333333333333332,0.0,0.040000000000020464,2133.078016,0.33102284738244436,10163.0,0.1235109842869445,185.257984,118.0,1195.86816,0.0,0.0,0.0,0.03333333333333333,5921.0,0.07631436736789095,207194.349568,2.719744,201.0,0.09699999999997999,3538.804736,0.0,13710.0,1.8,0.9666666666666666,13097.472,59.0,,,,,,,,,,,,,,
7,6,,,1681397533,1.7333333333333332,0.0,0.04400000000001114,2662.416384,0.004086617242597667,13567.0,0.1440931662791737,353.316864,119.0,1814.089728,0.0,0.0,0.0,0.03333333333333333,8465.0,0.1319131312851843,206654.521344,2.719744,241.0,0.09699999999997999,3999.318016,0.0,19401.0,2.1,0.9666666666666666,14231.105536,60.0,,,,,,,,,,,,,,
8,7,,,1681397534,1.7666666666666668,0.0,0.04800000000000182,2540.433408,0.0040818925113239295,16300.0,0.15909016597409187,1056.550912,120.0,2452.389888,0.0,0.0,0.0,0.8333333333333334,9691.0,0.12450569392111654,206188.756992,2.719744,586.0,0.09800000000007003,4006.055936,0.0,22232.0,2.3,1.1,16712.54016,61.0,,,,,,,,,,,,,,
9,8,,,1681397535,1.7666666666666668,0.0,0.05200000000002092,5525.58592,0.004080955846748389,22266.0,0.2655650136918982,1715.970048,121.0,5510.98368,0.0,0.0,0.0,0.8333333333333334,13270.0,0.24524791122292894,202542.989312,2.719744,622.0,0.09800000000007003,6375.81312,0.0,981822.0,4.0,1.1,22391.713792,342.0,,,,,,,,,,,,,,
10,9,,,1681397536,1.7666666666666668,0.0,0.056000000000011596,5760.290816,0.00407773513595129,26862.0,0.5343266601399086,2045.177856,122.0,5755.584512,0.0,0.0,0.0,0.8333333333333334,17511.0,9.92899036573732,201972.240384,2.719744,647.0,0.09900000000004638,6316.68736,0.0,995343.0,4.3,1.1,22862.405632,409.0,,,,,,,,,,,,,,
11,10,,,1681397537,1.7666666666666668,0.0,0.07200000000000273,6807.621632,0.44559656264634717,30424.0,0.6122720974344374,2200.158208,159.0,5910.659072,0.0,0.0,0.0,0.8333333333333334,24383.0,232.0130231020715,200823.17312,2.719744,653.0,0.1270000000000664,6316.961792,0.0,1001729.0,4.9,1.1,23042.527232,426.0,0.0027899080005227006,,,,,,,,,,,,,
12,11,,,1681397538,1.7666666666666668,0.0,0.07600000000002183,7549.882368,0.004086303287753379,31758.0,0.14497597487550082,2452.303872,160.0,6271.893504,0.0,0.0,0.0,0.8333333333333334,25007.0,0.1090771620572055,200080.502784,2.719744,679.0,0.1270000000000664,6448.283648,0.0,1003578.0,5.2,1.1,31747.538944,428.0,,0.0002524980000089272,1.4395579659994837,0.03816748000008374,0.1852925020002658,,,,,,,,,
13,11,,,1681397538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.0,7.1795654296875,2.6449372570004925,0.0,0.0001,0.9788769030001276,0.0,0.0
14,11,,,1681397538,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003037045999917609,0.0003360860000611865,0.01691147500059742,0.03842162199998711,0.13712398300049244,1.0,64.0,7.2235107421875,0.1982456280002225,0.0,0.0001,0.0024154159991667257,0.0,1.0
15,12,,,1681397539,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002996186000018497,0.00033431599968025694,0.01684985300016706,0.03849367499969958,0.13752531099999032,1.0,96.0,7.1915283203125,0.19894461999956548,0.0,0.0001,0.0027452790000097593,0.0,2.0
16,12,,,1681397539,1.8000000000000003,0.0,0.09600000000000364,7560.282112,0.016348790674077636,34465.0,0.3074658308219606,2450.5344,164.0,6270.291968,0.0,0.0,0.0,1.0333333333333332,27904.0,80.19540037692796,200069.697536,2.719744,707.0,0.12800000000004275,6448.545792,0.0,1007251.0,5.2,1.1333333333333333,31747.801088,454.0,0.0029656280003109714,0.0003925259998140973,0.01674943499983783,0.038519501000337186,0.13935819199923571,,,,,,,,,
17,12,,,1681397539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,7.15283203125,0.20077693499933957,0.0,0.0001,0.002791652999803773,0.0,3.0
18,12,,,1681397539,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030054549997657887,0.0004041149995828164,0.016670571999384265,0.03877674900013517,0.13806950799971673,1.0,160.0,7.035400390625,0.19958977499845787,0.0,0.0001,0.0026633759998730966,0.0,4.0
19,13,,,1681397540,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003005780999956187,0.0004185190000498551,0.017038658000274154,0.0385645120004483,0.1377847550002116,1.0,192.0,7.1494140625,0.19952964700041775,0.0,0.0001,0.002717421999477665,0.0,5.0
