_step,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/per_epoch_training_samples,_timestamp,04_peers/peer_2_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_3_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/num_clients,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_epoch,03_hivemind/actual_total_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/epoch_s,04_peers/peer_5_epoch,03_hivemind/total_training_samples,04_peers/peer_4_samples_per_second,03_hivemind/optimistic_total_samples_per_second
0,,,,,,,1681397532.0,,,,,323,43,1,,,,,320,0,0,,3316.35,,,9.78338769291752,,,,10.0,,,,,,,,9.78338769291752
1,,,,,,,1681397533.0,,,,320.0,423,44,1,0.0,,9.78,,416,0,0,,2229.93,,,14.505062244035264,,0.0,,10.0,,,,,,,,14.505062244035264
2,,,,,,,1681397534.0,,,,416.0,550,45,1,0.0,,14.51,,544,0,0,,1446.61,,,22.27130273543881,,0.0,,10.0,,,,,,,,22.27130273543881
3,,,,,,,1681397536.0,,,,544.0,653,47,1,0.0,,22.27,,640,0,0,,1103.15,,,29.11242125326938,,0.0,,10.0,,,,,,,,29.11242125326938
4,,,,,,,1681397537.0,,,,640.0,784,48,1,0.0,,29.11,,768,0,0,,815.39,,,39.22500387007223,,0.0,,10.0,,,,,,,,39.22500387007223
5,,,,,,,1681397538.0,,,,768.0,891,49,1,0.0,,39.23,,864,0,0,,676.95,,,47.088294479757735,,0.0,,10.0,,,,,,,,47.088294479757735
6,,,,,,,1681397539.0,,,,864.0,1216,50,3,0.0,,47.09,,1184,0,0,,323.84,,,97.4325754000626,,0.0,,10.0,,,,,,,,97.4325754000626
7,,,20.21,20.01,,,1681397541.0,0.0,,,992.0,1785,52,4,0.0,0.0,57.21,96.0,1696,0,0,0.0,170.37,96.0,,181.85775938497488,,0.0,0.0,10.0,,,,,,,,181.85775938497488
8,,,37.06,36.76,224.0,,1681397542.0,0.0,0.0,,1088.0,2287,53,4,0.0,0.0,64.15,192.0,2208,0,0,0.0,126.39,192.0,0.0,241.1621163100421,,0.0,0.0,10.0,,,,,,,43.89,241.1621163100421
9,,,54.61,54.21,352.0,,1681397543.0,0.0,0.0,,1216.0,2821,54,5,0.0,0.0,72.02,320.0,2720,0,0,0.0,104.88,320.0,0.0,285.5275333487946,,0.0,0.0,10.0,,,,,,,60.32,285.5275333487946
10,,,67.38,64.08,480.0,,1681397544.0,0.0,0.0,0.0,1312.0,3418,55,5,0.0,0.0,76.84,416.0,3296,0,0,0.0,90.18,448.0,0.0,325.4616550985277,,0.0,0.0,10.0,5.31,64.0,,,0.0,,71.92,325.4616550985277
11,,,74.5,73.73,576.0,,1681397545.0,0.0,0.0,0.0,1440.0,3996,56,5,0.0,0.0,81.96,544.0,3904,0,0,0.0,80.37,544.0,0.0,357.99925592903054,,0.0,0.0,10.0,17.12,192.0,,,0.0,,78.16,357.99925592903054
