03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_clients,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,_step,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,_runtime,03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second
0,,,,24148.27,,,,1.3541082697436828,64,,1681398594.0,0,,,0,,,1.3541082697436828,,,10.0,,,69,44,1,,,,
0,,0.0,,1978.99,0.0,,1.35,16.317969594032533,448,,1681398596.0,0,,,1,64.0,,16.317969594032533,,,10.0,,,475,46,1,,,,
0,,0.0,,1014.22,0.0,,16.32,31.631892086772673,672,,1681398597.0,0,,,2,448.0,,31.631892086772673,,,10.0,,,686,47,1,,,,
0,,0.0,,762.71,0.0,,31.63,41.8990084499437,800,,1681398598.0,0,,,3,672.0,,41.8990084499437,,,10.0,,,811,48,1,,,,
0,,0.0,,412.44,0.0,,41.9,76.89696810991266,1024,,1681398600.0,0,,,4,800.0,,76.89696810991266,,,10.0,,,1053,50,2,,,,
0,,0.0,,313.03,0.0,,49.74,100.62187335582533,1216,,1681398601.0,0,,128.0,5,896.0,,100.62187335582533,,,10.0,,,1270,51,2,0.0,,0.0,27.16
0,,0.0,,247.7,0.0,,57.29,126.16022873097732,1472,,1681398602.0,0,,224.0,6,992.0,,126.16022873097732,,,10.0,,,1519,52,2,0.0,,0.0,43.34
0,,0.0,,219.99,0.0,,66.31,141.03717740943597,1664,,1681398603.0,0,,352.0,7,1120.0,,141.03717740943597,,,10.0,,,1741,53,2,0.0,,0.0,59.85
0,,0.0,,197.23,0.0,,72.04,156.1061681354899,1920,,1681398604.0,0,,448.0,8,1216.0,,156.1061681354899,,,10.0,,,1979,54,2,0.0,,0.0,69.0
0,,0.0,,185.94,0.0,,78.24,164.3859307225768,2112,,1681398605.0,0,,576.0,9,1344.0,,164.3859307225768,,,10.0,,,2203,55,2,0.0,,0.0,77.87
0,,0.0,,172.95,0.0,,81.78,172.39651105981562,2368,,1681398610.0,0,,672.0,10,1440.0,,172.39651105981562,,,10.0,,,2951,60,2,0.0,,0.0,82.61
0,,0.0,,160.07,0.0,,85.34,184.52374678725613,3168,,1681398611.0,0,,800.0,11,1568.0,,184.52374678725613,,,10.0,,,3232,61,2,0.0,,0.0,87.06
0,,0.0,,157.7,0.0,,91.17,185.8585977839546,3392,,1681398612.0,0,,1216.0,12,1952.0,,185.8585977839546,,,10.0,,,3457,62,2,0.0,,0.0,93.35
0,,0.0,,155.68,0.0,,91.92,186.82724604328456,3616,,1681398613.0,0,,1312.0,13,2080.0,,186.82724604328456,,,10.0,,,3683,63,2,0.0,,0.0,93.94
0,,0.0,,153.99,0.0,,92.34,187.41991480312754,3808,,1681398614.0,0,,1440.0,14,2176.0,,187.41991480312754,,,10.0,,,3908,64,2,0.0,,0.0,94.49
0,,0.0,,152.41,0.0,,92.65,187.87474025729082,4064,,1681398616.0,0,,1536.0,15,2272.0,,187.87474025729082,,,10.0,,,4133,66,2,0.0,,0.0,94.77
0,,0.0,,150.9,0.0,,92.89,188.26931843780588,4256,,1681398617.0,0,,1664.0,16,2400.0,,188.26931843780588,,,10.0,,,4359,67,2,0.0,,0.0,94.98
0,,0.0,,149.46,0.0,,93.01,188.57261367870714,4512,,1681398618.0,0,,1760.0,17,2496.0,,188.57261367870714,,,10.0,,,4585,68,2,0.0,,0.0,95.26
0,,0.0,,148.22,0.0,,93.07,188.6287673259734,4704,,1681398619.0,0,,1888.0,18,2624.0,,188.6287673259734,,,10.0,,,4809,69,2,0.0,,0.0,95.5
0,,0.0,,146.91,0.0,,93.08,188.78345226600396,4960,,1681398620.0,0,,1984.0,19,2720.0,,188.78345226600396,,,10.0,,,5034,70,2,0.0,,0.0,95.55
0,,0.0,,138.1,0.0,,93.15,197.28159717256722,5440,,1681398622.0,0,,2112.0,20,2848.0,,197.28159717256722,,,10.0,,,5523,72,3,0.0,,0.0,95.64
0,,0.0,,122.74,0.0,0.0,93.11,215.86342652738537,6176,,1681398623.0,0,,2240.0,21,2944.0,256.0,215.86342652738537,0.0,,10.0,8.54,,6272,73,3,0.0,,0.0,95.63
0,,0.0,,109.01,0.0,0.0,93.08,236.24140329027603,6912,,1681398624.0,0,,2336.0,22,3072.0,768.0,236.24140329027603,0.0,,10.0,27.1,,7016,74,3,0.0,,0.0,95.69
0,,0.0,,102.25,0.0,0.0,93.04,246.85516735914518,7392,,1681398625.0,0,,2464.0,23,3168.0,1280.0,246.85516735914518,0.0,,10.0,47.53,,7527,75,3,0.0,,0.0,95.67
0,,0.0,,90.9,0.0,0.0,93.02,269.5194777276504,8128,,1681398626.0,0,,2560.0,24,3296.0,1536.0,269.5194777276504,0.0,,10.0,58.19,,8269,76,3,0.0,,0.0,95.64
0,,0.0,,81.27,0.0,0.0,92.94,292.55376724595294,8864,,1681398628.0,0,,2688.0,25,3392.0,2048.0,292.55376724595294,0.0,,10.0,80.98,,8991,78,3,0.0,,0.0,95.6
0,,0.0,,76.24,0.0,0.0,92.87,304.7329279620146,9344,,1681398629.0,0,,2784.0,26,3520.0,2560.0,304.7329279620146,0.0,,10.0,104.14,,9536,79,3,0.0,,0.0,95.54
0,,0.0,,65.58,0.0,0.0,92.84,328.21598774783104,10112,,1681398633.0,0,,2912.0,27,3616.0,2816.0,328.21598774783104,0.0,,10.0,116.48,,11243,83,3,0.0,,0.0,95.41
0,,0.0,,47.84,0.0,0.0,92.78,416.6410461335734,12672,,1681398634.0,0,,3040.0,28,3744.0,3328.0,416.6410461335734,0.0,,10.0,140.09,,12834,84,3,0.0,,0.0,95.35
0,,0.0,,45.61,0.0,0.0,92.66,424.4234604899481,13152,,1681398635.0,0,,3424.0,29,4128.0,5120.0,424.4234604899481,0.0,,10.0,228.85,,13412,85,3,0.0,,0.0,95.13
