04_peers/peer_2_epoch,04_peers/peer_3_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,_step,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples
,,,0,,,64,0,,64,1.3217224001789685,1,,1681399121.0,,,1.3217224001789685,,,,,0,,,,49,,,24743.1,10.0,
,,,0,,64.0,384,1,,388,13.611493334573005,1,,1681399122.0,,,13.611493334573005,0.0,,1.32,,0,,,,50,0.0,,2378.88,10.0,
,,,0,,384.0,672,2,,691,38.948180121422986,1,,1681399123.0,,,38.948180121422986,0.0,,13.61,,0,,,,51,0.0,,823.59,10.0,
,,,0,,672.0,1024,3,,1050,97.43637485608004,1,,1681399124.0,,,97.43637485608004,0.0,,38.95,,0,,,,52,0.0,,325.52,10.0,
,,,0,,1024.0,1312,4,,1359,156.99561351823436,1,,1681399126.0,,,156.99561351823436,0.0,,97.44,,0,,,,54,0.0,,200.06,10.0,
,,,0,,1312.0,1696,5,,1770,222.31824143582668,2,,1681399127.0,,,222.31824143582668,0.0,,157.0,,0,,,,55,0.0,,139.43,10.0,
0.0,,,0,0.0,1600.0,2336,6,,2419,328.86349761579964,2,,1681399128.0,,96.0,328.86349761579964,0.0,,204.02,,0,,,18.29,56,0.0,,92.28,10.0,
0.0,,,0,0.0,1920.0,2912,7,,3036,410.3636453751268,2,,1681399129.0,,416.0,410.3636453751268,0.0,,232.2,,0,,,96.66,57,0.0,,72.45,10.0,
0.0,,,0,0.0,2208.0,3520,8,,3659,465.57703423444525,2,,1681399130.0,,704.0,465.57703423444525,0.0,,243.12,,0,,,167.24,58,0.0,,62.52,10.0,
0.0,,,0,0.0,2496.0,4096,9,,4264,489.00085703433064,2,,1681399132.0,,1024.0,489.00085703433064,0.0,,247.66,,0,,,217.91,60,0.0,,58.29,10.0,
