_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1681399711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1681399711,2.033333333333333,0.0,0.0,1203.294208,0.0,15.0,0.6514515991494426,178.765824,0.0,394.948608,0.0,0.0,0.0,0.13333333333333333,5.0,0.9943208558914887,208123.404288,2.719744,133.0,0.0,2481.033216,0.0,14.0,1.4,1.1666666666666665,9963.401216,59.0,,,,,,,,,,,,,,
2,1,,,1681399712,2.0666666666666664,0.0,0.008000000000009777,1712.791552,0.012254456075131114,3110.0,0.30392806263612204,183.738368,3.0,769.581056,0.0,0.0,0.0,0.4,1017.0,0.30160641766387325,207613.939712,2.719744,154.0,0.0,2876.5184,0.0,2908.0,1.6,1.2,10492.84608,70.0,,,,,,,,,,,,,,
3,2,,,1681399713,2.0666666666666664,0.0,0.015999999999991132,2143.330304,0.004085880528500679,7446.0,0.01899296026812502,186.032128,4.0,1196.679168,0.0,0.0,0.0,0.4,3730.0,0.017811885433582295,207183.392768,2.719744,218.0,0.0010000000000331966,3538.853888,0.0,11031.0,1.8,1.2,13097.525248,76.0,,,,,,,,,,,,,,
4,3,,,1681399714,2.0666666666666664,0.0,0.020000000000010232,2598.469632,0.0040863305023727675,10618.0,0.06574841924373574,332.53376,5.0,1719.386112,0.0,0.0,0.0,0.4,5704.0,0.062212785593572864,206717.771776,2.719744,272.0,0.0010000000000331966,3925.413888,0.0,16730.0,2.1,1.2,14157.201408,82.0,,,,,,,,,,,,,,
5,4,,,1681399715,2.0666666666666664,0.0,0.02400000000000091,2522.558464,0.004084020487566958,12262.0,0.0027040682413589207,705.41312,6.0,2087.17824,0.0,0.0,0.0,0.4,6180.0,0.0036213775515999296,206557.057024,2.719744,463.0,0.0010000000000331966,3954.167808,0.0,18380.0,2.1,1.2,16308.129792,90.0,,,,,,,,,,,,,,
6,5,,,1681399716,2.0666666666666664,0.0,0.03999999999999204,5162.12736,0.7299792162574987,16952.0,0.05822438101701057,1497.86624,94.0,5009.289216,0.0,0.0,0.0,0.4,8302.0,0.009860709100098796,203118.743552,2.719744,645.0,0.08899999999999864,6092.300288,0.0,915329.0,3.8,1.2,21888.806912,277.0,,,,,,,,,,,,,,
7,6,,,1681399717,2.033333333333333,0.0,0.04400000000001114,5689.298944,0.004081410546973183,20043.0,0.003818350902311449,2046.0544,95.0,5756.059648,0.0,0.0,0.0,0.36666666666666664,9857.0,0.004256783708664713,202043.138048,2.719744,649.0,0.08899999999999864,6299.246592,0.0,1030123.0,4.3,1.1666666666666665,22710.951936,452.0,,,,,,,,,,,,,,
8,7,,,1681399718,2.033333333333333,0.0,0.04800000000000182,5690.331136,0.0040858883024604414,20702.0,0.052717535463035835,2046.058496,96.0,5756.17024,0.0,0.0,0.0,0.36666666666666664,10080.0,0.01041422701240004,202042.105856,2.719744,649.0,0.08899999999999864,6307.770368,0.0,1030526.0,4.3,1.1666666666666665,22786.453504,452.0,,,,,,,,,,,,,,
9,8,,,1681399719,2.033333333333333,0.0,0.0519999999999925,5690.32704,0.004086471441022624,21318.0,0.0027056910358066407,2046.058496,97.0,5756.17024,0.0,0.0,0.0,0.36666666666666664,10213.0,0.003623550851553662,202042.105856,2.719744,649.0,0.08899999999999864,6307.770368,0.0,1030866.0,4.3,1.1666666666666665,22786.453504,452.0,,,,,,,,,,,,,,
