_step,03_hivemind/num_peers,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,_runtime,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples
0,1,,,,1681399767.0,,,,5.989407631086306,,0,,0,,,226,5.989407631086306,,10.0,43,,,5433.23,,,,,224,,
1,1,0.0,,,1681399768.0,,,,9.80924589187611,,0,,0,,224.0,325,9.80924589187611,,10.0,44,,,3307.37,5.99,0.0,,,320,,
2,1,0.0,,,1681399769.0,,,,16.330161716169076,,0,,0,,320.0,454,16.330161716169076,,10.0,45,,,1978.81,9.81,0.0,,,448,,
3,1,0.0,,,1681399771.0,,,,22.323451248990207,,0,,0,,448.0,555,22.323451248990207,,10.0,47,,,1443.0,16.33,0.0,,,544,,
4,1,0.0,,,1681399772.0,,,,31.597655272057807,,0,,0,,544.0,682,31.597655272057807,,10.0,48,,,1015.46,22.32,0.0,,,672,,
5,1,0.0,,,1681399773.0,,,,39.23245862870179,,0,,0,,672.0,786,39.23245862870179,,10.0,49,,,815.19,31.6,0.0,,,768,,
6,2,0.0,,,1681399774.0,,,,68.6525509424482,,0,,0,,768.0,1013,68.6525509424482,,10.0,50,,,462.55,39.23,0.0,,,992,,
7,2,0.0,96.0,,1681399775.0,,0.0,,97.48636634854456,,0,,0,19.0,896.0,1251,97.48636634854456,,10.0,51,0.0,,323.3,49.66,0.0,,,1216,,
8,3,0.0,224.0,,1681399776.0,,0.0,,122.67049913984799,,0,,0,40.32,992.0,1536,122.67049913984799,,10.0,52,0.0,,254.6,57.17,0.0,,,1472,,
9,3,0.0,320.0,64.0,1681399778.0,,0.0,,152.66148174877728,,0,,0,53.14,1088.0,1882,152.66148174877728,,10.0,54,0.0,0.0,202.32,64.06,0.0,0.0,5.46,1824,,
10,3,0.0,448.0,160.0,1681399779.0,,0.0,,177.5668164082527,,0,,0,66.34,1216.0,2231,177.5668164082527,,10.0,55,0.0,0.0,171.97,71.9,0.0,0.0,14.43,2144,,
11,3,0.0,544.0,288.0,1681399780.0,,0.0,,199.37408620940155,,0,,0,73.67,1312.0,2569,199.37408620940155,,10.0,56,0.0,0.0,151.47,76.66,0.0,0.0,27.24,2496,,
12,3,0.0,672.0,384.0,1681399781.0,,0.0,,215.1844464687673,,0,,0,80.86,1440.0,2898,215.1844464687673,,10.0,57,0.0,0.0,138.81,81.61,0.0,0.0,36.91,2784,,
13,3,0.0,768.0,480.0,1681399782.0,,0.0,,230.0591835253523,,0,,0,84.71,1536.0,3235,230.0591835253523,,10.0,58,0.0,0.0,128.37,84.36,0.0,0.0,46.11,3136,,
14,3,0.0,896.0,576.0,1681399784.0,,0.0,,242.97578314223853,,0,,0,88.32,1664.0,3577,242.97578314223853,,10.0,60,0.0,0.0,120.14,87.26,0.0,0.0,54.48,3456,,
15,3,0.0,992.0,704.0,1681399785.0,,0.0,,252.04935857751963,,0,,0,90.24,1760.0,3911,252.04935857751963,,10.0,61,0.0,0.0,114.49,88.83,0.0,0.0,63.9,3808,,
16,3,0.0,1120.0,800.0,1681399786.0,,0.0,,258.5585024353265,,0,,0,91.98,1888.0,4244,258.5585024353265,,10.0,62,0.0,0.0,110.32,90.43,0.0,0.0,69.64,4128,,
17,3,0.0,1248.0,896.0,1681399787.0,,0.0,,264.49979292805483,,0,,0,93.13,1984.0,4582,264.49979292805483,,10.0,63,0.0,0.0,106.57,91.18,0.0,0.0,74.25,4480,,
18,3,0.0,1344.0,1024.0,1681399788.0,,0.0,,267.88372540689636,,0,,0,93.66,2112.0,4912,267.88372540689636,,10.0,64,0.0,0.0,103.99,91.93,0.0,0.0,78.91,4800,,
19,3,0.0,1472.0,1120.0,1681399790.0,,0.0,,270.4000731201745,,0,,0,94.16,2208.0,5244,270.4000731201745,,10.0,66,0.0,0.0,101.79,92.24,0.0,0.0,81.49,5120,,
20,3,0.0,1568.0,1216.0,1681399791.0,,0.0,,272.6819533465818,,0,,0,94.42,2336.0,5576,272.6819533465818,,10.0,67,0.0,0.0,99.72,92.54,0.0,0.0,83.43,5472,,
21,3,0.0,1696.0,1344.0,1681399792.0,,0.0,,273.7844997671211,,0,,0,94.66,2432.0,5906,273.7844997671211,,10.0,68,0.0,0.0,98.12,92.75,0.0,0.0,85.28,5728,,
22,3,0.0,1728.0,1440.0,1681399793.0,,0.0,,274.5537227526946,,0,,0,94.82,2560.0,6236,274.5537227526946,,10.0,69,0.0,0.0,96.64,92.78,0.0,0.0,86.18,5920,,
23,3,0.0,1728.0,1536.0,1681399794.0,,0.0,,275.1963400551057,,0,,0,94.82,2656.0,6567,275.1963400551057,,10.0,70,0.0,0.0,95.21,92.88,0.0,0.0,86.85,6144,,
24,3,0.0,1728.0,1664.0,1681399796.0,,0.0,,275.44876311861105,,0,,0,94.82,2752.0,6897,275.44876311861105,,10.0,72,0.0,0.0,93.92,92.95,0.0,0.0,87.42,6368,,
25,3,0.0,1728.0,1760.0,1681399797.0,,0.0,,275.4826109455828,,0,,0,94.82,2880.0,7226,275.4826109455828,,10.0,73,0.0,0.0,92.72,92.93,0.0,0.0,87.69,6560,,
26,3,0.0,1728.0,1856.0,1681399798.0,,0.0,,275.71737940875096,,0,,0,94.82,2976.0,7556,275.71737940875096,,10.0,74,0.0,0.0,91.44,92.88,0.0,0.0,87.78,6784,,
27,3,0.0,1728.0,1952.0,1681399799.0,,0.0,,275.96007169410615,,0,,0,94.82,3104.0,7888,275.96007169410615,,10.0,75,0.0,0.0,90.16,92.83,0.0,0.0,88.06,7008,,
28,3,0.0,1728.0,2080.0,1681399800.0,,0.0,,216.19407691725075,,0,,0,94.82,3200.0,7451,216.19407691725075,,10.0,76,0.0,0.0,117.11,92.96,0.0,0.0,88.18,7360,,
29,3,0.0,1856.0,2176.0,1681399801.0,,0.0,,223.33345961521263,,0,,0,35.01,3328.0,7771,223.33345961521263,,10.0,77,0.0,0.0,111.92,93.04,0.0,0.0,88.15,7648,,
30,3,0.0,1952.0,2272.0,1681399803.0,,0.0,,233.42805188894744,,0,,0,42.25,3424.0,8112,233.42805188894744,,10.0,79,0.0,0.0,105.62,93.06,0.0,0.0,88.03,8032,,
31,3,0.0,2080.0,2400.0,1681399804.0,,0.0,,235.8557902411992,,0,,0,52.28,3552.0,8408,235.8557902411992,,10.0,80,0.0,0.0,103.28,93.08,0.0,0.0,88.06,8256,,
32,3,0.0,2112.0,2496.0,1681399805.0,,0.0,,235.8012886091431,,0,,0,54.78,3648.0,8690,235.8012886091431,,10.0,81,0.0,0.0,102.11,93.04,0.0,0.0,88.03,8480,,
33,3,0.0,2112.0,2592.0,1681399806.0,,0.0,,235.68540082572986,,0,,0,54.78,3776.0,8971,235.68540082572986,,10.0,82,0.0,0.0,100.97,93.01,0.0,0.0,88.01,8672,,
34,3,0.0,2112.0,2688.0,1681399807.0,,0.0,,225.33170543056377,,0,,0,54.78,3872.0,9137,225.33170543056377,,10.0,83,0.0,0.0,104.87,92.97,0.0,0.0,87.93,9056,,
35,3,0.0,2240.0,2816.0,1681399809.0,,0.0,,230.44318617525943,,0,,0,44.54,4000.0,9446,230.44318617525943,,10.0,85,0.0,0.0,101.21,92.87,0.0,0.0,87.92,9312,,
36,3,0.0,2304.0,2912.0,1681399810.0,,0.0,,230.34074953864226,,0,,0,49.59,4096.0,9720,230.34074953864226,,10.0,86,0.0,0.0,100.06,92.85,0.0,0.0,87.99,9536,,
37,3,0.0,2304.0,3008.0,1681399811.0,,0.0,,230.16943347220914,,0,,0,49.59,4224.0,9995,230.16943347220914,,10.0,87,0.0,0.0,98.94,92.82,0.0,0.0,87.93,9760,,
38,3,0.0,2304.0,3136.0,1681399812.0,,0.0,,230.00132541606297,,0,,0,49.59,4320.0,10268,230.00132541606297,,10.0,88,0.0,0.0,97.82,92.84,0.0,0.0,87.73,9952,,
39,3,0.0,2304.0,3232.0,1681399813.0,,0.0,,229.90671511119098,,0,,0,49.59,4416.0,10542,229.90671511119098,,10.0,89,0.0,0.0,96.67,92.8,0.0,0.0,87.61,10176,,
40,3,0.0,2304.0,3328.0,1681399815.0,,0.0,,229.842835431997,,0,,0,49.59,4544.0,10817,229.842835431997,,10.0,91,0.0,0.0,95.5,92.77,0.0,0.0,87.54,10368,,
41,3,0.0,2304.0,3424.0,1681399816.0,,0.0,,212.05928890683037,,0,,0,49.59,4640.0,10829,212.05928890683037,,10.0,92,0.0,0.0,103.45,92.72,0.0,0.0,87.53,10752,,
42,3,0.0,2432.0,3552.0,1681399817.0,,0.0,,219.0610130455628,,0,,0,31.87,4768.0,11149,219.0610130455628,,10.0,93,0.0,0.0,98.69,92.69,0.0,0.0,87.5,11040,,
43,3,0.0,2528.0,3648.0,1681399818.0,,0.0,,228.77755097430042,,0,,0,38.89,4864.0,11489,228.77755097430042,,10.0,94,0.0,0.0,93.01,92.69,0.0,0.0,87.48,11392,,
44,3,0.0,2656.0,3744.0,1681399819.0,,0.0,,231.21575106290288,,0,,0,48.86,4992.0,11779,231.21575106290288,,10.0,95,0.0,0.0,90.78,92.64,0.0,0.0,87.28,11616,,
45,3,0.0,2688.0,3840.0,1681399821.0,,0.0,,231.1509200021016,,0,,0,51.38,5088.0,12055,231.1509200021016,,10.0,97,0.0,0.0,89.61,92.61,0.0,0.0,87.23,11872,,
46,3,0.0,2688.0,3968.0,1681399822.0,,0.0,,215.3765357575165,,0,,0,51.38,5216.0,12186,215.3765357575165,,10.0,98,0.0,0.0,95.56,92.5,0.0,0.0,87.27,12096,,
47,3,0.0,2720.0,4064.0,1681399823.0,,0.0,,222.48656819859795,,0,,0,35.59,5312.0,12507,222.48656819859795,,10.0,99,0.0,0.0,91.07,92.51,0.0,0.0,87.28,12416,,
48,3,0.0,2816.0,4160.0,1681399824.0,,0.0,,232.44427090855913,,0,,0,42.89,5440.0,12847,232.44427090855913,,10.0,100,0.0,0.0,85.7,92.41,0.0,0.0,87.19,12736,,
49,3,0.0,2944.0,4256.0,1681399825.0,,0.0,,237.20255813972364,,0,,0,52.89,5536.0,13157,237.20255813972364,,10.0,101,0.0,0.0,82.68,92.46,0.0,0.0,87.1,13024,,
50,3,0.0,3008.0,4384.0,1681399827.0,,0.0,,237.85219369540846,,0,,0,57.79,5632.0,13441,237.85219369540846,,10.0,103,0.0,0.0,81.26,92.39,0.0,0.0,87.03,13344,,
51,3,0.0,3104.0,4480.0,1681399828.0,,0.0,,244.59551197506437,,0,,0,58.56,5760.0,13766,244.59551197506437,,10.0,104,0.0,0.0,77.69,92.34,0.0,0.0,86.95,13632,,
52,3,0.0,3200.0,4576.0,1681399829.0,,0.0,,252.40976837974614,,0,,0,65.41,5856.0,14101,252.40976837974614,,10.0,105,0.0,0.0,73.95,92.28,0.0,0.0,86.91,13984,,
53,3,0.0,3328.0,4672.0,1681399830.0,,0.0,,258.5404692059368,,0,,0,73.29,5984.0,14434,258.5404692059368,,10.0,106,0.0,0.0,70.91,92.27,0.0,0.0,86.85,14336,,
54,3,0.0,3456.0,4800.0,1681399831.0,,0.0,,262.2775153380972,,0,,0,79.54,6080.0,14760,262.2775153380972,,10.0,107,0.0,0.0,68.66,92.2,0.0,0.0,86.8,14656,,
55,3,0.0,3552.0,4896.0,1681399833.0,,0.0,,265.8395569138495,,0,,0,83.16,6208.0,15087,265.8395569138495,,10.0,109,0.0,0.0,66.51,92.21,0.0,0.0,86.91,14976,,
56,3,0.0,3680.0,4992.0,1681399834.0,,0.0,,267.7703593437836,,0,,0,86.87,6304.0,15413,267.7703593437836,,10.0,110,0.0,0.0,64.81,92.15,0.0,0.0,86.82,15264,,
57,3,0.0,3776.0,5088.0,1681399835.0,,0.0,,269.61295434262865,,0,,0,88.84,6400.0,15741,269.61295434262865,,10.0,111,0.0,0.0,63.15,92.13,0.0,0.0,86.8,15616,,
58,3,0.0,3904.0,5184.0,1681399836.0,,0.0,,270.338008813191,,0,,0,90.84,6528.0,16066,270.338008813191,,10.0,112,0.0,0.0,61.78,92.09,0.0,0.0,86.69,15936,,
59,3,0.0,4000.0,5312.0,1681399837.0,,0.0,,271.0999912724182,,0,,0,91.77,6624.0,16392,271.0999912724182,,10.0,113,0.0,0.0,60.4,92.05,0.0,0.0,86.52,16288,,
60,3,0.0,4128.0,5408.0,1681399839.0,,0.0,,271.39265577975044,,0,,0,92.56,6752.0,16717,271.39265577975044,,10.0,115,0.0,0.0,59.14,92.04,0.0,0.0,86.49,16576,,
61,3,0.0,4224.0,5504.0,1681399840.0,,0.0,,271.7507338013791,,0,,0,92.99,6848.0,17042,271.7507338013791,,10.0,116,0.0,0.0,57.87,91.95,0.0,0.0,86.44,16928,,
