_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,64.0,255469.289472,1681400437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681400437,2.09375,0.0,0.0,1499.410432,0.0,43.0,0.9700557160257965,178.126848,0.0,418.77504,0.0,0.0,0.0,1.7343750000000002,26.0,0.2007947067564289,244776.718336,2.854912,160.0,0.0,4787.441664,0.0,29.0,4.2,2.828125,12271.427584,77.0,,,,,,,,,,,,,,
2,2,,,1681400438,2.09375,0.0,0.007999999999810825,1634.451456,0.0122238454608311,2648.0,0.2788087258863897,180.703232,3.0,421.441536,0.0,0.0,0.0,1.7343750000000002,1209.0,0.2806152450408734,244641.6896,2.854912,169.0,0.0010000000002037268,4795.96544,0.0,2587.0,4.2,2.828125,12346.933248,77.0,,,,,,,,,,,,,,
3,3,,,1681400439,2.09375,0.0,0.015999999999849024,1703.620608,0.0035965210910196823,3751.0,0.05259209680516903,180.768768,4.0,422.0928,0.0,0.0,0.0,1.7343750000000002,1792.0,0.05746706867769483,244572.520448,2.854912,214.0,0.0020000000004074536,4805.025792,0.0,3437.0,4.3,2.828125,12422.959104,78.0,,,,,,,,,,,,,,
4,5,,,1681400441,2.09375,0.0,0.027999999999792635,1988.99712,0.2309337292808211,5466.0,0.1676797915491665,182.43584,7.0,702.185472,0.0,0.0,0.0,1.7343750000000002,3313.0,0.9448449739303486,244287.13984,2.854912,246.0,0.0039999999999054126,5084.913664,0.0,5150.0,4.4,2.828125,12702.846976,78.0,,,,,,,,,,,,,,
5,6,,,1681400442,2.078125,0.0,0.04800000000000182,2239.275008,0.7478463589587646,6728.0,0.053091274811481785,183.156736,171.0,953.638912,0.0,0.0,0.0,1.59375,4020.0,0.21198546156377068,244036.85376,2.854912,272.0,0.22100000000045839,6358.142976,0.0,6364.0,4.5,2.78125,13976.072192,80.0,,,,,,,,,,,,,,
6,7,,,1681400443,2.078125,0.0,0.05199999999990723,2996.871168,0.0040782123384726,7117.0,0.03441788160625581,183.156736,172.0,1709.498368,0.0,0.0,0.0,1.59375,4456.0,0.015357018474703735,243279.2576,2.854912,272.0,0.22100000000045839,6358.142976,0.0,6878.0,4.8,2.78125,13976.072192,81.0,,,,,,,,,,,,,,
7,8,,,1681400444,2.078125,0.0,0.055999999999812644,3435.302912,0.0040777738946824104,7610.0,0.0026202882906295223,184.795136,173.0,2148.53632,0.0,0.0,0.0,1.59375,4994.0,0.0035441590088157015,242840.817664,2.854912,273.0,0.22199999999975262,6542.987264,0.0,7454.0,4.9,2.78125,14160.91648,83.0,,,,,,,,,,,,,,
8,9,,,1681400445,2.078125,0.0,0.05999999999994543,4084.81792,0.004078380794674278,7938.0,0.05415802967231575,184.795136,174.0,2796.802048,0.0,0.0,0.0,1.59375,5447.0,0.01080133637870974,242191.310848,2.854912,273.0,0.22199999999975262,7181.418496,0.0,7927.0,5.2,2.78125,14799.347712,84.0,,,,,,,,,,,,,,
9,10,,,1681400446,2.078125,0.0,0.07199999999988904,4408.385536,0.35041549121959015,8335.0,0.006470016832899149,184.795136,222.0,3119.04256,0.0,0.0,0.0,1.59375,5951.0,0.007639872435687021,241867.747328,2.854912,273.0,0.3029999999998836,7500.500992,0.0,8499.0,5.3,2.78125,15118.430208,87.0,,,,,,,,,,,,,,
