_runtime,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/epoch_s,03_hivemind/num_peers,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,_step,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/total_training_samples,_timestamp,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch,03_hivemind/optimistic_total_samples_per_second
41,0,,,24205.99,,1.35105303449618,64,,0,,10.0,,,,1,,,0,,64,,,1681401319.0,,,1.35105303449618
42,0,,0.0,8392.7,,3.88505621162694,162,,0,,10.0,,64.0,,1,,,1,1.35,160,,,1681401320.0,,0.0,3.88505621162694
43,0,,0.0,3860.38,,8.413010202712355,291,,0,,10.0,,160.0,,1,,,2,3.89,288,,,1681401321.0,,0.0,8.413010202712355
48,0,,0.0,2522.1,,12.822406852953629,429,,0,,10.0,,288.0,,1,,,3,8.41,384,,,1681401326.0,,0.0,12.822406852953629
49,0,,0.0,813.7,,39.29791506870671,791,,0,,10.0,,384.0,,1,,,4,12.82,768,,,1681401327.0,,0.0,39.29791506870671
50,0,,0.0,639.13,,49.83580102985732,917,,0,,10.0,,768.0,,1,,,5,39.3,896,,,1681401328.0,,0.0,49.83580102985732
51,0,,0.0,552.67,,57.435835907219904,1025,,0,,10.0,,896.0,,1,,,6,49.84,992,,,1681401329.0,,0.0,57.435835907219904
52,0,,0.0,474.85,,66.592258997085,1147,,0,,10.0,,992.0,,1,,,7,57.44,1120,,,1681401330.0,,0.0,66.592258997085
54,0,,0.0,435.04,,72.43224114010671,1257,,0,,10.0,,1120.0,,1,,,8,66.59,1216,,,1681401332.0,,0.0,72.43224114010671
55,0,,0.0,398.7,,78.73847879789413,1375,,0,,10.0,,1216.0,,1,,,9,72.43,1344,,,1681401333.0,,0.0,78.73847879789413
56,0,,0.0,379.58,,82.41115726255565,1486,,0,,10.0,,1344.0,,1,,,10,78.74,1440,,,1681401334.0,,0.0,82.41115726255565
57,0,,0.0,361.99,,86.09834913507727,1601,,0,,10.0,,1440.0,,1,,,11,82.41,1568,,,1681401335.0,,0.0,86.09834913507727
61,0,,0.0,349.54,,88.09196537552462,1976,,0,,10.0,,1568.0,,1,,,12,86.1,1664,,,1681401339.0,,0.0,88.09196537552462
62,0,,0.0,333.29,,91.99995818559607,2105,,0,,10.0,,1664.0,,1,,,13,88.09,2080,,,1681401340.0,,0.0,91.99995818559607
64,0,,0.0,330.85,,92.34461006475104,2215,,0,,10.0,,2080.0,,1,,,14,92.0,2176,,,1681401342.0,,0.0,92.34461006475104
65,0,,0.0,328.87,,92.56592506535507,2326,,0,,10.0,,2176.0,,1,,,15,92.34,2272,,,1681401343.0,,0.0,92.56592506535507
66,0,,0.0,326.68,,92.84638595884455,2437,,0,,10.0,,2272.0,,1,,,16,92.57,2400,,,1681401344.0,,0.0,92.84638595884455
67,0,,0.0,325.3,,92.90355479051942,2547,,0,,10.0,,2400.0,,1,,,17,92.85,2496,,,1681401345.0,,0.0,92.90355479051942
68,0,,0.0,292.11,,102.1786504921273,2920,,0,,10.0,,2496.0,,2,,,18,92.9,2880,,,1681401346.0,,0.0,102.1786504921273
70,0,,0.0,239.23,256.0,122.12359800237932,3552,0.0,0,,10.0,9.18,2624.0,,2,0.0,,19,93.0,3488,,,1681401348.0,,0.0,122.12359800237932
71,0,,0.0,198.75,768.0,143.84366648722374,4179,0.0,0,,10.0,29.03,2720.0,,2,0.0,,20,93.1,4128,,,1681401349.0,,0.0,143.84366648722374
72,0,,0.0,181.73,1280.0,155.13033205131558,4576,0.0,0,,10.0,50.79,2848.0,,2,0.0,,21,93.06,4480,,,1681401350.0,,0.0,155.13033205131558
73,0,,0.0,153.81,1536.0,179.2031541214452,5204,0.0,0,,10.0,62.04,2944.0,,2,0.0,,22,93.09,5120,,,1681401351.0,,0.0,179.2031541214452
74,0,,0.0,132.39,2048.0,203.59597328323008,5815,0.0,0,,10.0,86.08,3072.0,,2,0.0,,23,93.13,5728,,,1681401352.0,,0.0,203.59597328323008
75,0,,0.0,122.63,2560.0,216.2424864886021,6249,0.0,0,,10.0,110.6,3168.0,,2,0.0,,24,92.99,6112,,,1681401353.0,,0.0,216.2424864886021
77,0,,0.0,107.66,2816.0,240.6812389266918,6856,0.0,0,,10.0,123.32,3296.0,,2,0.0,,25,92.92,6720,,,1681401355.0,,0.0,240.6812389266918
78,0,,0.0,94.99,3328.0,266.33230761019615,7470,0.0,0,,10.0,147.9,3392.0,,2,0.0,,26,92.78,7328,,,1681401356.0,,0.0,266.33230761019615
79,0,,0.0,83.49,3840.0,295.20215031266434,8123,0.0,0,,10.0,173.51,3488.0,,2,0.0,,27,92.82,7968,,,1681401357.0,,0.0,295.20215031266434
80,0,,0.0,74.05,4352.0,323.9056694038005,8782,0.0,0,,10.0,202.23,3616.0,,2,0.0,,28,92.97,8576,,,1681401358.0,,0.0,323.9056694038005
84,0,,0.0,69.86,4864.0,323.95033691646154,10138,0.0,0,,10.0,230.95,3712.0,,2,0.0,,29,92.96,8704,,,1681401362.0,,0.0,323.95033691646154
86,0,,0.0,85.23,4864.0,270.3981370225056,9721,0.0,0,,10.0,230.95,3840.0,,2,0.0,,30,93.0,9600,,,1681401364.0,,0.0,270.3981370225056
87,0,,0.0,80.34,5376.0,281.10975310047496,10183,0.0,0,,10.0,177.43,4224.0,,2,0.0,,31,92.97,9952,,,1681401365.0,,0.0,281.10975310047496
88,0,,0.0,73.4,5632.0,299.9172442271009,10754,0.0,0,,10.0,188.16,4320.0,,2,0.0,,32,92.94,10592,,,1681401366.0,,0.0,299.9172442271009
89,0,,0.0,66.95,6144.0,320.02042454560535,11342,0.0,0,,10.0,207.04,4448.0,,2,0.0,,33,92.88,11200,,,1681401367.0,,0.0,320.02042454560535
90,0,,0.0,63.43,6656.0,330.0416268909048,11834,0.0,0,,10.0,227.18,4544.0,,2,0.0,,34,92.84,11584,,,1681401368.0,,0.0,330.0416268909048
91,0,,0.0,58.63,6912.0,347.22124809061523,12409,0.0,0,,10.0,237.26,4672.0,,2,0.0,,35,92.78,12192,,,1681401369.0,,0.0,347.22124809061523
93,0,,0.0,54.67,7424.0,362.12906176118844,12972,0.0,0,,10.0,254.41,4768.0,,2,0.0,,36,92.81,12800,,,1681401371.0,,0.0,362.12906176118844
94,0,,0.0,52.04,7936.0,370.596634468557,13484,0.0,0,,10.0,269.3,4864.0,,2,0.0,,37,92.83,13184,,,1681401372.0,,0.0,370.596634468557
95,0,,0.0,48.52,8192.0,385.4441424149672,14067,0.0,0,,10.0,277.78,4992.0,,2,0.0,,38,92.82,13792,,,1681401373.0,,0.0,385.4441424149672
96,0,,0.0,45.83,8704.0,395.9724571888729,14622,0.0,0,,10.0,292.66,5088.0,,2,0.0,,39,92.78,14432,,,1681401374.0,,0.0,395.9724571888729
97,0,,0.0,43.13,9216.0,407.4421734910434,15195,0.0,0,,10.0,303.21,5216.0,,2,0.0,,40,92.76,15040,,,1681401375.0,,0.0,407.4421734910434
99,0,,0.0,41.57,9728.0,410.40208749254367,15707,0.0,0,,10.0,314.69,5312.0,,2,0.0,,41,92.75,15424,,,1681401377.0,,0.0,410.40208749254367
