_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,80.0,540929.032192,1681401872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681401872,2.125,0.0,0.0,7024.893952,6.999539275280665,16.0,0.0,106.323968,0.0,321.363968,0.0,0.0,0.0,6.875000000000001,0.0,0.0,530397.282304,2.854912,3508.0,0.0,4775.518208,0.0,44.0,1.9,3.4875000000000003,42402.033664,87.0,,,,,,,,,,,,,,
2,2,,,1681401873,2.125,0.0,0.0,7102.005248,0.0,3197.0,0.05358275455684849,106.729472,0.0,321.826816,0.0,0.0,0.0,6.425,2027.0,0.06112479804485345,530320.211968,2.854912,3509.0,0.0,4775.518208,0.0,2225.0,2.0,3.4499999999999997,42402.033664,87.0,,,,,,,,,,,,,,
3,3,,,1681401874,2.125,0.0,0.003999999999990678,7110.94272,0.1713552489350222,5392.0,0.17719618071634977,106.749952,2.0,322.842624,0.0,0.0,0.0,6.425,4751.0,0.3637553831766228,530311.274496,2.854912,3577.0,0.0009999999999976694,4789.071872,0.0,3401.0,2.0,3.4499999999999997,42482.556928,88.0,,,,,,,,,,,,,,
4,4,,,1681401875,2.125,0.0,0.003999999999990678,7359.627264,0.0,7805.0,3.2865179830697913,107.52,2.0,601.423872,0.0,0.0,0.0,6.425,7464.0,0.46765048105377544,530062.589952,2.854912,3616.0,0.0009999999999976694,5064.175616,0.0,5033.0,2.0,3.4499999999999997,42757.660672,89.0,,,,,,,,,,,,,,
5,5,,,1681401876,2.125,0.0,0.003999999999990678,7822.528512,0.0,9852.0,70.22203855859824,107.712512,2.0,1065.00096,0.0,0.0,0.0,6.425,10084.0,0.23316229583748535,529599.688704,2.854912,3640.0,0.0009999999999976694,6337.400832,0.0,6491.0,2.1,3.4499999999999997,44030.885888,94.0,,,,,,,,,,,,,,
6,6,,,1681401877,2.125,0.0,0.003999999999990678,8520.654848,0.0,11350.0,0.19045430458510207,107.712512,2.0,1762.22208,0.0,0.0,0.0,6.425,11893.0,0.14269721813495162,528901.562368,2.854912,3640.0,0.0009999999999976694,6337.400832,0.0,7583.0,2.2,3.4499999999999997,44030.885888,99.0,,,,,,,,,,,,,,
7,7,,,1681401878,2.125,0.0,0.007999999999981355,8849.707008,0.24909238584671034,13011.0,0.5698610418859852,108.040192,51.0,2091.794432,0.0,0.0,0.0,6.0125,14400.0,0.1378334595528708,528572.510208,2.854912,3640.0,0.012999999999998124,6555.803648,0.0,8926.0,2.3,3.4125,44249.288704,103.0,,,,,,,,,,,,,,
8,8,,,1681401879,2.125,0.0,0.015999999999991132,9390.866432,0.0979798769055243,14405.0,0.18981209067063212,108.040192,54.0,2632.179712,0.0,0.0,0.0,6.0125,16130.0,0.14373252454476151,528031.350784,2.854912,3643.0,0.012999999999998124,7110.070272,0.0,9969.0,2.4,3.4125,44803.555328,106.0,,,,,,,,,,,,,,
9,9,,,1681401880,2.125,0.0,0.015999999999991132,9775.869952,0.0,16133.0,0.5825706013919063,108.040192,54.0,3016.650752,0.0,0.0,0.0,6.0125,18041.0,0.15638344699430032,527646.343168,2.854912,3643.0,0.012999999999998124,7479.754752,0.0,11185.0,2.5,3.4125,45173.239808,109.0,,,,,,,,,,,,,,
