_timestamp,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_step,04_peers/peer_1_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated
1681401871.0,,,2.984010025464748,2.984010025464748,1,,,,0,,10938.19,0,,128,49,,,,128,10.0,0,,,,,
1681401873.0,,,15.840969557897218,15.840969557897218,1,,0.0,,0,,2042.14,0,,418,51,,,2.98,416,10.0,1,0.0,,,128.0,
1681401877.0,,,39.52573088579037,39.52573088579037,1,,0.0,,0,,808.7,0,,803,55,,,15.84,672,10.0,2,0.0,,,416.0,
1681401878.0,,,219.50621895571376,219.50621895571376,1,,0.0,,0,,141.08,0,,1800,56,,,39.53,1728,10.0,3,0.0,,,672.0,
1681401879.0,,,238.49200687109328,238.49200687109328,1,,0.0,,0,,128.58,0,,2103,57,,,219.51,2016,10.0,4,0.0,,,1728.0,
1681401880.0,,,246.91652344196714,246.91652344196714,1,,0.0,,0,,122.97,0,,2404,58,,,238.49,2336,10.0,5,0.0,,,2016.0,
1681401881.0,,,250.08865648128122,250.08865648128122,1,,0.0,,0,,120.22,0,,2702,59,,,246.92,2624,10.0,6,0.0,,,2336.0,
1681401883.0,,,251.3665528177614,251.3665528177614,1,,0.0,,0,,118.26,0,,3042,61,,,250.09,2912,10.0,7,0.0,,,2624.0,
1681401884.0,,,251.7059353455123,251.7059353455123,1,,0.0,,0,,116.92,0,,3339,62,,,251.37,3264,10.0,8,0.0,,,2912.0,
1681401885.0,,,252.00406713259244,252.00406713259244,1,,0.0,,0,,115.6,0,,3637,63,,,251.71,3552,10.0,9,0.0,,,3264.0,
1681401886.0,,,251.82915230074605,251.82915230074605,1,,0.0,,0,,114.5,0,,3934,64,,,252.0,3840,10.0,10,0.0,,,3552.0,
1681401887.0,,,251.7078954671211,251.7078954671211,1,,0.0,,0,,113.37,0,,4232,65,,,251.83,4160,10.0,11,0.0,,,3840.0,
1681401889.0,,,251.31609269208295,251.31609269208295,1,,0.0,,0,,112.37,0,,4528,67,,,251.71,4448,10.0,12,0.0,,,4160.0,
1681401890.0,,,251.194830109115,251.194830109115,1,,0.0,,0,,111.24,0,,4825,68,,,251.32,4736,10.0,13,0.0,,,4448.0,
1681401891.0,,,249.40521215264764,249.40521215264764,1,,0.0,,0,,110.87,0,,5117,69,,,251.19,5024,10.0,14,0.0,,,4736.0,
1681401892.0,,,250.69616175180875,250.69616175180875,1,,0.0,,0,,109.11,0,,5414,70,,,249.41,5344,10.0,15,0.0,,,5024.0,
1681401896.0,,,250.94529149953948,250.94529149953948,1,,0.0,,0,,104.82,0,,6464,74,,,250.7,5632,10.0,16,0.0,,,5344.0,
1681401898.0,,,351.4372139049162,351.4372139049162,2,,0.0,,0,,71.72,0,,7563,76,,,250.95,7456,10.0,17,0.0,,,5632.0,
1681401899.0,,,779.4812656172952,779.4812656172952,2,,0.0,,0,,28.8,0,0.0,10322,77,0.0,,251.01,10048,10.0,18,0.0,,100.43,6688.0,768.0
1681401900.0,,,1301.380994591986,1301.380994591986,2,,0.0,,0,,15.12,0,0.0,13094,78,0.0,,250.38,12640,6.05,19,0.0,,529.1,6976.0,3072.0
1681401901.0,,,1393.8612420231907,1393.8612420231907,2,,0.0,,0,,12.78,0,0.0,14949,79,0.0,,250.56,14496,5.11,20,0.0,,1050.82,7264.0,5376.0
1681401902.0,,,1556.0765791964034,1556.0765791964034,2,,0.0,,0,,10.1,0,0.0,17053,80,0.0,,250.78,16320,4.04,21,0.0,,1143.09,7584.0,6912.0
1681401903.0,,,1747.8363700258815,1747.8363700258815,2,,0.0,,0,,7.65,0,0.0,19388,81,0.0,,250.82,18656,3.06,22,0.0,,1305.26,7872.0,8448.0
1681401905.0,,,1780.5454265891888,1780.5454265891888,2,,0.0,,0,,6.35,0,0.0,21453,83,0.0,,250.79,20768,2.54,23,0.0,,1497.04,8160.0,10496.0
1681401906.0,,,1684.769104792577,1684.769104792577,2,,0.0,,0,,5.66,0,0.0,23224,84,0.0,,250.81,22592,2.27,24,0.0,,1529.73,8480.0,12288.0
1681401907.0,,,1563.4639317345245,1563.4639317345245,2,,0.0,,0,,5.01,0,0.0,24929,85,0.0,,251.04,24320,2.01,25,0.0,,1433.73,8768.0,13824.0
1681401908.0,,,1617.8991209206315,1617.8991209206315,2,,0.0,,0,,3.57,0,0.0,26999,86,0.0,,220.99,26144,1.43,26,0.0,,1342.47,8960.0,15360.0
1681401909.0,,,1698.2270188288644,1698.2270188288644,2,,0.0,,0,,2.14,0,0.0,29129,87,0.0,,225.45,28480,0.86,27,0.0,,1392.45,9248.0,16896.0
1681401911.0,,,1741.1469024892176,1741.1469024892176,2,,0.0,,0,,0.93,0,0.0,31156,89,0.0,,240.34,30592,0.5,28,0.0,,1457.89,9536.0,18944.0
1681401912.0,,,1701.0066182501873,1701.0066182501873,2,,0.0,,0,,0.0,0,0.0,33053,90,0.0,,246.93,32416,0.5,29,0.0,,1494.21,9856.0,20736.0
