04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/global_epoch,_runtime,03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,_step,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps
,,,101,10.51560770992422,,,,3106.55,10.51560770992422,1681402502.0,,,0,0,32,1,,96,0,10.0,,,,,,
,,96.0,204,21.47104328314906,,,,1516.64,21.47104328314906,1681402503.0,0.0,,0,0,33,1,10.52,192,1,10.0,,0.0,,,,
,,192.0,310,32.33936524423967,,,,1003.68,32.33936524423967,1681402504.0,0.0,,0,0,34,1,21.47,288,2,10.0,,0.0,,,,
,,288.0,435,45.814950776218744,,,,705.73,45.814950776218744,1681402506.0,0.0,,0,0,36,1,32.34,416,3,10.0,,0.0,,,,
,,416.0,541,54.68038838924584,,,,589.37,54.68038838924584,1681402507.0,0.0,,0,0,37,1,45.81,512,4,10.0,,0.0,,,,
,,512.0,647,62.21147140864265,,,,516.31,62.21147140864265,1681402508.0,0.0,,0,0,38,1,54.68,608,5,10.0,,0.0,,,,
,,608.0,763,70.23414089125008,,,,455.69,70.23414089125008,1681402509.0,0.0,,0,0,39,1,62.21,736,6,10.0,,0.0,,,,
,,736.0,901,75.4760166556652,,,,422.22,75.4760166556652,1681402510.0,0.0,,0,0,40,2,70.23,864,7,10.0,,0.0,,,,
32.0,,832.0,1104,81.36331090137844,,0.65,0.0,389.17,81.36331090137844,1681402512.0,0.0,0.0,0,0,42,2,74.83,1056,8,10.0,,0.0,,,,
128.0,,928.0,1342,89.01014937191461,,2.98,0.0,353.06,89.01014937191461,1681402513.0,0.0,0.0,0,0,43,2,78.38,1312,9,10.0,,0.0,,,,
256.0,,1056.0,1547,95.02499215604183,,7.18,0.0,328.56,95.02499215604183,1681402514.0,0.0,0.0,0,0,44,2,81.83,1504,10,10.0,,0.0,,,,
352.0,,1152.0,1781,103.34723144107991,,11.3,0.0,299.83,103.34723144107991,1681402515.0,0.0,0.0,0,0,45,2,83.73,1728,11,10.0,,0.0,,,,
480.0,,1248.0,1988,110.62950806464622,,18.25,0.0,278.22,110.62950806464622,1681402516.0,0.0,0.0,0,0,46,2,85.1,1920,12,10.0,,0.0,,,,
576.0,,1344.0,2221,121.16885912948489,,24.55,0.0,252.1,121.16885912948489,1681402517.0,0.0,0.0,0,0,47,2,86.08,2176,13,10.0,,0.0,,,,
704.0,,1472.0,2432,129.44747790752774,,34.19,0.0,234.35,129.44747790752774,1681402519.0,0.0,0.0,0,0,49,2,86.98,2368,14,10.0,,0.0,,,,
800.0,,1568.0,2661,140.26645030272698,,41.99,0.0,214.64,140.26645030272698,1681402520.0,0.0,0.0,0,0,50,2,87.46,2592,15,10.0,,0.0,,,,
928.0,,1664.0,2875,147.99006310432327,,52.48,0.0,202.0,147.99006310432327,1681402521.0,0.0,0.0,0,0,51,2,87.79,2816,16,10.0,,0.0,,,,
1024.0,,1792.0,3100,156.94059845234798,,59.92,0.0,189.04,156.94059845234798,1681402522.0,0.0,0.0,0,0,52,2,88.07,3040,17,10.0,,0.0,,,,
1152.0,,1888.0,3314,162.4698449683201,,68.71,0.0,181.29,162.4698449683201,1681402523.0,0.0,0.0,0,0,53,2,88.23,3232,18,10.0,,0.0,,,,
1248.0,,1984.0,3535,168.3743723015162,,74.2,0.0,173.62,168.3743723015162,1681402525.0,0.0,0.0,0,0,55,2,88.27,3456,19,10.0,,0.0,,,,
1376.0,,2080.0,3751,171.7135056365534,,80.04,0.0,168.99,171.7135056365534,1681402526.0,0.0,0.0,0,0,56,2,88.34,3680,20,10.0,,0.0,,,,
1472.0,,2208.0,3970,174.91274670332947,,83.35,0.0,164.64,174.91274670332947,1681402527.0,0.0,0.0,0,0,57,2,88.36,3904,21,10.0,,0.0,,,,
1600.0,,2304.0,4187,176.74049937190853,,86.59,0.0,161.71,176.74049937190853,1681402528.0,0.0,0.0,0,0,58,2,88.32,4096,22,10.0,,0.0,,,,
1696.0,,2400.0,4404,178.32459359344614,,88.47,0.0,159.06,178.32459359344614,1681402529.0,0.0,0.0,0,0,59,2,88.27,4320,23,10.0,,0.0,,,,
1824.0,,2496.0,4619,179.1494299700297,,90.13,0.0,157.12,179.1494299700297,1681402531.0,0.0,0.0,0,0,61,2,88.19,4544,24,10.0,,0.0,,,,
1920.0,,2624.0,4834,179.71817315684393,,91.0,0.0,155.43,179.71817315684393,1681402532.0,0.0,0.0,0,0,62,2,88.15,4736,25,10.0,,0.0,,,,
2016.0,,2720.0,5049,180.24666553357247,,91.61,0.0,153.78,180.24666553357247,1681402533.0,0.0,0.0,0,0,63,2,88.1,4960,26,10.0,,0.0,,,,
2144.0,,2816.0,5263,180.50481327014177,,92.16,0.0,152.38,180.50481327014177,1681402534.0,0.0,0.0,0,0,64,2,88.09,5184,27,10.0,,0.0,,,,
2240.0,,2944.0,5478,180.7405853435405,,92.45,0.0,150.99,180.7405853435405,1681402535.0,0.0,0.0,0,0,65,2,88.06,5408,28,10.0,,0.0,,,,
2368.0,,3040.0,5693,180.79473716360422,,92.69,0.0,149.76,180.79473716360422,1681402536.0,0.0,0.0,0,0,66,2,88.05,5600,29,10.0,,0.0,,,,
