04_peers/peer_8_epoch_oos,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,03_hivemind/num_peers,04_peers/peer_8_epoch,03_hivemind/num_clients,03_hivemind/global_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_5_samples_accumulated,_step,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_9_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_9_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_9_samples_accumulated,04_peers/peer_1_epoch_oos,04_peers/peer_6_epoch_oos,_timestamp,04_peers/peer_6_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,04_peers/peer_7_epoch,03_hivemind/total_training_samples,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_5_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_2_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_6_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,04_peers/peer_5_epoch_oos
,,,,,,,,,,1,,0,0,,,,0,,10.0,,,,,,,,,,1681405449.0,,,,32,,,,,3.2502832225192524,,,,,,,3.2502832225192524,39,,,,,10068.45,43,,
,,,,,,,,,,7,,0,0,,,,1,,10.0,,,,,,3.25,,0.0,,1681405450.0,,,,992,,,,,87.19007005339874,,,,32.0,,,87.19007005339874,40,,,,,363.96,1034,0.0,
,0.0,0.0,0.0,,,11.65,8.74,128.0,96.0,7,,0,0,,,128.0,2,,10.0,13.71,,0.0,13.69,,16.27,,0.0,0.0,1681405451.0,128.0,,0.0,1312,0.0,,,160.0,109.30452711870947,0.0,0.0,,192.0,11.69,160.0,109.30452711870947,41,,0.0,11.44,0.0,287.4,1354,0.0,0.0
,0.0,0.0,0.0,,,16.03,13.47,192.0,160.0,7,,0,0,,,192.0,3,,10.0,15.79,,0.0,15.76,,18.29,,0.0,0.0,1681405452.0,160.0,,0.0,1568,0.0,,,192.0,124.92164053650117,0.0,0.0,,224.0,14.03,192.0,124.92164053650117,42,,0.0,15.94,0.0,249.25,1631,0.0,0.0
,0.0,0.0,0.0,,,17.9,15.54,224.0,192.0,7,,0,0,,,224.0,4,,10.0,17.68,,0.0,17.64,,20.15,,0.0,0.0,1681405453.0,224.0,,0.0,1824,0.0,,,224.0,138.73690177328012,0.0,0.0,,256.0,18.09,224.0,138.73690177328012,43,,0.0,17.92,0.0,222.44,1907,0.0,0.0
,0.0,0.0,0.0,,,19.61,17.43,256.0,224.0,8,,0,0,,,256.0,5,,10.0,19.4,,0.0,19.33,,23.39,,0.0,0.0,1681405454.0,256.0,,0.0,2144,0.0,,,256.0,153.3115227115258,0.0,0.0,,320.0,19.84,256.0,153.3115227115258,44,,0.0,19.74,0.0,199.17,2233,0.0,0.0
0.0,0.0,0.0,0.0,,,21.15,19.16,288.0,256.0,8,0.0,0,0,0.62,,320.0,6,,10.0,20.97,,0.0,22.28,,24.8,,0.0,0.0,1681405455.0,288.0,32.0,0.0,2464,0.0,,,320.0,166.43247022768634,0.0,0.0,,352.0,21.43,288.0,166.43247022768634,45,,0.0,22.9,0.0,181.51,2559,0.0,0.0
0.0,0.0,0.0,0.0,,,22.55,22.15,320.0,320.0,8,0.0,0,0,1.29,,352.0,7,,10.0,23.67,,0.0,23.54,,26.08,,0.0,0.0,1681405456.0,320.0,64.0,0.0,2848,0.0,,,352.0,179.88009062417242,0.0,0.0,,384.0,22.88,352.0,179.88009062417242,46,,0.0,24.27,0.0,165.92,2923,0.0,0.0
0.0,0.0,0.0,0.0,,,24.95,23.45,384.0,352.0,8,0.0,0,0,2.76,,384.0,8,,10.0,24.83,,0.0,24.68,,28.31,,0.0,0.0,1681405458.0,384.0,128.0,0.0,3104,0.0,,,384.0,188.10673340285493,0.0,0.0,,448.0,25.38,384.0,188.10673340285493,48,,0.0,25.53,0.0,157.05,3225,0.0,0.0
0.0,0.0,0.0,0.0,,,25.96,24.62,416.0,384.0,8,0.0,0,0,3.57,,416.0,9,,10.0,25.86,,0.0,25.7,,29.27,,0.0,0.0,1681405462.0,416.0,160.0,0.0,3392,0.0,,,416.0,196.49700855746232,0.0,0.0,,480.0,26.45,416.0,196.49700855746232,52,,0.0,26.67,0.0,145.74,4130,0.0,0.0
