04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_7_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,_timestamp,04_peers/peer_8_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_4_epoch,03_hivemind/epoch_based_sps,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_8_epoch_oos,04_peers/peer_8_samples_per_second,_runtime,03_hivemind/num_peers,04_peers/peer_6_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_8_samples_accumulated,_step,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_6_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_9_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_9_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_7_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_9_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_5_epoch,03_hivemind/undershot_TBS
,,,,,,0,,1681405768.0,,,10.0,,,12.278277800161385,12.278277800161385,,,,,49,1,,99,,0,,,,,,,,,,,,,,,,,,2660.72,,,,96,,0,,,,,
,,,,,,0,,1681405769.0,,0.0,10.0,,,59.92879218624421,59.92879218624421,,,,,50,4,,461,,1,,96.0,,,,,,,12.28,,,,,,,,,539.1,,,,448,,0,,,0.0,,
0.0,,21.8,,,160.0,0,0.0,1681405770.0,,0.0,10.0,0.0,,182.2090961013484,182.2090961013484,0.0,,,,51,7,,1364,,2,4.06,224.0,32.0,,,,,,30.21,,32.0,,,,3.86,0.0,,172.35,,,,1344,,0,0.0,,0.0,,
0.0,,40.35,,0.0,288.0,0,0.0,1681405771.0,,0.0,10.0,0.0,,307.03603497403446,307.03603497403446,0.0,0.0,,,52,7,12.39,2291,,3,26.13,384.0,192.0,,0.0,,0.0,17.17,53.05,8.13,192.0,,,0.0,24.99,0.0,,99.26,64.0,128.0,96.0,2240,,0,0.0,,0.0,0.0,
0.0,,58.1,,0.0,416.0,0,0.0,1681405772.0,,0.0,10.0,0.0,,425.8906384644436,425.8906384644436,0.0,0.0,,,53,7,30.3,3224,,4,44.59,512.0,320.0,,0.0,,0.0,35.48,69.79,25.81,320.0,,,0.0,42.95,0.0,,69.37,192.0,256.0,224.0,3136,,0,0.0,,0.0,0.0,
0.0,,73.81,,0.0,544.0,0,0.0,1681405773.0,,0.0,10.0,0.0,,534.2390458110217,534.2390458110217,0.0,0.0,,,54,7,48.39,4186,,5,62.09,640.0,448.0,,0.0,,0.0,53.33,83.95,44.18,448.0,,,0.0,60.14,0.0,,53.5,320.0,384.0,352.0,4064,,0,0.0,,0.0,0.0,
0.0,,86.56,,0.0,672.0,0,0.0,1681405774.0,,0.0,10.0,0.0,,621.2944349844904,621.2944349844904,0.0,0.0,,,55,7,68.98,5137,,6,77.29,768.0,576.0,,0.0,,0.0,69.37,95.21,61.62,576.0,,,0.0,75.21,0.0,,44.47,448.0,512.0,512.0,4992,,0,0.0,,0.0,0.0,
0.0,,96.42,,0.0,800.0,0,0.0,1681405776.0,,0.0,10.0,0.0,,690.5271107324727,690.5271107324727,0.0,0.0,,,57,7,82.55,6092,,7,89.56,928.0,704.0,,0.0,,0.0,82.88,105.43,76.87,704.0,,,0.0,87.59,0.0,,38.63,576.0,640.0,640.0,5952,,0,0.0,,0.0,0.0,
0.0,,103.67,,0.0,928.0,0,0.0,1681405780.0,,0.0,10.0,0.0,,740.260224779177,740.260224779177,0.0,0.0,,,61,8,93.21,9408,,8,100.9,1056.0,864.0,,0.0,,0.0,92.93,110.96,91.94,832.0,,,0.0,96.92,0.0,,31.56,736.0,768.0,768.0,7008,,0,0.0,,0.0,0.0,
0.0,,108.63,,0.0,1056.0,0,0.0,1681405781.0,0.0,0.0,6.4,0.0,,1845.420754519465,1845.420754519465,0.0,0.0,0.0,3.7,62,9,101.0,17014,160.0,9,107.17,1184.0,992.0,,0.0,,0.0,100.47,114.68,100.75,960.0,,,0.0,103.86,0.0,,8.54,864.0,896.0,896.0,16576,,0,0.0,,0.0,0.0,
0.0,,117.02,,0.0,1568.0,0,0.0,1681405782.0,0.0,0.0,4.57,0.0,,2111.18885649036,2111.18885649036,0.0,0.0,0.0,29.94,63,9,114.64,19902,640.0,10,117.48,1696.0,1472.0,5632.0,0.0,,0.0,113.19,121.22,116.41,1472.0,,0.0,0.0,115.69,0.0,0.0,6.09,1344.0,1376.0,1376.0,19488,,0,0.0,999.83,0.0,0.0,
0.0,,117.46,,0.0,1696.0,0,0.0,1681405783.0,0.0,0.0,3.08,0.0,,2380.7648729048747,2380.7648729048747,0.0,0.0,0.0,44.83,64,9,115.79,22997,800.0,11,118.29,1824.0,1600.0,7424.0,0.0,,0.0,114.57,121.62,118.26,1600.0,,0.0,0.0,116.72,0.0,0.0,4.1,1504.0,1536.0,1504.0,22656,,0,0.0,1243.65,0.0,0.0,
0.0,,117.72,,0.0,1824.0,0,0.0,1681405784.0,0.0,0.0,2.11,0.0,,2450.5035295769876,2450.5035295769876,0.0,0.0,0.0,58.02,65,9,116.72,25886,928.0,12,119.1,1984.0,1760.0,9472.0,0.0,,0.0,115.23,121.93,119.13,1728.0,,0.0,0.0,117.35,0.0,0.0,2.81,1632.0,1664.0,1664.0,25216,,0,0.0,1495.55,0.0,0.0,
0.0,,117.96,,0.0,1952.0,0,0.0,1681405785.0,0.0,0.0,1.3,0.0,,2425.1940792222654,2425.1940792222654,0.0,0.0,0.0,71.15,66,9,117.18,28548,1056.0,13,119.28,2112.0,1888.0,11008.0,0.0,,0.0,115.58,122.12,119.92,1856.0,,0.0,0.0,117.72,0.0,0.0,1.74,1760.0,1792.0,1792.0,28032,,0,0.0,1549.6,0.0,0.0,
0.0,,118.04,,0.0,2080.0,0,0.0,1681405786.0,0.0,0.0,0.5,0.0,,2350.4202580175975,2350.4202580175975,0.0,0.0,0.0,83.19,67,9,117.53,31270,1184.0,14,119.63,2240.0,2016.0,12800.0,0.0,,0.0,115.86,122.13,120.08,1984.0,,0.0,0.0,117.95,0.0,0.0,0.64,1888.0,1920.0,1920.0,30784,,0,0.0,1510.79,0.0,0.0,
