04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_1_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,_step,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_5_epoch,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_5_epoch_oos,03_hivemind/per_epoch_training_samples,_timestamp,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_per_second,03_hivemind/global_epoch
,,,153.13852055911764,,,,,,,,,,,153.13852055911764,43,,,206.46,10.0,,1152,1120,0,,,,,,3,0,,,,,1681406373.0,,,0
,,,204.95487481624792,,416.0,224.0,480.0,,0.0,,55.95,30.17,,204.95487481624792,44,,0.0,152.29,10.0,,1556,1536,1,0.0,0.0,,,,3,0,,0.0,,,1681406374.0,0.0,67.01,0
,,,245.90796364657209,,544.0,352.0,640.0,,0.0,,71.61,48.4,,245.90796364657209,45,,0.0,125.35,10.0,,1944,1920,2,0.0,0.0,,,,3,0,,0.0,,,1681406375.0,0.0,84.95,0
,,,278.80739981805044,,672.0,480.0,768.0,,0.0,,84.57,65.41,,278.80739981805044,46,,0.0,109.18,10.0,,2329,2304,3,0.0,0.0,,,,3,0,,0.0,,,1681406376.0,0.0,95.93,0
,,,303.96469543316533,,800.0,608.0,896.0,,0.0,,94.66,80.0,,303.96469543316533,47,,0.0,98.88,10.0,,2713,2688,4,0.0,0.0,,,,3,0,,0.0,,,1681406377.0,0.0,104.15,0
,,,320.90512496592225,,928.0,736.0,1024.0,,0.0,,102.19,91.73,,320.90512496592225,48,,0.0,92.47,10.0,,3094,3040,5,0.0,0.0,,,,3,0,,0.0,,,1681406378.0,0.0,110.04,0
,,,334.07042410256355,,1024.0,864.0,1152.0,,0.0,,106.35,100.57,,334.07042410256355,49,,0.0,87.68,10.0,,3478,3424,6,0.0,0.0,,,,3,0,,0.0,,,1681406379.0,0.0,113.99,0
,,,343.40301872895736,,1152.0,992.0,1280.0,,0.0,,110.36,107.01,,343.40301872895736,50,,0.0,84.18,10.0,,3860,3808,7,0.0,0.0,,,,3,0,,0.0,,,1681406380.0,0.0,116.7,0
,,,349.2597268184826,,1280.0,1120.0,1408.0,,0.0,,113.11,111.69,,349.2597268184826,51,,0.0,81.68,10.0,,4239,4192,8,0.0,0.0,,,,3,0,,0.0,,,1681406381.0,0.0,118.61,0
,,,353.83202815750144,,1408.0,1248.0,1536.0,,0.0,,114.89,114.58,,353.83202815750144,55,,0.0,76.55,10.0,,5682,4576,9,0.0,0.0,,,,3,0,,0.0,,,1681406385.0,0.0,119.79,0
,,,1073.2136128086213,,1536.0,1376.0,1664.0,,0.0,,116.35,116.7,,1073.2136128086213,57,,0.0,20.72,10.0,,10530,10368,10,0.0,0.0,,,,5,0,,0.0,,,1681406387.0,0.0,120.78,0
0.0,,4096.0,1346.4585706537803,,2016.0,1856.0,2144.0,,0.0,,117.72,119.62,256.0,1346.4585706537803,58,0.0,0.0,14.93,9.33,,12668,12416,11,0.0,0.0,0.0,707.39,6.83,5,0,,0.0,0.0,,1681406388.0,0.0,121.65,0
0.0,,5632.0,1720.8643739311924,,2144.0,1984.0,2272.0,,0.0,,117.74,119.95,384.0,1720.8643739311924,59,0.0,0.0,10.21,6.38,,15190,14976,12,0.0,0.0,0.0,974.73,12.47,5,0,,0.0,0.0,,1681406389.0,0.0,121.57,0
