_step,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,_runtime,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,03_hivemind/per_epoch_training_samples,03_hivemind/global_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/num_clients
0,,,3.2780809551243113,,0,9985.93,,10.0,,31,1,,,,,32,,,,,,,33,3.2780809551243113,1681406677.0,,,,,0
1,,3.28,6.318533897902817,0.0,0,5175.27,,10.0,,32,1,,,,,64,,,,32.0,,,68,6.318533897902817,1681406678.0,,,0.0,,0
2,,6.32,9.12613960987432,0.0,0,3579.23,,10.0,,33,1,,,,,96,,,,64.0,,,103,9.12613960987432,1681406679.0,,,0.0,,0
3,,9.13,14.09284285951147,0.0,0,2313.62,,10.0,,34,1,,,,,160,,,,96.0,,,163,14.09284285951147,1681406680.0,,,0.0,,0
4,,14.09,16.26886020541414,0.0,0,2001.98,,10.0,,35,1,,,,,192,,,,160.0,,,198,16.26886020541414,1681406681.0,,,0.0,,0
5,,16.27,18.24349208159737,0.0,0,1783.31,,10.0,,36,1,,,,,224,,,,192.0,,,234,18.24349208159737,1681406682.0,,,0.0,,0
6,,18.24,20.071432068689937,0.0,0,1619.06,,10.0,,38,1,,,,,256,,,,224.0,,,271,20.071432068689937,1681406684.0,,,0.0,,0
7,,20.07,23.25095726488522,0.0,0,1395.46,,10.0,,39,1,,,,,320,,,,256.0,,,322,23.25095726488522,1681406685.0,,,0.0,,0
8,,23.25,24.634766405567476,0.0,0,1312.57,,10.0,,43,1,,,,,352,,,,320.0,,,433,24.634766405567476,1681406689.0,,,0.0,,0
9,,24.63,30.4495196807612,0.0,0,1058.18,,10.0,,44,2,,,,,544,,,,352.0,,,547,30.4495196807612,1681406690.0,,,0.0,,0
