_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.189632,1681407053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681407053,14.000000000000002,0.0,0.0,733.73696,0.0,26.0,1.2265179620397424,176.287744,0.0,399.368192,0.0,0.0,0.0,6.875000000000001,12.0,0.12473063403134681,30362.218496,2.654208,92.0,0.0,1009.62304,0.0,25.0,3.8,13.625000000000002,8492.642304,23.0,,,,,,,,,,,,,,
2,2,,,1681407054,14.000000000000002,0.0,0.008000000000009777,899.076096,0.01224849751426455,3019.0,0.4245268634569018,178.601984,3.0,405.069824,0.0,0.0,0.0,6.875000000000001,1942.0,1.3297673830327923,30196.875264,2.654208,131.0,0.0020000000004074536,1027.87072,0.0,3184.0,4.3,13.625000000000002,8644.849664,23.0,,,,,,,,,,,,,,
3,3,,,1681407055,14.000000000000002,0.0,0.012000000000000455,1179.021312,0.004084591435845004,3765.0,0.05259709243281771,180.49024,4.0,684.83072,0.0,0.0,0.0,6.875000000000001,2265.0,0.18375077054519592,29916.925952,2.654208,158.0,0.0020000000004074536,1306.824704,0.0,3888.0,5.2,13.625000000000002,8923.803648,25.0,,,,,,,,,,,,,,
4,4,,,1681407056,14.000000000000002,0.0,0.020000000000010232,1427.304448,0.004022757362756047,4287.0,0.08551502170482397,181.1456,5.0,933.666816,0.0,0.0,0.0,6.875000000000001,2679.0,0.19816008482691788,29668.642816,2.654208,175.0,0.0030000000006111804,2580.062208,0.0,4523.0,6.0,13.625000000000002,10197.028864,26.0,,,,,,,,,,,,,,
5,5,,,1681407057,14.000000000000002,0.0,0.02400000000000091,2109.546496,0.004085510331545104,4476.0,0.0005266478202154576,181.1456,6.0,1614.180352,0.0,0.0,0.0,7.375,2876.0,0.0005266478202154576,28986.396672,2.654208,175.0,0.004000000000814907,2580.062208,0.0,4957.0,8.1,13.625000000000002,10197.028864,28.0,,,,,,,,,,,,,,
6,6,,,1681407058,14.000000000000002,0.0,0.03999999999999204,2469.924864,0.2164848387043106,4794.0,0.05933069522062954,182.849536,12.0,1975.590912,0.0,0.0,0.0,7.375,3089.0,0.013937168840971449,28626.010112,2.654208,175.0,0.010000000000218279,2597.105664,0.0,5463.0,9.3,13.625000000000002,10214.07232,33.0,,,,,,,,,,,,,,
7,7,,,1681407059,14.000000000000002,0.0,0.04800000000000182,2975.789056,0.004083826328709962,5261.0,0.04615840423553422,182.849536,13.0,2479.939584,0.0,0.0,0.0,7.375,3460.0,0.03850122983157119,28120.150016,2.654208,175.0,0.011000000000422006,3101.028352,0.0,6152.0,10.9,13.625000000000002,10717.995008,34.0,,,,,,,,,,,,,,
8,8,,,1681407060,14.000000000000002,0.0,0.056000000000011596,3484.48768,0.004085071230441233,5412.0,0.04279750403208428,182.849536,14.0,2987.466752,0.0,0.0,0.0,7.375,3667.0,0.008122270552483787,27611.455488,2.654208,176.0,0.012000000000625732,3621.736448,0.0,6562.0,12.5,13.625000000000002,11238.703104,36.0,,,,,,,,,,,,,,
9,9,,,1681407061,14.000000000000002,0.0,0.060000000000002274,3598.790656,0.004084975068242279,5797.0,0.03204152323676433,182.849536,15.0,3101.831168,0.0,0.0,0.0,7.375,3939.0,0.03954128210573471,27497.152512,2.654208,176.0,0.01300000000082946,3722.678272,0.0,7144.0,12.9,13.625000000000002,11339.644928,38.0,,,,,,,,,,,,,,
10,10,,,1681407062,13.875000000000002,0.0,0.06399999999999295,3598.823424,0.004084497238402689,6027.0,0.0527394750533546,182.849536,16.0,3101.831168,0.0,0.0,0.0,7.75,4206.0,0.015460460228805432,27497.119744,2.654208,176.0,0.01300000000082946,3722.678272,0.0,7635.0,12.9,13.625000000000002,11339.644928,40.0,,,,,,,,,,,,,,
11,11,,,1681407063,13.875000000000002,0.0,0.06800000000001205,3598.819328,0.004084981867440941,6188.0,0.009885336958194095,182.849536,17.0,3101.831168,0.0,0.0,0.0,7.75,4366.0,0.009342800323511168,27497.119744,2.654208,176.0,0.014000000000123691,3722.678272,0.0,8040.0,12.9,13.625000000000002,11339.644928,41.0,,,,,,,,,,,,,,
12,12,,,1681407064,13.875000000000002,0.0,0.0800000000000125,3760.451584,0.05310523147644325,6611.0,0.05813171822976483,182.849536,23.0,3263.148032,0.0,0.0,0.0,7.75,4657.0,0.02552338275618531,27335.479296,2.654208,176.0,0.018000000000029104,4750.884864,0.0,8640.0,13.4,13.625000000000002,12367.85152,44.0,,,,,,,,,,,,,,
13,13,,,1681407065,13.875000000000002,0.0,0.08400000000000318,4327.714816,0.004085275222222968,6791.0,0.006630593226499531,182.849536,24.0,3829.379072,0.0,0.0,0.0,7.75,4835.0,0.006135891878324661,26768.232448,2.654208,176.0,0.01900000000023283,4750.884864,0.0,9055.0,15.2,13.625000000000002,12367.85152,46.0,,,,,,,,,,,,,,
14,14,,,1681407066,13.875000000000002,0.0,0.08799999999999386,4629.11488,0.004085046946630373,7024.0,0.04983438127658318,182.849536,25.0,4129.910784,0.0,0.0,0.0,7.75,5070.0,0.01765665798951683,26466.83648,2.654208,176.0,0.020000000000436557,4776.456192,0.0,9553.0,16.1,13.625000000000002,12594.356224,48.0,,,,,,,,,,,,,,
15,15,,,1681407067,13.875000000000002,0.0,0.09200000000001296,4629.336064,0.004085344200336858,7251.0,0.011186821435498897,182.849536,26.0,4129.910784,0.0,0.0,0.0,8.125,5243.0,0.011402259494382564,26466.6112,2.654208,176.0,0.021000000000640284,4776.456192,0.0,9992.0,16.1,13.5,12594.356224,49.0,,,,,,,,,,,,,,
16,16,,,1681407068,13.875000000000002,0.0,0.09600000000000364,4091.932672,0.004085145054999208,7539.0,0.047920666368093216,340.50048,27.0,3669.307392,0.0,0.0,0.0,8.125,5519.0,0.012510756726626425,26991.456256,2.654208,187.0,0.02200000000084401,4166.914048,0.0,10696.0,14.5,13.5,13463.257088,53.0,,,,,,,,,,,,,,
17,17,,,1681407069,13.875000000000002,0.0,0.10400000000001342,4781.092864,0.057183654693662975,7851.0,0.0234941215235841,460.562432,33.0,4474.933248,0.0,0.0,0.0,8.125,5790.0,0.05814097034626263,26302.271488,2.654208,187.0,0.027000000000043656,4852.547584,0.0,11236.0,16.7,13.5,14450.880512,56.0,,,,,,,,,,,,,,
18,18,,,1681407070,13.875000000000002,0.0,0.10800000000000409,3786.719232,0.0040843574069128795,8476.0,0.07740335923328415,463.331328,34.0,3478.925312,0.0,0.0,0.0,8.125,6230.0,0.042957548114716596,27296.64512,2.654208,197.0,0.027000000000043656,4116.2752,0.0,12027.0,13.5,13.5,15492.468736,58.0,,,,,,,,,,,,,,
19,19,,,1681407071,13.875000000000002,0.0,0.11199999999999477,3567.005696,0.004083843798950358,9926.0,0.009388054976432143,2363.727872,35.0,5154.816,0.0,0.0,0.0,8.125,6852.0,0.01823372446741557,25615.99488,2.654208,484.0,0.028000000000247383,3677.36832,0.0,14042.0,18.8,13.5,16954.208256,59.0,,,,,,,,,,,,,,
20,20,,,1681407072,14.124999999999998,0.0,0.12000000000000455,9391.345664,0.3672604651294673,10628.0,0.05234736841490449,2706.169856,96.0,11310.968832,0.0,0.0,0.0,11.5,7538.0,0.013493315281895768,19449.839616,2.654208,594.0,0.15300000000024738,9475.981312,0.0,15931.0,38.4,14.124999999999998,23094.358016,61.0,,,,,,,,,,,,,,
