_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s
42,,,,,10.0,,12.327534014465733,0,,,,12.327534014465733,1,,99,,,0,1681407078.0,,,0,,,,,,96,,2650.12
43,,,0.0,0.0,10.0,12.33,30.23542965144533,0,96.0,,,30.23542965144533,1,,230,,,1,1681407079.0,,,0,,,,,,224,,1076.15
44,,,0.0,0.0,10.0,30.24,48.46874042362318,0,224.0,,,48.46874042362318,1,,361,,,2,1681407080.0,,,0,,,,,,352,,668.61
45,,,0.0,0.0,10.0,48.47,65.47645115053476,0,352.0,,,65.47645115053476,1,,491,,,3,1681407081.0,,,0,,,,,,480,,492.95
46,,,0.0,0.0,10.0,65.48,141.21325712953197,0,480.0,,,141.21325712953197,2,,1137,,,4,1681407082.0,,,0,,,,,,1120,,223.99
47,,,0.0,0.0,10.0,80.04,433.15939323406326,0,608.0,512.0,,433.15939323406326,2,,3127,,,5,1681407083.0,0.0,,0,,,,0.0,61.17,3040,,68.43
48,,,0.0,0.0,10.0,91.67,797.8386208863919,0,736.0,2304.0,,797.8386208863919,2,,5103,,,6,1681407084.0,0.0,,0,,,,0.0,341.49,4960,,34.68
49,,,0.0,0.0,8.68,100.53,1181.5935057670097,0,864.0,4096.0,,1181.5935057670097,2,,7134,,,7,1681407085.0,0.0,,0,,,,0.0,697.31,6880,,21.69
50,,,0.0,0.0,6.28,107.02,1503.1458971451866,0,992.0,5888.0,,1503.1458971451866,2,,9153,,,8,1681407086.0,0.0,,0,,,,0.0,1074.57,9056,,15.71
51,,,0.0,0.0,5.55,111.59,1579.2655160397296,0,1120.0,7936.0,,1579.2655160397296,2,,10859,,,9,1681407087.0,0.0,,0,,,,0.0,1391.56,10720,,13.87
52,,,0.0,0.0,5.63,114.58,1455.421083354659,0,1248.0,9472.0,,1455.421083354659,2,,12267,,,10,1681407088.0,0.0,,0,,,,0.0,1464.68,12128,,14.09
53,,,0.0,0.0,4.5,116.49,1645.7579603181425,0,1376.0,10752.0,,1645.7579603181425,2,,14260,,,11,1681407089.0,0.0,,0,,,,0.0,1338.93,13792,,11.25
55,,,0.0,0.0,4.16,117.67,1629.6936489275797,0,1504.0,12288.0,,1629.6936489275797,2,,15815,,,12,1681407091.0,0.0,,0,,,,0.0,1528.09,15712,,10.4
56,,,0.0,0.0,4.01,118.66,1545.3585096384054,0,1632.0,14080.0,,1545.3585096384054,2,,17279,,,13,1681407092.0,0.0,,0,,,,0.0,1511.04,17120,,10.02
57,,,0.0,0.0,4.91,119.33,1422.9057350951477,0,1760.0,15360.0,,1422.9057350951477,3,,18789,,,14,1681407093.0,0.0,,0,,,,0.0,1426.03,18624,,9.82
58,,0.0,0.0,0.0,3.72,119.59,1604.4711977306877,0,1888.0,16640.0,96.0,1604.4711977306877,3,,20837,,2.0,15,1681407094.0,0.0,,0,0.0,,,0.0,1301.31,20672,,7.44
59,,0.0,0.0,0.0,3.11,119.66,1631.5672063953807,0,2016.0,18432.0,224.0,1631.5672063953807,3,,22624,,5.7,16,1681407095.0,0.0,,0,0.0,,,0.0,1479.11,22464,,6.22
60,,0.0,0.0,0.0,2.76,119.74,1547.5120835326597,0,2144.0,19968.0,352.0,1547.5120835326597,3,,24229,,10.92,17,1681407096.0,0.0,,0,0.0,,,0.0,1500.92,24000,,5.52
61,,0.0,0.0,0.0,2.32,119.77,1481.383524867931,0,2272.0,21248.0,480.0,1481.383524867931,3,,25882,,18.02,18,1681407097.0,0.0,,0,0.0,,,0.0,1409.72,25792,,4.65
65,,0.0,0.0,0.0,0.5,119.55,1687.8164751846846,0,2400.0,22784.0,608.0,1687.8164751846846,3,,33073,,27.23,19,1681407101.0,0.0,,0,0.0,,,0.0,1334.6,27808,,0.0
66,,0.0,0.0,0.0,0.5,119.6,1550.2465767339488,0,2496.0,24576.0,736.0,1550.2465767339488,3,,34372,,38.49,20,1681407102.0,0.0,,0,0.0,,,0.0,1529.73,32928,,0.0
67,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,35995,,77.29,21,1681407103.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
68,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,37627,,77.29,22,1681407104.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
69,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,39248,,77.29,23,1681407105.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
