03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,_timestamp,_runtime,03_hivemind/num_clients,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s
,,10.0,1681407385.0,45,0,32,,0,,,,,,,0,,,,32,0.6174563031580893,,,0.6174563031580893,1,,53016.99
,,10.0,1681407386.0,46,0,64,,0,,0.62,,,,32.0,1,,0.0,,65,1.2805181809193409,0.0,,1.2805181809193409,1,,25538.92
,,10.0,1681407387.0,47,0,128,,0,,1.28,,,,64.0,2,,0.0,,128,2.7471845051370396,0.0,,2.7471845051370396,1,,11881.16
,,10.0,1681407388.0,48,0,160,,0,,2.75,,,,128.0,3,,0.0,,161,3.5516860428812373,0.0,,3.5516860428812373,1,,9180.7
,,10.0,1681407389.0,49,0,192,,0,,3.55,,,,160.0,4,,0.0,,194,4.4036065279433165,0.0,,4.4036065279433165,1,,7397.08
,,10.0,1681407393.0,53,0,224,,0,,4.4,,,,192.0,5,,0.0,,244,5.302198204325207,0.0,,5.302198204325207,1,,6134.14
,,10.0,1681407394.0,54,0,384,,0,,5.3,,,,224.0,6,,0.0,,389,10.412379212871343,0.0,,10.412379212871343,1,,3109.64
,,10.0,1681407395.0,55,0,416,,0,,10.41,,,,384.0,7,,0.0,,424,11.534179941334223,0.0,,11.534179941334223,1,,2804.18
,,10.0,1681407396.0,56,0,480,,0,,11.53,,,,416.0,8,,0.0,,481,13.835427799114221,0.0,,13.835427799114221,1,,2333.67
,,10.0,1681407397.0,57,0,512,,0,,13.84,,,,480.0,9,,0.0,,516,15.003855382871368,0.0,,15.003855382871368,1,,2149.61
,,10.0,1681407398.0,58,0,544,,0,,15.0,,,,512.0,10,,0.0,,551,16.176358855284192,0.0,,16.176358855284192,1,,1991.61
,,10.0,1681407400.0,60,0,832,,0,,16.18,,,,544.0,11,,0.0,,844,26.960497015195415,0.0,,26.960497015195415,2,,1184.1
,,10.0,1681407401.0,61,0,1120,,0,,17.34,0.0,,9.62,576.0,12,,0.0,0.0,1144,38.21676892192514,0.0,256.0,38.21676892192514,2,,827.49
,,10.0,1681407402.0,62,0,1696,,0,,18.5,0.0,,19.72,608.0,13,,0.0,0.0,1703,62.062191916707384,0.0,512.0,62.062191916707384,2,,500.54
,,10.0,1681407403.0,63,0,1984,,0,,20.75,0.0,,41.31,672.0,14,,0.0,0.0,2015,74.5901088141274,0.0,1024.0,74.5901088141274,2,,412.29
,,10.0,1681407404.0,64,0,2528,,0,,21.84,0.0,,52.75,704.0,15,,0.0,0.0,2547,99.54039980467365,0.0,1280.0,99.54039980467365,2,,303.61
