03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
5112,2195.6946592613867,2,4864,0,5.13,39,0,2.05,2195.6946592613867,1682807851,0,,,,,,,,,,,,,,,
7291,1710.0480969429923,2,7136,1,5.32,40,0,2.13,1710.0480969429923,1682807852,0,3584.0,1280.0,0.0,0.0,0.0,1013.35,1182.35,0.0,,,,,,,
9904,2137.9556595296995,2,9696,2,3.03,41,0,1.21,2137.9556595296995,1682807853,0,4416.0,2720.0,0.0,0.0,0.0,1197.69,512.36,0.0,,,,,,,
12151,1948.1972327962358,2,11936,3,2.17,43,0,0.87,1948.1972327962358,1682807855,0,5664.0,4032.0,0.0,0.0,0.0,1119.44,1018.52,0.0,,,,,,,
14654,1806.9519359930994,2,14432,4,0.96,44,0,0.5,1806.9519359930994,1682807856,0,6560.0,5376.0,0.0,0.0,0.0,1171.66,776.53,0.0,,,,,,,
16616,1942.7328280961342,2,16416,5,0.0,45,0,0.5,1942.7328280961342,1682807857,0,7936.0,6496.0,0.0,0.0,0.0,732.07,1074.89,0.0,,,,,,,
18995,1982.700419147885,2,16480,6,0.0,46,0,0.5,1982.700419147885,1682807858,0,8672.0,7744.0,0.0,0.0,0.0,1102.74,839.99,0.0,,,,,,,
21355,1982.700419147885,2,16480,7,0.0,48,0,0.5,1982.700419147885,1682807860,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
23701,1982.700419147885,2,16480,8,0.0,49,0,0.5,1982.700419147885,1682807861,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
26053,1982.700419147885,2,16480,9,0.0,50,0,0.5,1982.700419147885,1682807862,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
28400,1982.700419147885,2,16480,10,0.0,51,0,0.5,1982.700419147885,1682807863,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
30761,1982.700419147885,2,16480,11,0.0,52,0,0.5,1982.700419147885,1682807864,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
33114,1982.700419147885,2,16480,12,0.0,54,0,0.5,1982.700419147885,1682807866,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
35472,1982.700419147885,2,16480,13,0.0,55,0,0.5,1982.700419147885,1682807867,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
37831,1982.700419147885,2,16480,14,0.0,56,0,0.5,1982.700419147885,1682807868,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
40192,1982.700419147885,2,16480,15,0.0,57,0,0.5,1982.700419147885,1682807869,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
42545,1982.700419147885,2,16480,16,0.0,58,0,0.5,1982.700419147885,1682807870,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
1328,2214.249533957487,2,1088,17,6.8,59,1,2.72,2214.249533957487,1682807871,0,8704.0,7776.0,0.0,0.0,0.0,1115.99,866.71,0.0,,,,,,,
3633,2159.9506275689387,2,3392,18,5.9,61,1,2.36,2159.9506275689387,1682807873,0,480.0,608.0,1.0,1.0,0.0,1282.07,932.18,0.0,20.356878596358,0.0,16480.0,16480.0,0.0,809.554368661824,1.0
