03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,_runtime,_timestamp,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_accumulated
,,12.909374052983082,,392,,0,,1,,,2507.92,43,1682808854.0,,10.0,,352,0,,0,,,,,12.909374052983082,
,,846.1194719128862,,3994,,0,0.0,1,,,34.01,44,1682808855.0,,8.5,,3904,1,,0,12.91,,0.0,,846.1194719128862,352.0
,,935.9991254915017,,5195,,0,0.0,2,,,29.46,45,1682808856.0,,10.0,,5088,2,,0,846.12,,0.0,,935.9991254915017,3904.0
,0.0,1574.8916316107916,,7282,,0,0.0,2,,,16.18,46,1682808857.0,192.0,6.47,,7104,3,,0,846.93,89.06,0.0,0.0,1574.8916316107916,4896.0
,0.0,1662.1344195886734,,9261,,0,0.0,2,,,14.14,47,1682808858.0,1216.0,5.66,,9088,4,,0,835.54,739.35,0.0,0.0,1662.1344195886734,5888.0
,0.0,1680.5843594409168,,11531,,0,0.0,2,,,12.64,49,1682808860.0,2208.0,5.05,,11360,5,,0,828.96,833.17,0.0,0.0,1680.5843594409168,6880.0
,0.0,1667.9293569614792,,13508,,0,0.0,2,,,11.55,50,1682808861.0,3328.0,4.62,,13344,6,,0,842.71,837.88,0.0,0.0,1667.9293569614792,8032.0
,0.0,1683.746935359355,,15498,,0,0.0,2,,,10.26,51,1682808862.0,4320.0,4.1,,15328,7,,0,838.92,829.01,0.0,0.0,1683.746935359355,9024.0
,0.0,1687.763425966823,,17503,,0,0.0,2,,,9.04,52,1682808863.0,5312.0,3.62,,17312,8,,0,839.58,844.16,0.0,0.0,1687.763425966823,10016.0
,0.0,1663.206823846371,,19465,,0,0.0,2,,,8.0,54,1682808865.0,6304.0,3.2,,19296,9,,0,843.36,844.41,0.0,0.0,1663.206823846371,11008.0
