_runtime,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_4_samples_per_second,03_hivemind/epoch_s,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples,_step,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/global_samples_accumulated
44,3,,,,,,,,,,,1682815847.0,,,,,,,0,,2754,0,,,2015.0047434413766,,7.45,,,2015.0047434413766,0,14.9,,2528
45,3,0.0,,,,,,0.0,,662.07,,1682815848.0,832.0,768.0,0.0,,,0.0,0,771.44,7202,1,,0.0,3517.063372741526,0.0,3.63,581.49,928.0,3517.063372741526,0,7.27,,6816
46,3,0.0,,,,,,0.0,,1167.75,,1682815849.0,2240.0,2208.0,0.0,,,0.0,0,1177.76,11364,2,,0.0,3440.4379559238496,0.0,3.11,1171.56,2368.0,3440.4379559238496,0,6.22,,10880
47,3,0.0,,,,,,0.0,,1197.41,,1682815850.0,3616.0,3616.0,0.0,,,0.0,0,1009.8,15121,3,,0.0,3409.213637897615,0.0,2.59,1233.23,3648.0,3409.213637897615,0,5.18,,14784
50,3,0.0,,,,,,0.0,,1154.38,,1682815853.0,4928.0,4928.0,0.0,,,0.0,0,1098.81,21948,4,,0.0,3039.556579957341,0.0,1.78,1156.02,4928.0,3039.556579957341,0,3.56,,21504
51,3,0.0,,,,,,0.0,,1033.58,,1682815854.0,7136.0,7232.0,0.0,,,0.0,0,1046.49,25229,5,,0.0,2612.096856098611,0.0,1.44,959.48,7136.0,2612.096856098611,0,2.89,,24928
52,4,0.0,,,,,,0.0,,937.06,,1682815855.0,8288.0,8256.0,0.0,,,0.0,0,1068.02,29457,6,,0.0,2477.326917954246,0.0,0.76,607.01,8384.0,2477.326917954246,0,1.34,,29152
53,4,0.0,,,188.16,,0.0,0.0,0.0,633.76,,1682815856.0,9216.0,9440.0,0.0,,1184.0,0.0,0,636.24,35209,7,,0.0,4414.657603332005,0.0,0.5,1019.16,9312.0,4414.657603332005,0,0.0,,33632
55,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815858.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,40576,8,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
56,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815859.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,45884,9,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
