03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
1156,496.0924073665395,3,1088,0,63.72,44,0,10.0,496.0924073665395,1682816108,0,,,,,,,,,,,,,,,,,,,,,,,
3250,1379.584612295451,3,3072,1,21.4,45,0,10.0,1379.584612295451,1682816109,0,384.0,160.58,352.0,0.0,0.0,0.0,0.0,352.0,0.0,159.26,176.25,0.0,,,,,,,,,,,
5238,1609.2304686330394,3,5024,2,17.11,46,0,8.55,1609.2304686330394,1682816110,0,1056.0,453.31,1024.0,0.0,0.0,0.0,0.0,992.0,0.0,459.08,467.2,0.0,,,,,,,,,,,
7170,1627.8617262962675,3,6976,3,15.72,47,0,7.86,1627.8617262962675,1682816111,0,1696.0,538.44,1664.0,0.0,0.0,0.0,0.0,1664.0,0.0,533.97,536.82,0.0,,,,,,,,,,,
11479,1642.1790283432265,3,11296,4,12.96,50,0,6.48,1642.1790283432265,1682816114,0,2368.0,537.62,2304.0,0.0,0.0,0.0,0.0,2304.0,0.0,542.42,547.82,0.0,,,,,,,,,,,
13655,1643.0163828165803,4,13440,5,11.63,51,0,6.65,1643.0163828165803,1682816115,0,3808.0,547.64,3744.0,0.0,0.0,0.0,0.0,3744.0,0.0,545.47,549.07,0.0,,,,,,,,,,,
16231,1695.5147286490478,4,16000,6,9.75,52,0,5.57,1695.5147286490478,1682816116,0,4448.0,545.39,4384.0,0.0,0.0,0.0,0.0,4384.0,0.0,544.8,547.87,0.0,4.96,224.0,0.0,0.0,,,,,,,
18893,1925.632474720141,4,18656,7,7.21,53,0,4.12,1925.632474720141,1682816117,0,5120.0,544.8,5024.0,0.0,0.0,0.0,0.0,5024.0,0.0,542.07,549.88,0.0,58.76,832.0,0.0,0.0,,,,,,,
21488,2106.912576016515,4,21184,8,5.35,55,0,3.06,2106.912576016515,1682816119,0,5760.0,544.89,5696.0,0.0,0.0,0.0,0.0,5696.0,0.0,540.54,545.49,0.0,294.71,1504.0,0.0,0.0,,,,,,,
24124,2172.0729783768356,4,23808,9,3.98,56,0,2.27,2172.0729783768356,1682816120,0,6400.0,544.84,6304.0,0.0,0.0,0.0,0.0,6336.0,0.0,527.38,544.94,0.0,489.76,2144.0,0.0,0.0,,,,,,,
