04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/global_samples_accumulated,_timestamp,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/reached_TBS,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,04_peers/peer_4_epoch_oos,03_hivemind/global_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,_step,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/undershot_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second
,,,320,1682816361.0,2,,,,124.4725051135738,260.55,10.0,,337,47,,,0,124.4725051135738,,,0,,,,0,,,,,,,,,
,,,6528,1682816363.0,3,0.0,,160.0,2485.797043272636,10.43,5.22,,6830,49,0.0,,0,2485.797043272636,160.0,,0,0.0,,,1,0.0,,,,56.61,,,,67.86
0.0,,0.0,9504,1682816364.0,3,0.0,,2240.0,2493.233995063602,9.2,4.6,823.1,9825,50,0.0,,0,2493.233995063602,2240.0,,0,0.0,2048.0,,2,0.0,,,,832.03,,,,830.66
0.0,,0.0,12512,1682816366.0,3,0.0,,3232.0,2491.9292317776944,8.0,4.0,831.4,12825,52,0.0,,0,2491.9292317776944,3232.0,,0,0.0,3040.0,,3,0.0,,,,824.97,,,,836.87
0.0,,0.0,15520,1682816367.0,3,0.0,,4224.0,2491.0524425407466,6.81,3.4,824.81,15806,53,0.0,,0,2491.0524425407466,4256.0,,0,0.0,4032.0,,4,0.0,,,,823.78,,,,843.34
0.0,,0.0,18496,1682816368.0,3,0.0,,5216.0,2472.86512989573,5.65,2.82,828.41,18804,54,0.0,,0,2472.86512989573,5280.0,,0,0.0,5024.0,,5,0.0,,,,820.82,,,,841.82
0.0,,0.0,21504,1682816369.0,4,0.0,,6208.0,2502.061277512152,4.37,2.5,831.1,21824,55,0.0,,0,2502.061277512152,6272.0,,0,0.0,6016.0,,6,0.0,,,,824.57,,,,817.2
0.0,,0.0,25440,1682816370.0,4,0.0,,7200.0,2559.736330758778,2.74,1.56,837.8,25767,56,0.0,0.0,0,2559.736330758778,7264.0,,0,0.0,7008.0,,7,0.0,,,0.51,825.1,32.0,0.0,,838.66
0.0,,0.0,29408,1682816372.0,4,0.0,,8160.0,3180.4716661425437,0.92,0.53,835.97,29832,58,0.0,0.0,0,3180.4716661425437,8224.0,,0,0.0,8000.0,,8,0.0,,,123.01,780.65,1056.0,0.0,,820.1
0.0,,0.0,32864,1682816373.0,4,0.0,,9152.0,3287.7785350279787,0.0,0.5,828.17,33820,59,0.0,0.0,0,3287.7785350279787,9216.0,,0,0.0,8992.0,,9,0.0,,,692.95,821.43,2048.0,0.0,,837.91
0.0,,0.0,32864,1682816374.0,4,0.0,,10016.0,3287.7785350279787,0.0,0.5,821.28,37774,60,0.0,0.0,0,3287.7785350279787,10080.0,,0,0.0,9856.0,,10,0.0,,,820.56,817.83,2912.0,0.0,,828.11
0.0,,0.0,32864,1682816375.0,4,0.0,,10016.0,3287.7785350279787,0.0,0.5,821.28,41704,61,0.0,0.0,0,3287.7785350279787,10080.0,,0,0.0,9856.0,,11,0.0,,,820.56,817.83,2912.0,0.0,,828.11
0.0,,0.0,32864,1682816376.0,4,0.0,,10016.0,3287.7785350279787,0.0,0.5,821.28,45667,62,0.0,0.0,0,3287.7785350279787,10080.0,,0,0.0,9856.0,,12,0.0,,,820.56,817.83,2912.0,0.0,,828.11
0.0,,0.0,32864,1682816378.0,4,0.0,,10016.0,3287.7785350279787,0.0,0.5,821.28,49617,64,0.0,0.0,0,3287.7785350279787,10080.0,,0,0.0,9856.0,,13,0.0,,,820.56,817.83,2912.0,0.0,,828.11
0.0,,0.0,32864,1682816379.0,4,0.0,,10016.0,3287.7785350279787,0.0,0.5,821.28,53548,65,0.0,0.0,0,3287.7785350279787,10080.0,,0,0.0,9856.0,,14,0.0,,,820.56,817.83,2912.0,0.0,,828.11
0.0,,0.0,32864,1682816380.0,4,0.0,,10016.0,3287.7785350279787,0.0,0.5,821.28,57479,66,0.0,0.0,0,3287.7785350279787,10080.0,,0,0.0,9856.0,,15,0.0,,,820.56,817.83,2912.0,0.0,,828.11
