03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_2_epoch_oos,04_peers/peer_6_epoch,04_peers/peer_5_samples_accumulated,04_peers/peer_2_samples_per_second,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos
936,86.17667062334681,1,928,0,369.38,52,0,10.0,86.17667062334681,1682816788,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,1128.986213654739,1,2400,1,26.8,53,0,6.7,1128.986213654739,1682816789,0,928.0,0.0,86.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3896,1065.096948867367,1,3776,2,27.11,54,0,6.78,1065.096948867367,1682816790,0,2400.0,0.0,1128.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4895,885.1240077771737,1,4800,3,31.49,55,0,7.87,885.1240077771737,1682816791,0,3776.0,0.0,1065.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5892,672.5194340529478,1,5824,4,39.96,56,0,9.99,672.5194340529478,1682816792,0,4800.0,0.0,885.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6913,822.751984281365,1,6816,5,31.43,57,0,7.86,822.751984281365,1682816793,0,5824.0,0.0,672.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8084,813.9266020755009,1,8000,6,30.33,59,0,7.58,813.9266020755009,1682816795,0,6816.0,0.0,822.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9144,970.0577144125119,1,9024,7,24.35,60,0,6.09,970.0577144125119,1682816796,0,8000.0,0.0,813.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10521,1245.004114973895,1,10400,8,17.87,61,0,4.47,1245.004114973895,1682816797,0,9024.0,0.0,970.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11555,886.2619782735129,1,11456,9,23.94,62,0,5.98,886.2619782735129,1682816798,0,10400.0,0.0,1245.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
