_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1682817065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1682817065,0.9333333333333335,0.0,0.0,1204.760576,0.0,16.0,2.1333097929491145,179.544064,0.0,395.956224,0.0,0.0,0.0,0.6333333333333333,4.0,0.24324333406167345,208132.849664,2.719744,139.0,0.0,2481.33632,0.0,16.0,1.4,1.3666666666666665,9963.708416,52.0,,,,,,,,,,,,,,
2,1,,,1682817066,0.9333333333333335,0.0,0.008000000000009777,1747.644416,0.012254645469490436,6151.0,3.955290543598925,313.458688,3.0,863.895552,0.0,0.0,0.0,0.6333333333333333,3835.0,1.2943729930664463,207579.582464,2.719744,169.0,0.0009999999999763531,2845.671424,0.0,6357.0,1.7,1.3666666666666665,11135.123456,57.0,,,,,,,,,,,,,,
3,2,,,1682817067,0.9333333333333335,0.0,0.020000000000010232,2597.924864,0.2085747068449814,11064.0,5.649593239798551,465.670144,6.0,1847.181312,0.0,0.0,0.0,0.6333333333333333,6916.0,0.9508552811847636,206727.503872,2.719744,256.0,0.0029999999999290594,3952.64,0.0,12358.0,2.1,1.3666666666666665,14056.464384,65.0,,,,,,,,,,,,,,
4,3,,,1682817068,0.9333333333333335,0.0,0.028000000000005798,3104.264192,0.5555280773911734,23027.0,6.553910146973058,666.341376,94.0,2340.876288,0.0,0.0,0.0,0.6333333333333333,16139.0,14.798960986117526,206022.057984,2.719744,395.0,0.047000000000025466,4331.732992,0.0,299934.0,2.4,1.3666666666666665,16378.048512,231.0,,,,,,,,,,,,,,
5,4,,,1682817069,1.0333333333333332,0.0,0.03200000000001069,4411.830272,0.004085158658179274,35782.0,7.037459727553662,810.565632,95.0,3085.410304,0.0,0.0,0.0,1.9333333333333331,35849.0,631.0455239112412,204433.846272,2.719744,416.0,0.047000000000025466,4941.04576,0.0,318229.0,3.1,1.633333333333333,17579.671552,276.0,0.0029067010000289883,,,,,,,,,,,,,
6,5,,,1682817070,1.0333333333333332,0.0,0.036000000000001364,5289.377792,0.0040869322251927695,43570.0,6.49799873881312,1099.264,96.0,4238.66368,0.0,0.0,0.0,1.9333333333333331,40888.0,2.737789602430146,203556.319232,2.719744,443.0,0.04800000000000182,5827.846144,0.0,325173.0,3.6,1.633333333333333,21000.445952,284.0,,0.00022613000010096584,1.3001348540001345,0.10947564999969472,,,,,,,,,,
7,6,,,1682817071,1.0333333333333332,0.0,0.04000000000000625,5302.341632,0.004069011040685347,51212.0,3.304966800111539,1099.264,97.0,4238.934016,0.0,0.0,0.0,1.9333333333333331,45847.0,1.0688703912502593,203543.355392,2.719744,443.0,0.04800000000000182,5828.173824,0.0,331266.0,3.6,1.633333333333333,21000.708096,284.0,,,,,,,,,,,,,,
8,7,,,1682817072,1.0333333333333332,0.0,0.04800000000000182,5304.147968,0.10627166496843574,58741.0,3.377829543366565,1099.264,100.0,4238.934016,0.0,0.0,0.0,1.9333333333333331,50365.0,1.0281655855404352,203541.549056,2.719744,443.0,0.04899999999997817,5828.173824,0.0,337120.0,3.6,1.633333333333333,21000.708096,284.0,,,,,,,,,,,,,,
9,8,,,1682817073,1.0333333333333332,0.0,0.056000000000011596,5308.063744,0.2615943424313669,64423.0,2.4512095602955024,1099.264,140.0,4238.934016,0.0,0.0,0.0,1.9333333333333331,53733.0,0.7779254363418157,203537.625088,2.719744,443.0,0.07399999999995543,5828.173824,0.0,341523.0,3.6,1.633333333333333,21000.708096,284.0,,,,,,,,,,,,,,
