03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_2_epoch_oos,04_peers/peer_6_epoch,04_peers/peer_5_samples_accumulated,04_peers/peer_2_samples_per_second,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
385,11.406589949982653,1,384,0,2838.95,52,0,10.0,11.406589949982653,1682817043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,104.02608004271174,1,1024,1,305.04,53,0,10.0,104.02608004271174,1682817044,0,384.0,0.0,11.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,362.7442102421803,1,1664,2,85.63,54,0,10.0,362.7442102421803,1682817045,0,1024.0,0.0,104.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368,514.0672143667925,1,2304,3,59.14,56,0,10.0,514.0672143667925,1682817047,0,1664.0,0.0,362.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,540.5239527111369,1,2944,4,55.05,57,0,10.0,540.5239527111369,1682817048,0,2304.0,0.0,514.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,541.2122675551968,1,3584,5,53.8,58,0,10.0,541.2122675551968,1682817049,0,2944.0,0.0,540.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4297,544.1948203941525,1,4224,6,52.32,59,0,10.0,544.1948203941525,1682817050,0,3584.0,0.0,541.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4942,545.5634531143294,1,4864,7,51.0,60,0,10.0,545.5634531143294,1682817051,0,4224.0,0.0,544.19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5585,546.1111687136191,1,5536,8,49.78,62,0,10.0,546.1111687136191,1682817053,0,4864.0,0.0,545.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6233,548.2114189007017,1,6176,9,48.4,63,0,10.0,548.2114189007017,1682817054,0,5536.0,0.0,546.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
