03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
3562,620.710092903398,3,1216,0,47.05,79,0,10.0,620.710092903398,1682817361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22576,4110.6010711305125,5,21952,1,2.48,81,0,1.55,4110.6010711305125,1682817363,0,416.0,193.74,416.0,0.0,0.0,0.0,0.0,384.0,0.0,215.12,211.84,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28316,4153.0365031147385,5,27712,2,1.07,82,0,0.67,4153.0365031147385,1682817364,0,4640.0,837.2,4736.0,0.0,0.0,0.0,0.0,4672.0,0.0,834.16,791.12,0.0,827.42,4192.0,0.0,820.7,3712.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
34313,4229.87737438536,7,33056,3,0.0,83,0,0.5,4229.87737438536,1682817365,0,5792.0,827.12,5888.0,0.0,0.0,0.0,0.0,5824.0,0.0,826.26,834.47,0.0,831.11,5344.0,0.0,834.07,4864.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
40394,4300.998132011646,8,38368,4,0.0,85,0,0.5,4300.998132011646,1682817367,0,6816.0,824.06,6912.0,0.0,0.0,0.0,0.0,6848.0,0.0,833.97,826.37,0.0,831.05,6368.0,0.0,828.11,5888.0,0.0,0.0,0.0,0.0,128.0,36.36,49.96,96.0,0.0,0.0,0.0,,,,,,,,,,,
46939,4278.254143826108,8,40256,5,0.0,86,0,0.5,4278.254143826108,1682817368,0,8128.0,843.02,8192.0,0.0,0.0,0.0,0.0,8160.0,0.0,833.0,842.23,0.0,839.02,7680.0,0.0,828.11,5888.0,0.0,0.0,0.0,0.0,160.0,50.44,64.84,128.0,0.0,0.0,0.0,0.34,32.0,0.0,0.0,,,,,,,
52924,4278.254143826108,8,40256,6,0.0,88,0,0.5,4278.254143826108,1682817370,0,8448.0,841.77,8576.0,0.0,0.0,0.0,0.0,8512.0,0.0,834.59,826.15,0.0,832.02,8512.0,0.0,828.11,5888.0,0.0,0.0,0.0,0.0,160.0,50.44,64.84,128.0,0.0,0.0,0.0,0.34,32.0,0.0,0.0,,,,,,,
58912,4278.254143826108,8,40256,7,0.0,89,0,0.5,4278.254143826108,1682817371,0,8448.0,841.77,8576.0,0.0,0.0,0.0,0.0,8512.0,0.0,834.59,826.15,0.0,832.02,8512.0,0.0,828.11,5888.0,0.0,0.0,0.0,0.0,160.0,50.44,64.84,128.0,0.0,0.0,0.0,0.34,32.0,0.0,0.0,,,,,,,
64913,4278.254143826108,8,40256,8,0.0,91,0,0.5,4278.254143826108,1682817373,0,8448.0,841.77,8576.0,0.0,0.0,0.0,0.0,8512.0,0.0,834.59,826.15,0.0,832.02,8512.0,0.0,828.11,5888.0,0.0,0.0,0.0,0.0,160.0,50.44,64.84,128.0,0.0,0.0,0.0,0.34,32.0,0.0,0.0,,,,,,,
70914,4278.254143826108,8,40256,9,0.0,92,0,0.5,4278.254143826108,1682817374,0,8448.0,841.77,8576.0,0.0,0.0,0.0,0.0,8512.0,0.0,834.59,826.15,0.0,832.02,8512.0,0.0,828.11,5888.0,0.0,0.0,0.0,0.0,160.0,50.44,64.84,128.0,0.0,0.0,0.0,0.34,32.0,0.0,0.0,,,,,,,
