_runtime,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/num_peers,03_hivemind/global_epoch,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,_step,03_hivemind/reached_TBS,03_hivemind/global_samples_accumulated
36,,712.71,1,0,,,,,,11.043560767204893,1680686984.0,,0,,,321,,,11.043560767204893,,10.0,,,0,,320
37,,72.7,1,0,,,,,0.0,99.6953835362941,1680686985.0,,0,,11.04,944,0.0,,99.6953835362941,,10.0,,320.0,1,,928
41,,17.67,1,0,,,,,0.0,320.5083445537392,1680686989.0,,0,,99.7,2530,0.0,,320.5083445537392,,4.42,,928.0,2,,1536
42,,5.33,2,0,,,,,0.0,785.7032080298569,1680686990.0,,0,,320.51,4007,0.0,,785.7032080298569,,2.13,,1536.0,3,,3904
43,0.0,3.61,2,0,640.0,0.0,,,0.0,880.7151980717088,1680686991.0,,0,,475.27,5016,0.0,,880.7151980717088,,1.44,310.44,3264.0,4,,4896
45,0.0,2.12,2,0,1248.0,0.0,,,0.0,975.8057812965442,1680686993.0,,0,,393.09,6120,0.0,,975.8057812965442,,0.85,487.63,3648.0,5,,5984
46,0.0,0.97,2,0,1824.0,0.0,,,0.0,971.0401181987779,1680686994.0,,0,,462.55,7247,0.0,,971.0401181987779,,0.5,513.25,4160.0,6,,7040
47,0.0,0.07,2,0,2304.0,0.0,,,0.0,797.4764359232954,1680686995.0,,0,,505.32,8138,0.0,,797.4764359232954,,0.5,465.72,4736.0,7,,8000
48,0.0,0.0,2,0,2880.0,0.0,,,0.0,798.3164570925494,1680686996.0,,0,,371.69,9088,0.0,,798.3164570925494,,0.5,425.78,5120.0,8,,8256
49,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680686997.0,,0,,409.27,10041,0.0,,798.3164570925494,,0.5,389.05,5280.0,9,,8256
51,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680686999.0,,0,,409.27,10994,0.0,,798.3164570925494,,0.5,389.05,5280.0,10,,8256
52,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687000.0,,0,,409.27,11946,0.0,,798.3164570925494,,0.5,389.05,5280.0,11,,8256
53,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687001.0,,0,,409.27,12892,0.0,,798.3164570925494,,0.5,389.05,5280.0,12,,8256
54,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687002.0,,0,,409.27,13840,0.0,,798.3164570925494,,0.5,389.05,5280.0,13,,8256
55,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687003.0,,0,,409.27,14786,0.0,,798.3164570925494,,0.5,389.05,5280.0,14,,8256
57,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687005.0,,0,,409.27,15737,0.0,,798.3164570925494,,0.5,389.05,5280.0,15,,8256
58,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687006.0,,0,,409.27,16686,0.0,,798.3164570925494,,0.5,389.05,5280.0,16,,8256
59,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687007.0,,0,,409.27,17640,0.0,,798.3164570925494,,0.5,389.05,5280.0,17,,8256
60,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687008.0,,0,,409.27,18589,0.0,,798.3164570925494,,0.5,389.05,5280.0,18,,8256
61,0.0,0.0,2,0,2976.0,0.0,,,0.0,798.3164570925494,1680687009.0,,0,,409.27,19534,0.0,,798.3164570925494,,0.5,389.05,5280.0,19,,8256
62,0.0,9.03,2,1,2976.0,0.0,,,0.0,818.2775540439497,1680687010.0,,0,,409.27,803,0.0,,818.2775540439497,,3.61,389.05,5280.0,20,,704
64,0.0,6.8,2,1,352.0,1.0,1.0,0.0,0.0,920.0257325477421,1680687012.0,26.927302775904536,0,8256.0,416.41,1939,1.0,8256.0,920.0257325477421,306.60330404082464,2.72,401.86,352.0,21,0.0,1824
65,0.0,6.68,2,1,864.0,1.0,,,0.0,800.0210814571728,1680687013.0,,0,,481.66,2850,1.0,,800.0210814571728,,2.67,438.37,960.0,22,,2752
66,0.0,5.5,2,1,1440.0,1.0,,,0.0,795.8757489363178,1680687014.0,,0,,327.02,3817,1.0,,795.8757489363178,,2.2,473.0,1312.0,23,,3712
67,0.0,3.41,2,1,1888.0,1.0,,,0.0,949.4983997320263,1680687015.0,,0,,415.52,4951,1.0,,949.4983997320263,,1.37,380.35,1824.0,24,,4800
68,0.0,2.57,2,1,2464.0,1.0,,,0.0,873.5557914058743,1680687016.0,,0,,472.18,5947,1.0,,873.5557914058743,,1.03,477.32,2336.0,25,,5824
70,0.0,1.21,2,1,3040.0,1.0,,,0.0,922.5897986303966,1680687018.0,,0,,353.93,7075,1.0,,922.5897986303966,,0.5,519.62,2784.0,26,,6944
71,0.0,0.02,2,1,3584.0,1.0,,,0.0,951.1229835749665,1680687019.0,,0,,488.01,8174,1.0,,951.1229835749665,,0.5,434.58,3360.0,27,,8064
72,0.0,0.0,2,1,4128.0,1.0,,,0.0,901.0001747565868,1680687020.0,,0,,487.22,9211,1.0,,901.0001747565868,,0.5,463.9,3936.0,28,,8256
73,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687021.0,,0,,446.17,10284,1.0,,901.0001747565868,,0.5,454.83,4032.0,29,,8256
74,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687022.0,,0,,446.17,11354,1.0,,901.0001747565868,,0.5,454.83,4032.0,30,,8256
76,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687024.0,,0,,446.17,12423,1.0,,901.0001747565868,,0.5,454.83,4032.0,31,,8256
77,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687025.0,,0,,446.17,13492,1.0,,901.0001747565868,,0.5,454.83,4032.0,32,,8256
78,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687026.0,,0,,446.17,14561,1.0,,901.0001747565868,,0.5,454.83,4032.0,33,,8256
79,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687027.0,,0,,446.17,15636,1.0,,901.0001747565868,,0.5,454.83,4032.0,34,,8256
80,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687028.0,,0,,446.17,16705,1.0,,901.0001747565868,,0.5,454.83,4032.0,35,,8256
81,0.0,0.0,2,1,4224.0,1.0,,,0.0,901.0001747565868,1680687029.0,,0,,446.17,17774,1.0,,901.0001747565868,,0.5,454.83,4032.0,36,,8256
83,0.0,6.2,2,2,4224.0,1.0,,,0.0,1210.9559271735832,1680687031.0,,0,,446.17,680,1.0,,1210.9559271735832,,2.48,454.83,4032.0,37,,384
84,0.0,9.23,2,2,192.0,2.0,2.0,0.0,0.0,749.9692134167547,1680687032.0,20.176675410941243,0,16512.0,593.44,1272,2.0,8256.0,749.9692134167547,409.18535050244225,3.69,617.52,192.0,38,0.0,1152
85,0.0,6.61,2,2,736.0,2.0,,,0.0,890.3964087515358,1680687033.0,,0,,273.5,2305,2.0,,890.3964087515358,,2.64,476.47,416.0,39,,2176
86,0.0,5.47,2,2,1248.0,2.0,,,0.0,890.2986684209127,1680687034.0,,0,,395.22,3318,2.0,,890.2986684209127,,2.19,495.18,928.0,40,,3232
87,0.0,3.83,2,2,1824.0,2.0,,,0.0,975.6848816082681,1680687035.0,,0,,404.81,4454,2.0,,975.6848816082681,,1.53,485.49,1408.0,41,,4320
