process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,_runtime,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_five_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,_timestamp,01_general/lr,02_timing/step_time_s,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,_step,01_general/step,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,01_general/minibatch_loss,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/backward_time_s,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/opt_step_time_s,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB
,,,,,0,,,,211076.599808,,,,,,1680687165.0,,,,,,,,,,0,,30.0,,,,,,,,,,,,,,,,,,
130.0,0.0,9963.380736,31.0,0.0,0,,,1181.507584,,0.0,0.0,0.7666666666666667,0.0,2.719744,1680687165.0,,,,1.4,27.0,,0.0,,177.512448,1,,,,0.0,,0.6333333333333333,0.0,,8.0,0.0,0.6666666666666667,,208150.54848,0.0,0.0,48.0,,,2481.012736,393.670656
157.0,0.5246110855047956,11163.672576,5822.0,3.0,1,,,1745.211392,,0.0,0.0,0.8,1.1178040496329495,2.719744,1680687166.0,,,,1.7,4119.0,,0.0,,320.077824,2,,,,0.007999999999995566,,0.8333333333333334,0.0,,1662.0,0.012253316925982862,0.6666666666666667,,207576.481792,0.0009999999999763531,0.0,117.0,,,2874.22464,901.267456
346.0,0.31438866114785635,15325.609984,15603.0,94.0,2,,,2770.948096,,0.0,0.0,0.8,0.3067757265904101,2.719744,1680687167.0,,,,2.2,7987.0,,0.0,,563.109888,3,,,,0.02400000000000091,,0.8333333333333334,0.0,,3385.0,0.7599528131160544,0.6666666666666667,,206453.891072,0.036999999999920874,0.0,126.0,,,4253.466624,2231.578624
534.0,0.6152160034315584,15933.11232,282630.0,95.0,3,,,2960.77312,,0.0,0.0,0.8,13.255260583185049,2.719744,1680687168.0,,,,2.3,14901.0,,0.0,,664.551424,4,,,,0.027999999999991587,,0.8333333333333334,0.0,,7811.0,0.004080400454961603,0.6666666666666667,,206155.112448,0.036999999999920874,0.0,128.0,,,4288.741376,2346.954752
540.0,0.7437370350910353,17752.502272,289074.0,96.0,4,,,4187.17696,,0.0,0.0,0.8,227.90584511843696,2.719744,1680687169.0,,,,3.0,19248.0,,0.0,,888.356864,5,,,,0.031999999999996476,0.0027044529999784572,0.8333333333333334,0.0,,15601.0,0.004085458842769552,0.6666666666666667,,204826.771456,0.038000000000010914,0.0,133.0,,,5114.94144,3378.950144
,,,,,5,0.0,0.9125418810000383,,,,,,,,1680687170.0,0.0001,2.301125799000033,0.00018605200000365585,,,0.0,,32.0,,6,0.0,,1.272071978000099,,,,,7.15869140625,,,,0.10699201900001754,,,,,1.0,0.006629415999896082,,
,,,,,5,0.0,0.0024046649999718284,,,,,,,,1680687170.0,0.0001,0.04180445300005431,0.0001692540000703957,,,0.0,,64.0,,7,1.0,,0.018133165999984158,,0.002423354000029576,,,7.20263671875,,,,0.01717404800001532,,,,,1.0,0.0014999659999830328,,
,,,,,5,0.0,0.0027750729999524992,,,,,,,,1680687170.0,0.0001,0.04224404299998241,0.00017223999998350337,,,0.0,,96.0,,8,2.0,,0.018187482000030286,,0.0023776609999686116,,,7.143798828125,,,,0.017129651999994167,,,,,1.0,0.001601935000053345,,
,,,,,5,0.0,0.0028923649999796908,,,,,,,,1680687170.0,0.0001,0.041773229000000356,0.00019312799997805996,,,0.0,,128.0,,9,3.0,,0.018325108999988515,,0.002401789000032295,,,7.2586669921875,,,,0.016392984000049182,,,,,1.0,0.0015678539999726127,,
