03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,_step,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,_runtime,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/num_clients,03_hivemind/global_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch
10.0,193,5.115410877287858,0,,,1563.78,,38,1,192,1680687351.0,,,0,0,,,,5.115410877287858,,,,,,,
10.0,482,20.86848598071211,1,,,369.44,,39,1,480,1680687352.0,0.0,,0,0,,5.12,192.0,20.86848598071211,,,,,0.0,,
10.0,773,53.20719032318365,2,,,139.43,,40,1,768,1680687353.0,0.0,,0,0,,20.87,480.0,53.20719032318365,,,,,0.0,,
10.0,1045,98.28125522973478,3,,,72.72,,41,1,1024,1680687354.0,0.0,,0,0,,53.21,768.0,98.28125522973478,,,,,0.0,,
10.0,1806,154.81032644451867,4,,,41.25,,46,1,1312,1680687359.0,0.0,,0,0,,98.28,1024.0,154.81032644451867,,,,,0.0,,
9.49,2394,244.46182665791167,5,,,23.72,,47,2,2368,1680687360.0,0.0,,0,0,,154.81,1312.0,244.46182665791167,,,,,0.0,,
6.26,2981,333.0421418234878,6,,,15.65,32.0,48,2,2944,1680687361.0,0.0,0.0,0,0,,235.34,2336.0,333.0421418234878,,,9.12,,0.0,,0.0
4.59,3560,403.42894770770283,7,,,11.48,320.0,49,2,3488,1680687362.0,0.0,0.0,0,0,,237.44,2624.0,403.42894770770283,,,95.6,,0.0,,0.0
3.72,4120,438.03706432377567,8,,,9.3,608.0,50,2,4064,1680687363.0,0.0,0.0,0,0,,237.51,2880.0,438.03706432377567,,,165.92,,0.0,,0.0
2.98,4759,460.2707647515698,9,,,7.46,896.0,52,2,4704,1680687365.0,0.0,0.0,0,0,,231.82,3168.0,460.2707647515698,,,206.21,,0.0,,0.0
2.45,5322,468.50210899477463,10,,,6.13,1216.0,53,2,5248,1680687366.0,0.0,0.0,0,0,,234.18,3488.0,468.50210899477463,,,226.09,,0.0,,0.0
2.0,5868,465.57897973859457,11,,,4.99,1504.0,54,2,5792,1680687367.0,0.0,0.0,0,0,,235.85,3744.0,465.57897973859457,,,232.65,,0.0,,0.0
1.5,6432,470.2063844724573,12,,,3.74,1760.0,55,2,6368,1680687368.0,0.0,0.0,0,0,,236.26,4032.0,470.2063844724573,,,229.32,,0.0,,0.0
1.01,6997,474.11710850946326,13,,,2.52,2048.0,57,2,6912,1680687370.0,0.0,0.0,0,0,,236.7,4320.0,474.11710850946326,,,233.5,,0.0,,0.0
0.56,7538,463.763093394223,14,,,1.41,2304.0,58,2,7456,1680687371.0,0.0,0.0,0,0,,238.05,4608.0,463.763093394223,,,236.07,,0.0,,0.0
0.5,8103,470.7077016136327,15,,,0.19,2592.0,59,2,8032,1680687372.0,0.0,0.0,0,0,,229.23,4864.0,470.7077016136327,,,234.53,,0.0,,0.0
0.5,8671,473.35353425183894,16,,,0.0,2880.0,60,2,8224,1680687373.0,0.0,0.0,0,0,,234.9,5152.0,473.35353425183894,,,235.8,,0.0,,0.0
0.5,9233,473.35353425183894,17,,,0.0,2976.0,61,2,8224,1680687374.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,9795,473.35353425183894,18,,,0.0,2976.0,62,2,8224,1680687375.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,10356,473.35353425183894,19,,,0.0,2976.0,64,2,8224,1680687377.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,10918,473.35353425183894,20,,,0.0,2976.0,65,2,8224,1680687378.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,11482,473.35353425183894,21,,,0.0,2976.0,66,2,8224,1680687379.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,12043,473.35353425183894,22,,,0.0,2976.0,67,2,8224,1680687380.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,12606,473.35353425183894,23,,,0.0,2976.0,68,2,8224,1680687381.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,13169,473.35353425183894,24,,,0.0,2976.0,70,2,8224,1680687383.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,13731,473.35353425183894,25,,,0.0,2976.0,71,2,8224,1680687384.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,14292,473.35353425183894,26,,,0.0,2976.0,72,2,8224,1680687385.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
0.5,14854,473.35353425183894,27,,,0.0,2976.0,73,2,8224,1680687386.0,0.0,0.0,0,0,,236.29,5248.0,473.35353425183894,,,237.06,,0.0,,0.0
7.16,274,442.6187587491794,28,,,17.89,2976.0,74,2,192,1680687387.0,0.0,0.0,0,1,,236.29,5248.0,442.6187587491794,,,237.06,,0.0,,0.0
