process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,02_timing/backward_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,02_timing/forward_time_s,memory/used_memory_sys_percent,process/memory/virtual_memory_size_proc_MB,cpu/load/avg_sys_load_five_min_percent,01_general/lr,01_general/step,cpu/interrupts/interrupts_count,01_general/minibatch_loss,memory/total_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,02_timing/step_time_s,cpu/logical_core_count,cpu/load/avg_sys_load_one_min_percent,process/memory/dirty_pages_proc_count,process/memory/text_resident_set_proc_MB,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,_step,03_hivemind/num_peers,03_hivemind/global_epoch,process/memory/data_resident_set_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,process/involuntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,memory/used_memory_sys_MB,cpu/interrupts/soft_interrupts_count
,,,,,,,,,,,,,,,211076.599808,,,,,,,1680687527.0,,30.0,,,,,,,,,,,,0,,,,,,,1,,
2481.016832,138.0,0.2243079625279131,395.14112,,0.0,0.0,,1.4,9963.384832,3.6666666666666665,,,16.0,,,0.0,208137.244672,0.0,21.0,,2.1333333333333333,1680687527.0,,,9.266666666666666,0.0,2.719744,,0.0,178.95424,,,0.0,,,1,,,0.0,0.0,49.0,0.2514968048315165,1,1193.59488,4.0
2899.226624,155.0,0.31457778633255906,793.751552,,0.0,3.0,,1.6,10515.554304,3.6666666666666665,,,2711.0,,,0.012254412369571857,207613.702144,0.0009999999999763531,2803.0,,2.1333333333333333,1680687528.0,,,9.266666666666666,0.0,2.719744,,0.012000000000000455,183.140352,,,0.0,,,2,,,0.0,0.0,58.0,0.8991435733588187,2,1717.174272,997.0
3255.545856,166.0,0.019574991396271182,1269.32992,,0.0,94.0,,1.8,11544.981504,3.6666666666666665,,,4476.0,,,0.8130683747809588,207173.382144,0.057999999999992724,3571.0,,2.1333333333333333,1680687529.0,,,9.266666666666666,0.0,2.719744,,0.028000000000005798,310.636544,,,0.0,,,3,,,0.0,0.0,70.0,0.021905157512065253,3,2147.078144,1506.0
3666.399232,169.0,0.06067964706208862,1834.96704,,0.0,95.0,,2.1,12962.463744,3.6666666666666665,,,5140.0,,,0.0040868165314991945,206743.097344,0.057999999999992724,4182.0,,2.1333333333333333,1680687530.0,,,9.266666666666666,0.0,2.719744,,0.036000000000001364,460.640256,,,0.0,,,4,,,0.0,0.0,77.0,0.06195677723045076,4,2577.28512,1872.0
5421.576192,512.0,0.0026726707185554754,4309.77024,,0.0,96.0,,3.4,19555.463168,3.6666666666666665,,,643740.0,,,0.004048542631775447,203898.417152,0.057999999999992724,9586.0,,2.1333333333333333,1680687531.0,,,9.266666666666666,0.0,2.719744,,0.04000000000000625,1477.361664,,,0.0,,,5,,,0.0,0.0,409.0,0.0025698756911607533,5,4410.580992,4221.0
5308.317696,515.0,0.057414817021247594,4196.540416,,0.0,97.0,,3.4,19442.204672,3.6000000000000005,,,644725.0,,,0.0040856686994828854,203887.681536,0.05899999999996908,11297.0,,2.1,1680687532.0,,,8.533333333333333,0.0,2.719744,,0.04400000000001114,1477.36576,,,0.0,,,6,,,0.0,0.0,409.0,0.011945793063512265,6,4415.086592,4437.0
5308.317696,515.0,0.04819903622121925,4196.5568,,0.0,98.0,,3.4,19442.204672,3.6000000000000005,,,645106.0,,,0.004087099465166408,203887.423488,0.05899999999996908,11947.0,,2.1,1680687533.0,,,8.533333333333333,0.0,2.719744,,0.04800000000000182,1477.36576,,,0.0,,,7,,,0.0,0.0,409.0,0.0029136548881608937,7,4415.336448,4586.0
5316.841472,515.0,0.003796430506444716,4196.671488,,0.0,101.0,,3.4,19517.70624,3.6000000000000005,,,645431.0,,,0.09800533205468052,203887.16544,0.05999999999994543,12410.0,,2.1,1680687534.0,,,8.533333333333333,0.0,2.719744,,0.056000000000011596,1477.369856,,,0.0,,,8,,,0.0,0.0,409.0,0.010017472095332974,8,4415.582208,4789.0
5316.841472,515.0,0.04638276250105371,4196.671488,,0.0,120.0,,3.4,19517.70624,3.6000000000000005,,,645696.0,,,0.1021857762463584,203887.16544,0.06700000000000728,12866.0,,2.1,1680687535.0,,,8.533333333333333,0.0,2.719744,,0.060000000000002274,1477.369856,,,0.0,,,9,,,0.0,0.0,409.0,0.005229037767651225,9,4415.578112,4898.0
5316.841472,515.0,0.003959541506777147,4196.671488,,0.0,121.0,,3.4,19517.70624,3.6000000000000005,,,645949.0,,,0.004087268656372799,203887.16544,0.06700000000000728,13278.0,,2.1,1680687536.0,,,8.533333333333333,0.0,2.719744,,0.06400000000000716,1477.369856,,,0.0,,,10,,,0.0,0.0,409.0,0.009324081611005999,10,4415.578112,5029.0
5316.841472,515.0,0.04639337318973343,4196.671488,,0.0,122.0,,3.4,19517.70624,3.5333333333333337,,,646294.0,,,0.004084850740400903,203887.16544,0.06700000000000728,13869.0,,2.1,1680687537.0,,,7.833333333333334,0.0,2.719744,,0.06800000000001205,1477.369856,,,0.0,,,11,,,0.0,0.0,409.0,0.005225736789544786,11,4415.578112,5168.0
5316.841472,515.0,0.003479137717684438,4196.671488,,0.0,123.0,,3.4,19517.70624,3.5333333333333337,,,646659.0,,,0.004085592912784193,203886.931968,0.06700000000000728,14454.0,,2.1,1680687538.0,,,7.833333333333334,0.0,2.719744,,0.07200000000000273,1477.369856,,,0.0,,,12,,,0.0,0.0,409.0,0.008514311800408136,12,4415.832064,5316.0
5316.841472,515.0,0.0026984593587091924,4196.671488,,0.0,125.0,,3.4,19517.70624,3.5333333333333337,,,646907.0,,,0.03678846369100727,203886.931968,0.06799999999998363,14893.0,,2.1,1680687539.0,,,7.833333333333334,0.0,2.719744,,0.0800000000000125,1477.369856,,,0.0,,,13,,,0.0,0.0,409.0,0.0025946724605416627,13,4415.819776,5411.0
5316.841472,515.0,0.058496917197106105,4196.671488,,0.0,133.0,,3.4,19517.70624,3.5333333333333337,,,647195.0,,,0.04495832937666799,203886.931968,0.07299999999997908,15361.0,,2.1,1680687540.0,,,7.833333333333334,0.0,2.719744,,0.08800000000000807,1477.369856,,,0.0,,,14,,,0.0,0.0,409.0,0.010816501476678432,14,4415.819776,5573.0
5316.841472,515.0,0.00269815506390523,4196.671488,,0.0,134.0,,3.4,19517.70624,3.5333333333333337,,,647493.0,,,0.00408714612994335,203886.931968,0.07299999999997908,15904.0,,2.1,1680687541.0,,,7.833333333333334,0.0,2.719744,,0.09199999999999875,1477.369856,,,0.0,,,15,,,0.0,0.0,409.0,0.002594379869383979,15,4415.81568,5673.0
5316.841472,515.0,0.05016008677426902,4196.671488,,0.0,135.0,,3.4,19517.70624,3.4666666666666663,,,647796.0,,,0.004086881676419312,203886.931968,0.07299999999997908,16399.0,,2.1,1680687542.0,,,7.233333333333333,0.0,2.719744,,0.09600000000000364,1477.369856,,,0.0,,,16,,,0.0,0.0,409.0,0.01268370112336354,16,4415.81568,5855.0
5316.841472,515.0,0.08696622011090713,4196.671488,,0.0,136.0,,3.4,19517.70624,3.4666666666666663,,,648337.0,,,0.004087268649112351,203886.702592,0.07399999999995543,17187.0,,2.1,1680687543.0,,,7.233333333333333,0.0,2.719744,,0.10000000000000853,1477.369856,,,0.0,,,17,,,0.0,0.0,409.0,0.09340047505953344,17,4416.04096,6174.0
5316.841472,515.0,0.09520202863380978,4196.671488,,0.0,137.0,,3.4,19517.70624,3.4666666666666663,,,648683.0,,,0.004087500101512614,203885.985792,0.07399999999995543,17744.0,,2.1,1680687544.0,,,7.233333333333333,0.0,2.719744,,0.1039999999999992,1477.369856,,,0.0,,,18,,,0.0,0.0,409.0,0.015934863660313298,18,4416.753664,6373.0
5316.841472,515.0,0.00883735945288933,4196.671488,,0.0,149.0,,3.4,19517.70624,3.4666666666666663,,,649025.0,,,0.09400970633958607,203885.985792,0.07799999999997453,18369.0,,2.1,1680687545.0,,,7.233333333333333,0.0,2.719744,,0.11200000000000898,1477.369856,,,0.0,,,19,,,0.0,0.0,409.0,0.00715291244298539,19,4416.753664,6497.0
5316.841472,515.0,0.0735044714580198,4196.671488,,0.0,150.0,,3.4,19517.70624,3.4666666666666663,,,649369.0,,,0.0040871296074018425,203885.985792,0.07799999999997453,18862.0,,2.1,1680687546.0,,,7.233333333333333,0.0,2.719744,,0.11599999999999966,1477.369856,,,0.0,,,20,,,0.0,0.0,409.0,0.016691773433136447,20,4416.745472,6684.0
5316.841472,515.0,0.008836554247395463,4196.671488,,0.0,151.0,,3.4,19517.70624,3.4000000000000004,,,649657.0,,,0.004087006117029761,203885.985792,0.07799999999997453,19366.0,,2.0666666666666664,1680687547.0,,,6.633333333333333,0.0,2.719744,,0.12000000000000455,1477.369856,,,0.0,,,21,,,0.0,0.0,409.0,0.007152260713877058,21,4416.745472,6802.0
5316.841472,515.0,0.053590004919004126,4196.671488,,0.0,156.0,,3.4,19517.70624,3.4000000000000004,,,650065.0,,,0.06539688966329774,203886.043136,0.08100000000001728,20111.0,,2.0666666666666664,1680687548.0,,,6.633333333333333,0.0,2.719744,,0.1280000000000001,1477.369856,,,0.0,,,22,,,0.0,0.0,409.0,0.01493622809840733,22,4416.724992,7011.0
5316.841472,515.0,0.004548561100676668,4196.671488,,0.0,157.0,,3.4,19517.70624,3.4000000000000004,,,650356.0,,,0.00408572505551743,203886.043136,0.08100000000001728,20633.0,,2.0666666666666664,1680687549.0,,,6.633333333333333,0.0,2.719744,,0.132000000000005,1477.369856,,,0.0,,,23,,,0.0,0.0,409.0,0.004867758363721467,23,4416.724992,7131.0
5316.841472,515.0,0.05369151041170078,4196.671488,,0.0,158.0,,3.4,19517.70624,3.4000000000000004,,,650653.0,,,0.004087132524415963,203886.043136,0.08100000000001728,21118.0,,2.0666666666666664,1680687550.0,,,6.633333333333333,0.0,2.719744,,0.1360000000000099,1477.369856,,,0.0,,,24,,,0.0,0.0,409.0,0.015526313968216668,24,4416.724992,7306.0
