04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/global_epoch,_step,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,_timestamp,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_accumulated
,1567.33,,,0,0,,0,193,5.103629467606777,39,,,,,,10.0,,1680687579.0,1,,,,192,5.103629467606777,,
,422.91,0.0,,0,1,,0,452,18.302824424602353,41,,,,,,10.0,5.1,1680687581.0,1,,0.0,192.0,448,18.302824424602353,,
,169.14,0.0,,0,2,,0,843,43.447003873109075,45,,,,,,10.0,18.3,1680687585.0,1,,0.0,448.0,704,43.447003873109075,,
,35.14,0.0,,0,3,,0,1657,185.9800619144263,46,,,,,,8.78,43.45,1680687586.0,1,,0.0,704.0,1632,185.9800619144263,,
,30.79,0.0,,0,4,,0,1920,203.72829439935757,47,,,,,,7.7,185.98,1680687587.0,1,,0.0,1632.0,1888,203.72829439935757,,
,22.5,0.0,,0,5,,0,2378,258.42216946670965,48,,,,,,9.0,203.73,1680687588.0,2,,0.0,1888.0,2336,258.42216946670965,,
0.0,15.48,0.0,0.0,0,6,,0,2930,340.000682401085,50,,45.41,,,,6.19,213.01,1680687590.0,2,,0.0,2176.0,2880,340.000682401085,,160.0
0.0,11.86,0.0,0.0,0,7,,0,3525,393.3306351586845,51,,123.34,,,,4.75,216.66,1680687591.0,2,,0.0,2432.0,3456,393.3306351586845,,448.0
0.0,9.9,0.0,0.0,0,8,,0,4052,418.2121543771834,52,,175.7,,,,3.96,217.63,1680687592.0,2,,0.0,2720.0,3968,418.2121543771834,,736.0
0.0,8.41,0.0,0.0,0,9,,0,4577,430.0678892058272,53,,199.96,,,,3.36,218.25,1680687593.0,2,,0.0,2976.0,4512,430.0678892058272,,992.0
0.0,7.11,0.0,0.0,0,10,,0,5100,434.9639575288553,54,,211.53,,,,2.84,218.54,1680687594.0,2,,0.0,3264.0,5024,434.9639575288553,,1248.0
0.0,5.88,0.0,0.0,0,11,,0,5622,437.39796962152525,56,,216.64,,,,2.35,218.32,1680687596.0,2,,0.0,3520.0,5568,437.39796962152525,,1504.0
