04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/num_clients,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/next_fetch_time_s,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples
,,383.02361270982743,,,1,,0,,,,,0,,1376,0,,,37,383.02361270982743,1683032286.0,,,,10.0,81.87,1410
0.0,,1214.920110599184,383.02,,1,,0,,,,0.0,0,,2816,1,,,38,1214.920110599184,1683032287.0,,1376.0,,6.14,24.55,2944
0.0,,1087.3201507858498,1214.92,,1,,0,,,,0.0,0,,4192,2,,,42,1087.3201507858498,1683032291.0,,2816.0,,5.79,23.18,7566
0.0,,1859.261944076263,1087.32,,2,,0,,,,0.0,0,,9472,3,,,44,1859.261944076263,1683032293.0,,4192.0,,4.97,12.44,9646
0.0,,2277.5954535760325,1069.18,,2,,0,,790.08,992.0,0.0,0,,12064,4,,,45,2277.5954535760325,1683032294.0,0.0,8480.0,0.0,3.59,8.98,12310
0.0,,2362.8036752536336,1076.92,,2,,0,,1200.68,2400.0,0.0,0,,14848,5,,,46,2362.8036752536336,1683032295.0,0.0,9664.0,0.0,2.99,7.49,15082
0.0,,2068.487030434727,1207.74,,2,,0,,1155.06,3808.0,0.0,0,,17120,6,,,47,2068.487030434727,1683032296.0,0.0,11040.0,0.0,2.99,7.47,17324
0.0,,2010.589801049634,1139.98,,2,,0,,928.51,4768.0,0.0,0,,20032,7,,,48,2010.589801049634,1683032297.0,0.0,12352.0,0.0,2.5,6.24,20217
0.0,,2352.853508868201,1092.89,,2,,0,,917.7,6112.0,0.0,0,,22528,8,,,50,2352.853508868201,1683032299.0,0.0,13920.0,0.0,1.69,4.21,22853
0.0,,1660.7405947823922,1270.79,,2,,0,,1082.06,7136.0,0.0,0,,24512,9,,,51,1660.7405947823922,1683032300.0,0.0,15392.0,0.0,1.95,4.87,24688
0.0,,1818.3264847304404,980.56,,2,,0,,680.18,8128.0,0.0,0,,26944,10,,,52,1818.3264847304404,1683032301.0,0.0,16384.0,0.0,1.24,3.11,27122
0.0,,2346.2908411888393,1105.13,,2,,0,,713.19,9216.0,0.0,0,,29632,11,,,53,2346.2908411888393,1683032302.0,0.0,17728.0,0.0,0.5,1.24,29868
0.0,,2199.772272114087,1202.14,,2,,0,,1144.15,10592.0,0.0,0,,32128,12,,,54,2199.772272114087,1683032303.0,0.0,19040.0,0.0,0.5,0.14,32458
