03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
354,12.721452054646116,1,352,0,616.16,36,0,10.0,12.721452054646116,1683034241,0,,,,,,,,,,,,,,,
1036,128.60946215251482,1,1024,1,55.64,37,0,10.0,128.60946215251482,1683034242,0,352.0,0.0,12.72,0.0,,,,,,,,,,,
2904,397.44670828217653,1,1664,2,13.31,42,0,3.33,397.44670828217653,1683034247,0,1024.0,0.0,128.61,0.0,,,,,,,,,,,
4337,675.0306110827595,2,4256,3,5.71,43,0,2.28,675.0306110827595,1683034248,0,1664.0,0.0,397.45,0.0,,,,,,,,,,,
5668,980.5391091942499,2,5568,4,2.57,44,0,1.03,980.5391091942499,1683034249,0,3968.0,0.0,552.77,0.0,288.0,0.0,0.0,122.27,,,,,,,
6955,1057.6510624998414,2,6816,5,1.17,45,0,0.5,1057.6510624998414,1683034250,0,4640.0,0.0,551.2,0.0,928.0,0.0,0.0,429.34,,,,,,,
8225,1069.2232576003635,2,8096,6,0.0,46,0,0.5,1069.2232576003635,1683034251,0,5248.0,0.0,524.64,0.0,1568.0,0.0,0.0,533.01,,,,,,,
9492,1069.5177455061312,2,8224,7,0.0,47,0,0.5,1069.5177455061312,1683034252,0,5856.0,0.0,520.13,0.0,2240.0,0.0,0.0,549.1,,,,,,,
10764,1069.5177455061312,2,8224,8,0.0,49,0,0.5,1069.5177455061312,1683034254,0,5920.0,0.0,520.33,0.0,2304.0,0.0,0.0,549.18,,,,,,,
467,1060.7069285397265,2,320,9,7.28,50,1,2.91,1060.7069285397265,1683034255,0,5920.0,0.0,520.33,0.0,2304.0,0.0,0.0,549.18,,,,,,,
1696,1042.2898079693803,2,1568,10,6.23,51,1,2.49,1042.2898079693803,1683034256,0,160.0,1.0,521.71,0.0,160.0,1.0,0.0,538.99,13.668341854587197,0.0,8224.0,8224.0,0.0,601.6823465122775,1.0
2979,1071.2983866842997,2,2848,11,4.87,52,1,1.95,1071.2983866842997,1683034257,0,768.0,1.0,507.48,0.0,800.0,1.0,0.0,534.81,,,,,,,
4253,1072.400580186018,2,4128,12,3.67,53,1,1.47,1072.400580186018,1683034258,0,1408.0,1.0,534.86,0.0,1440.0,1.0,0.0,536.44,,,,,,,
5517,1069.187763607354,2,5408,13,2.5,55,1,1.0,1069.187763607354,1683034260,0,2048.0,1.0,538.32,0.0,2080.0,1.0,0.0,534.08,,,,,,,
6807,1084.882620630995,2,6688,14,1.28,56,1,0.51,1084.882620630995,1683034261,0,2688.0,1.0,538.87,0.0,2720.0,1.0,0.0,530.32,,,,,,,
8112,1092.8960343932213,2,7968,15,0.07,57,1,0.5,1092.8960343932213,1683034262,0,3328.0,1.0,542.98,0.0,3360.0,1.0,0.0,541.9,,,,,,,
9416,1090.72524631058,2,8224,16,0.0,58,1,0.5,1090.72524631058,1683034263,0,3968.0,1.0,544.91,0.0,4000.0,1.0,0.0,547.98,,,,,,,
823,1093.1372094476274,2,704,17,6.74,59,2,2.7,1093.1372094476274,1683034264,0,4096.0,1.0,544.22,0.0,4128.0,1.0,0.0,546.51,,,,,,,
2073,1068.5555816756419,2,1920,18,5.73,61,2,2.29,1068.5555816756419,1683034266,0,352.0,2.0,546.58,0.0,352.0,2.0,0.0,546.55,9.519156079739332,0.0,16448.0,8224.0,0.0,863.9421321711537,2.0
3342,1061.4010997161902,2,3232,19,4.57,62,2,1.83,1061.4010997161902,1683034267,0,992.0,2.0,547.52,0.0,928.0,2.0,0.0,521.03,,,,,,,
4608,1063.4798979151633,2,4480,20,3.37,63,2,1.35,1063.4798979151633,1683034268,0,1664.0,2.0,540.32,0.0,1568.0,2.0,0.0,521.08,,,,,,,
5889,1073.391812076278,2,5760,21,2.15,64,2,0.86,1073.391812076278,1683034269,0,2304.0,2.0,541.83,0.0,2176.0,2.0,0.0,521.65,,,,,,,
7199,1095.149003046034,2,7040,22,0.91,65,2,0.5,1095.149003046034,1683034270,0,2944.0,2.0,545.46,0.0,2816.0,2.0,0.0,527.93,,,,,,,
8494,1093.014234501894,2,8256,23,0.0,66,2,0.5,1093.014234501894,1683034271,0,3584.0,2.0,549.16,0.0,3456.0,2.0,0.0,545.98,,,,,,,
