03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,_step,_runtime,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated
,,,,192,,,,0,,,,193,,,1683037482.0,1,0,10.0,5.195995549581841,0,37,5.195995549581841,,,6269.31,
,,0.0,,832,,0.0,192.0,0,,5.2,,842,,,1683037483.0,1,0,10.0,74.29705316247453,1,38,74.29705316247453,,,429.71,
,,0.0,,1472,,0.0,832.0,0,,74.3,,2456,,,1683037487.0,1,0,10.0,313.62545630758166,2,42,313.62545630758166,,,96.65,
,,0.0,,4192,,0.0,1472.0,0,,313.63,,4268,,,1683037489.0,2,0,10.0,746.4188234084771,3,44,746.4188234084771,,,38.18,
,,0.0,0.0,5472,,0.0,3744.0,0,,535.79,210.63,5583,,,1683037490.0,2,0,10.0,1011.1452964590995,4,45,1011.1452964590995,,0.0,26.88,448.0
,,0.0,0.0,6752,,0.0,4384.0,0,,536.12,475.03,6877,,,1683037491.0,2,0,9.67,1071.4394177482764,5,46,1071.4394177482764,,0.0,24.16,1088.0
,,0.0,0.0,8032,,0.0,5024.0,0,,537.69,533.75,8160,,,1683037492.0,2,0,9.1,1081.4932684812018,6,47,1081.4932684812018,,0.0,22.75,1728.0
,,0.0,0.0,9440,,0.0,5664.0,0,,538.88,542.61,9627,,,1683037494.0,2,0,8.56,1081.4363051523087,7,49,1081.4363051523087,,0.0,21.4,2368.0
,,0.0,0.0,10720,,0.0,6336.0,0,,541.37,540.07,10847,,,1683037495.0,2,0,8.22,1066.8474887475638,8,50,1066.8474887475638,,0.0,20.55,3104.0
,,0.0,0.0,11968,,0.0,6976.0,0,,525.19,541.66,12109,,,1683037496.0,2,0,7.74,1068.2477288742816,9,51,1068.2477288742816,,0.0,19.34,3744.0
,,0.0,0.0,13248,,0.0,7584.0,0,,530.65,537.6,13390,,,1683037497.0,2,0,7.23,1071.454516672953,10,52,1071.454516672953,,0.0,18.09,4384.0
,,0.0,0.0,14528,,0.0,8224.0,0,,532.64,538.82,14671,,,1683037498.0,2,0,6.74,1073.779915603911,11,53,1073.779915603911,,0.0,16.85,5024.0
,,0.0,0.0,15840,,0.0,8864.0,0,,531.72,542.06,15951,,,1683037500.0,2,0,6.23,1079.6357683080191,12,55,1079.6357683080191,,0.0,15.58,5664.0
,,0.0,0.0,17088,,0.0,9504.0,0,,535.52,544.12,17219,,,1683037501.0,2,0,5.78,1075.2942682644627,13,56,1075.2942682644627,,0.0,14.46,6336.0
,,0.0,0.0,18400,,0.0,10144.0,0,,533.84,541.45,18499,,,1683037502.0,2,0,5.32,1072.7392139877331,14,57,1072.7392139877331,,0.0,13.3,6944.0
,,0.0,0.0,19648,,0.0,10784.0,0,,534.95,537.79,19774,,,1683037503.0,2,0,4.85,1072.7160780493273,15,58,1072.7160780493273,,0.0,12.11,7616.0
,,0.0,0.0,20896,,0.0,11392.0,0,,532.79,539.92,21045,,,1683037504.0,2,0,4.37,1072.1003528998876,16,59,1072.1003528998876,,0.0,10.93,8256.0
,,0.0,0.0,22208,,0.0,12032.0,0,,533.58,538.52,22320,,,1683037505.0,2,0,3.91,1069.9880283149841,17,60,1069.9880283149841,,0.0,9.76,8864.0
,,0.0,0.0,23488,,0.0,12672.0,0,,531.5,538.49,23594,,,1683037507.0,2,0,3.42,1073.9008699615506,18,62,1073.9008699615506,,0.0,8.54,9536.0
,,0.0,0.0,24768,,0.0,13312.0,0,,534.61,539.29,24876,,,1683037508.0,2,0,2.94,1074.567494501277,19,63,1074.567494501277,,0.0,7.34,10176.0
,,0.0,0.0,26016,,0.0,13952.0,0,,531.71,542.86,26153,,,1683037509.0,2,0,2.45,1078.109639248316,20,64,1078.109639248316,,0.0,6.14,10816.0
,,0.0,0.0,27296,,0.0,14560.0,0,,534.94,543.17,27433,,,1683037510.0,2,0,1.99,1073.4597733365931,21,65,1073.4597733365931,,0.0,4.97,11456.0
,,0.0,0.0,28544,,0.0,15200.0,0,,531.15,542.31,28686,,,1683037511.0,2,0,1.55,1056.1249397118163,22,66,1056.1249397118163,,0.0,3.87,12096.0
