04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,_step,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second
,,,,,1.3489587409411445,0,10.0,1,,,6025.15,64,1680687771.0,,0,,,,,,0,64,1.3489587409411445,39,,
0.0,,0.0,,1.35,3.8793157059645256,0,10.0,1,,,2070.06,162,1680687772.0,,0,,64.0,,,,1,160,3.8793157059645256,40,,
0.0,,0.0,,3.88,8.400204981998426,0,10.0,1,,,937.7,315,1680687777.0,,0,,160.0,,,,2,288,8.400204981998426,45,,
0.0,,0.0,,8.4,31.568776134426823,0,10.0,1,,,237.87,683,1680687778.0,,0,,288.0,,,,3,672,31.568776134426823,46,,
0.0,,0.0,,31.57,41.87804313816925,0,10.0,1,,,176.35,807,1680687779.0,,0,,672.0,,,,4,800,41.87804313816925,47,,
0.0,,0.0,,41.88,52.36832875054396,0,10.0,1,,,138.57,935,1680687780.0,,0,,800.0,,,,5,928,52.36832875054396,48,,
0.0,,0.0,,52.37,73.76054298941278,0,10.0,2,,,96.05,1108,1680687781.0,,0,,928.0,,,,6,1088,73.76054298941278,49,,
0.0,,0.0,,59.81,105.93791829438335,0,10.0,2,,,64.41,1369,1680687783.0,,0,0.0,1024.0,64.0,0.0,,7,1344,105.93791829438335,51,,13.95
0.0,,0.0,,68.6,126.80484634706312,0,10.0,2,,,52.04,1593,1680687784.0,,0,0.0,1152.0,192.0,0.0,,8,1568,126.80484634706312,52,,37.34
0.0,,0.0,,75.74,144.85134801096427,0,10.0,2,,,43.96,1825,1680687785.0,,0,0.0,1280.0,288.0,0.0,,9,1792,144.85134801096427,53,,51.06
0.0,,0.0,,80.05,156.74877062216075,0,10.0,2,,,39.19,2049,1680687786.0,,0,0.0,1376.0,416.0,0.0,,10,2016,156.74877062216075,54,,64.81
0.0,,0.0,,84.35,166.43613533879596,0,10.0,2,,,35.54,2277,1680687788.0,,0,0.0,1504.0,512.0,0.0,,11,2240,166.43613533879596,56,,72.4
0.0,,0.0,,86.69,172.49549598293746,0,10.0,2,,,33.0,2500,1680687789.0,,0,0.0,1600.0,640.0,0.0,,12,2464,172.49549598293746,57,,79.75
0.0,,0.0,,88.95,177.2191190428685,0,10.0,2,,,30.85,2725,1680687790.0,,0,0.0,1728.0,736.0,0.0,,13,2688,177.2191190428685,58,,83.54
0.0,,0.0,,90.06,179.85088633511816,0,10.0,2,,,29.16,2947,1680687791.0,,0,0.0,1824.0,864.0,0.0,,14,2880,179.85088633511816,59,,87.15
0.0,,0.0,,90.81,182.57293054761217,0,10.0,2,,,27.5,3171,1680687792.0,,0,0.0,1920.0,960.0,0.0,,15,3136,182.57293054761217,60,,89.04
0.0,,0.0,,91.57,184.1017533380469,0,10.0,2,,,26.06,3395,1680687794.0,,0,0.0,2048.0,1088.0,0.0,,16,3328,184.1017533380469,62,,91.01
