_runtime,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_accumulated,_step,_timestamp,03_hivemind/reached_TBS,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples
46,,1,,,4.02,,,,,,,,,,,0,1680688041.0,,1604,409.82591233718824,409.82591233718824,0,0,16.08,1568,
47,0.0,1,,,2.22,,,,,0.0,,,409.83,,1568.0,1,1680688042.0,,2424,650.4452117927328,650.4452117927328,0,0,8.87,2368,
48,0.0,1,,,1.87,,,,,0.0,,,650.45,,2368.0,2,1680688043.0,,3219,664.9219687445649,664.9219687445649,0,0,7.48,3136,
50,0.0,1,,,1.81,,,,,0.0,,,664.92,,3136.0,3,1680688045.0,,3926,590.5690437346642,590.5690437346642,0,0,7.22,3872,
51,0.0,1,,,1.27,,,,,0.0,,,590.57,,3872.0,4,1680688046.0,,4827,663.5061970957648,663.5061970957648,0,0,5.07,4736,
52,0.0,1,,,0.97,,,,,0.0,,,663.51,,4736.0,5,1680688047.0,,5612,664.2204235359811,664.2204235359811,0,0,3.88,5536,
53,0.0,1,,,0.67,,,,,0.0,,,664.22,,5536.0,6,1680688048.0,,6403,671.6428163182757,671.6428163182757,0,0,2.66,6336,
55,0.0,2,,,0.5,,,,,0.0,,,671.64,,6336.0,7,1680688050.0,,8062,1116.781998824459,1116.781998824459,0,0,0.12,7936,
56,0.0,2,,,0.5,469.74,,0.0,,0.0,0.0,,647.04,832.0,7104.0,8,1680688051.0,,9616,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
57,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,9,1680688052.0,,11100,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
58,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,10,1680688053.0,,12579,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
59,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,11,1680688054.0,,14066,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
60,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,12,1680688055.0,,15558,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
62,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,13,1680688057.0,,17048,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
63,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,14,1680688058.0,,18534,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
64,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,15,1680688059.0,,20021,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
65,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,16,1680688060.0,,21507,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
66,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,17,1680688061.0,,22993,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
68,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,18,1680688063.0,,24480,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
69,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,19,1680688064.0,,25966,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
70,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,20,1680688065.0,,27454,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
71,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,21,1680688066.0,,28933,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
72,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,22,1680688067.0,,30422,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
74,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,23,1680688069.0,,31906,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
75,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,24,1680688070.0,,33382,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
76,0.0,2,,,0.5,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,25,1680688071.0,,34867,1248.6727884428942,1248.6727884428942,0,0,0.0,8320,
77,0.0,2,,,2.14,574.91,,0.0,,0.0,0.0,,673.76,1056.0,7264.0,26,1680688072.0,,954,1351.735583135153,1351.735583135153,0,1,5.35,832,
78,0.0,2,1.0,0.0,1.49,664.02,8320.0,1.0,31.038533331360668,1.0,0.0,268.05390290763677,687.72,416.0,416.0,27,1680688073.0,0.0,2737,1462.5572745555492,1462.5572745555492,0,1,3.73,1312,8320.0
80,0.0,2,,,9.24,727.57,,1.0,,1.0,0.0,,734.98,640.0,672.0,28,1680688075.0,,1475,290.6191454101706,290.6191454101706,0,1,23.11,1440,
81,0.0,2,,,1.98,144.39,,1.0,,1.0,0.0,,146.23,704.0,736.0,29,1680688076.0,,3102,1028.992810752473,1028.992810752473,0,1,4.95,2976,
82,0.0,2,,,1.05,519.25,,1.0,,1.0,0.0,,509.74,1472.0,1504.0,30,1680688077.0,,4728,1314.5029980069517,1314.5029980069517,0,1,2.64,4576,
83,0.0,2,,,0.53,660.02,,1.0,,1.0,0.0,,654.48,2272.0,2304.0,31,1680688078.0,,6357,1392.6862083345718,1392.6862083345718,0,1,1.32,6176,
84,0.0,2,,,0.5,697.24,,1.0,,1.0,0.0,,695.45,3072.0,3104.0,32,1680688079.0,,7925,1334.3745006631748,1334.3745006631748,0,1,0.2,7776,
85,0.0,2,,,0.5,666.53,,1.0,,1.0,0.0,,667.84,3872.0,3904.0,33,1680688080.0,,9521,1345.5791848556987,1345.5791848556987,0,1,0.0,8224,
87,0.0,2,,,0.5,668.05,,1.0,,1.0,0.0,,677.53,4096.0,4128.0,34,1680688082.0,,11121,1345.5791848556987,1345.5791848556987,0,1,0.0,8224,
88,0.0,2,,,0.5,668.05,,1.0,,1.0,0.0,,677.53,4096.0,4128.0,35,1680688083.0,,12721,1345.5791848556987,1345.5791848556987,0,1,0.0,8224,
89,0.0,2,,,0.5,668.05,,1.0,,1.0,0.0,,677.53,4096.0,4128.0,36,1680688084.0,,14322,1345.5791848556987,1345.5791848556987,0,1,0.0,8224,
