04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,_step,04_peers/peer_1_epoch,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,_runtime,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second
,,0,,,,,49,1,0,633.74,,,354,,,10.0,,,,12.368505090381964,1680688237.0,0,,352,,12.368505090381964
,,1,0.0,,,,50,1,0,117.71,12.37,,806,0.0,,10.0,,,,62.74106536825439,1680688238.0,0,352.0,800,,62.74106536825439
,,2,0.0,,,,51,1,0,36.45,62.74,,1306,0.0,,9.11,,,,188.89978293197905,1680688239.0,0,800.0,1280,,188.89978293197905
,,3,0.0,,,,52,1,0,21.29,188.9,,1758,0.0,,5.32,,,,302.2371956473314,1680688240.0,0,1280.0,1728,,302.2371956473314
,,4,0.0,,,,53,1,0,17.27,302.24,,2194,0.0,,4.32,,,,347.24699065848165,1680688241.0,0,1728.0,2144,,347.24699065848165
,,5,0.0,,,,55,1,0,15.39,347.25,,2629,0.0,,3.85,,,,361.5648019794881,1680688243.0,0,2144.0,2592,,361.5648019794881
,,6,0.0,,,,56,1,0,14.11,361.56,,3060,0.0,,3.53,,,,363.6187097770029,1680688244.0,0,2592.0,3008,,363.6187097770029
,,7,0.0,,,,57,2,0,11.57,363.62,,3617,0.0,,4.63,,,,395.2359368456772,1680688245.0,0,3008.0,3552,,395.2359368456772
0.0,,8,0.0,,0.0,,58,2,0,6.44,357.51,128.0,4525,0.0,,2.58,37.72,,,569.6393267364887,1680688246.0,0,3424.0,4448,,569.6393267364887
0.0,,9,0.0,,0.0,,59,2,0,4.06,365.37,576.0,5416,0.0,,1.62,204.27,,,684.3368403467317,1680688247.0,0,3872.0,5344,,684.3368403467317
0.0,,10,0.0,,0.0,,61,2,0,2.63,366.75,1024.0,6294,0.0,,1.05,317.59,,,721.3537517716718,1680688249.0,0,4320.0,6176,,721.3537517716718
0.0,,11,0.0,,0.0,,62,2,0,1.4,366.32,1440.0,7170,0.0,,0.56,355.03,,,732.1526984170106,1680688250.0,0,4736.0,7072,,732.1526984170106
0.0,,12,0.0,,0.0,,63,2,0,0.2,366.08,1888.0,8043,0.0,,0.5,366.07,,,735.0903905750298,1680688251.0,0,5184.0,7968,,735.0903905750298
0.0,,13,0.0,,0.0,,64,2,0,0.0,366.56,2336.0,8922,0.0,,0.5,368.53,,,735.011968361814,1680688252.0,0,5632.0,8224,,735.011968361814
0.0,,14,0.0,,0.0,,65,2,0,0.0,366.45,2464.0,9798,0.0,,0.5,368.56,,,735.011968361814,1680688253.0,0,5760.0,8224,,735.011968361814
0.0,,15,0.0,,0.0,,67,2,0,0.0,366.45,2464.0,10670,0.0,,0.5,368.56,,,735.011968361814,1680688255.0,0,5760.0,8224,,735.011968361814
0.0,,16,0.0,,0.0,,68,2,0,0.0,366.45,2464.0,11544,0.0,,0.5,368.56,,,735.011968361814,1680688256.0,0,5760.0,8224,,735.011968361814
0.0,,17,0.0,,0.0,,69,2,0,0.0,366.45,2464.0,12420,0.0,,0.5,368.56,,,735.011968361814,1680688257.0,0,5760.0,8224,,735.011968361814
0.0,,18,0.0,,0.0,,70,2,0,0.0,366.45,2464.0,13294,0.0,,0.5,368.56,,,735.011968361814,1680688258.0,0,5760.0,8224,,735.011968361814
0.0,,19,0.0,,0.0,,71,2,0,0.0,366.45,2464.0,14170,0.0,,0.5,368.56,,,735.011968361814,1680688259.0,0,5760.0,8224,,735.011968361814
0.0,,20,0.0,,0.0,,72,2,0,0.0,366.45,2464.0,15044,0.0,,0.5,368.56,,,735.011968361814,1680688260.0,0,5760.0,8224,,735.011968361814
0.0,,21,0.0,,0.0,,74,2,0,0.0,366.45,2464.0,15921,0.0,,0.5,368.56,,,735.011968361814,1680688262.0,0,5760.0,8224,,735.011968361814
0.0,,22,0.0,,0.0,,75,2,0,0.0,366.45,2464.0,16798,0.0,,0.5,368.56,,,735.011968361814,1680688263.0,0,5760.0,8224,,735.011968361814
0.0,,23,0.0,,0.0,,76,2,0,0.0,366.45,2464.0,17675,0.0,,0.5,368.56,,,735.011968361814,1680688264.0,0,5760.0,8224,,735.011968361814
0.0,,24,0.0,,0.0,,77,2,0,0.0,366.45,2464.0,18550,0.0,,0.5,368.56,,,735.011968361814,1680688265.0,0,5760.0,8224,,735.011968361814
0.0,,25,0.0,,0.0,,78,2,0,0.0,366.45,2464.0,19422,0.0,,0.5,368.56,,,735.011968361814,1680688266.0,0,5760.0,8224,,735.011968361814
0.0,,26,0.0,,0.0,,80,2,0,0.0,366.45,2464.0,20296,0.0,,0.5,368.56,,,735.011968361814,1680688268.0,0,5760.0,8224,,735.011968361814
0.0,,27,0.0,,0.0,,81,2,0,0.0,366.45,2464.0,21168,0.0,,0.5,368.56,,,735.011968361814,1680688269.0,0,5760.0,8224,,735.011968361814
0.0,,28,0.0,,0.0,,82,2,0,0.0,366.45,2464.0,22041,0.0,,0.5,368.56,,,735.011968361814,1680688270.0,0,5760.0,8224,,735.011968361814
0.0,,29,0.0,,0.0,,83,2,0,0.0,366.45,2464.0,22913,0.0,,0.5,368.56,,,735.011968361814,1680688271.0,0,5760.0,8224,,735.011968361814
