03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
592,25.647457437597186,1,512,0,1254.55,41,0,10.0,25.647457437597186,1683045628,0,,,,,,,,,,,,,,,,,,,
4083,831.4613977859805,1,4000,1,34.5,42,0,8.62,831.4613977859805,1683045629,0,512.0,0.0,25.65,0.0,,,,,,,,,,,,,,,
5062,830.6896239370652,1,4960,2,33.35,44,0,8.34,830.6896239370652,1683045631,0,4000.0,0.0,831.46,0.0,,,,,,,,,,,,,,,
6039,832.9850739737211,1,5952,3,32.09,45,0,8.02,832.9850739737211,1683045632,0,4960.0,0.0,830.69,0.0,,,,,,,,,,,,,,,
8350,1589.5227547425313,3,8160,4,15.36,46,0,7.68,1589.5227547425313,1683045633,0,5952.0,0.0,832.99,0.0,,,,,,,,,,,,,,,
11839,2437.8304265392485,3,11552,5,8.59,47,0,4.29,2437.8304265392485,1683045634,0,6912.0,0.0,827.22,0.0,158.99,928.0,0.0,0.0,0.0,320.0,0.0,603.31,,,,,,,
14820,2495.9691710165603,3,14528,6,7.19,49,0,3.6,2495.9691710165603,1683045636,0,8032.0,0.0,829.62,0.0,791.67,2048.0,0.0,0.0,0.0,1472.0,0.0,816.54,,,,,,,
17833,2507.888571978988,3,17568,7,5.96,50,0,2.98,2507.888571978988,1683045637,0,9024.0,0.0,829.89,0.0,838.73,3040.0,0.0,0.0,0.0,2464.0,0.0,827.35,,,,,,,
20831,2515.738462393776,3,20544,8,4.75,51,0,2.37,2515.738462393776,1683045638,0,10048.0,0.0,839.55,0.0,847.49,4032.0,0.0,0.0,0.0,3488.0,0.0,820.85,,,,,,,
23776,2467.1336037235283,3,23456,9,3.64,52,0,1.82,2467.1336037235283,1683045639,0,11040.0,0.0,834.68,0.0,846.49,5024.0,0.0,0.0,0.0,4480.0,0.0,834.57,,,,,,,
26744,2471.610343423531,3,26464,10,2.44,53,0,1.22,2471.610343423531,1683045640,0,12000.0,0.0,822.24,0.0,827.27,5984.0,0.0,0.0,0.0,5472.0,0.0,817.63,,,,,,,
29695,2491.8379717038524,3,29408,11,1.23,55,0,0.62,2491.8379717038524,1683045642,0,12992.0,0.0,823.55,0.0,835.09,6976.0,0.0,0.0,0.0,6496.0,0.0,812.97,,,,,,,
