03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
5264,2550.288341675691,4,4992,0,10.78,39,0,6.16,2550.288341675691,1683047101,0,,,,,,,,,,,,,,,,,,,,,,,
11018,4553.955644934135,4,10208,1,4.78,41,0,2.73,4553.955644934135,1683047103,0,3168.0,363.29,832.0,267.11,448.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,683.95,1235.94,0.0,0.0,,,,,,,
16003,4449.55004275826,4,15520,2,3.77,42,0,2.15,4449.55004275826,1683047104,0,4160.0,1202.15,2304.0,1074.49,1760.0,0.0,0.0,0.0,0.0,0.0,1984.0,0.0,1207.96,1069.35,0.0,0.0,,,,,,,
21093,4505.407160540143,4,20608,3,2.59,43,0,1.48,4505.407160540143,1683047105,0,5312.0,1222.91,3680.0,1102.32,3072.0,0.0,0.0,0.0,0.0,0.0,3456.0,0.0,1021.63,1102.69,0.0,0.0,,,,,,,
26755,4477.182481799353,4,25888,4,1.34,44,0,0.77,4477.182481799353,1683047106,0,6336.0,1186.72,5088.0,1106.67,4384.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.0,1161.43,1050.59,0.0,0.0,,,,,,,
30397,3478.5603086401125,4,29952,5,0.68,46,0,0.5,3478.5603086401125,1683047108,0,7552.0,1089.03,6336.0,1144.9,5760.0,0.0,0.0,0.0,0.0,0.0,6240.0,0.0,1129.48,1113.77,0.0,0.0,,,,,,,
35452,4063.90337308534,4,33632,6,0.0,47,0,0.5,4063.90337308534,1683047109,0,8320.0,958.15,7616.0,829.77,6784.0,0.0,0.0,0.0,0.0,0.0,7232.0,0.0,1146.77,543.87,0.0,0.0,,,,,,,
40342,4153.345311791585,4,34912,7,0.0,48,0,0.5,4153.345311791585,1683047110,0,9056.0,901.41,8896.0,1076.28,7584.0,0.0,0.0,0.0,0.0,0.0,8096.0,0.0,1069.76,1016.45,0.0,0.0,,,,,,,
4348,4568.15263359524,4,3904,8,6.22,49,1,3.56,3392.299935340855,1683047111,0,9056.0,901.41,10176.0,1076.28,7584.0,0.0,0.0,0.0,0.0,0.0,8096.0,0.0,1159.2,1016.45,0.0,0.0,,,,,,,
8086,4291.047884657817,4,7712,9,5.75,50,1,3.29,3115.1951864034313,1683047112,0,1376.0,1167.38,11552.0,1014.48,1152.0,1.0,0.0,0.0,1.0,1.0,1376.0,1.0,1175.85,1210.44,0.0,0.0,9.75879122596234,0.0,34912.0,34912.0,0.0,3577.4922520239934,1.0
11675,4158.556431416849,4,11360,10,5.07,52,1,2.9,2982.7037331624624,1683047114,0,2784.0,926.18,11552.0,1061.62,2272.0,1.0,0.0,0.0,1.0,1.0,2656.0,1.0,1175.85,1127.4,0.0,0.0,,,,,,,
15644,4470.615526896007,4,15264,11,3.83,53,1,2.19,3294.762828641622,1683047115,0,3776.0,984.63,11552.0,1112.87,3616.0,1.0,0.0,0.0,1.0,1.0,3968.0,1.0,1175.85,885.2,0.0,0.0,,,,,,,
19840,4724.569921370415,4,19424,12,2.74,54,1,1.56,3548.717223116029,1683047116,0,5056.0,1146.71,11552.0,1042.82,4896.0,1.0,0.0,0.0,1.0,1.0,5312.0,1.0,1175.85,1105.23,0.0,0.0,,,,,,,
23358,4098.425981524614,4,23008,13,2.3,55,1,1.31,2922.5732832702283,1683047117,0,6496.0,1244.37,11552.0,1108.44,6176.0,1.0,0.0,0.0,1.0,1.0,6752.0,1.0,1175.85,1195.91,0.0,0.0,,,,,,,
27041,4343.763282870898,4,26656,14,1.32,56,1,0.75,3167.910584616512,1683047118,0,7488.0,992.58,11552.0,1123.69,7520.0,1.0,0.0,0.0,1.0,1.0,8000.0,1.0,1175.85,806.3,0.0,0.0,,,,,,,
30836,4400.457509139518,4,30496,15,0.44,58,1,0.5,3224.6048108851314,1683047120,0,8672.0,1020.96,11552.0,1116.86,8800.0,1.0,0.0,0.0,1.0,1.0,9184.0,1.0,1175.85,1030.09,0.0,0.0,,,,,,,
34788,4437.650684071816,4,32288,16,0.0,59,1,0.5,3261.7979858174294,1683047121,0,9984.0,1018.59,11552.0,1096.76,10112.0,1.0,0.0,0.0,1.0,1.0,10400.0,1.0,1175.85,1109.26,0.0,0.0,,,,,,,
3256,4374.9400687252,4,2912,17,6.75,60,2,3.85,3204.3591683828886,1683047122,0,10592.0,1208.43,11552.0,938.78,10624.0,1.0,0.0,0.0,1.0,1.0,11072.0,1.0,1175.85,1114.58,0.0,0.0,,,,,,,
6538,3712.2392587136246,4,6240,18,7.07,61,2,4.04,2541.6583583713127,1683047123,0,992.0,1129.61,32.0,1041.89,928.0,2.0,1.0,0.0,2.0,2.0,992.0,1.0,1170.58,1032.87,0.0,0.0,10.835766715928912,1.0,67200.0,32288.0,0.0,2979.7614554155766,1.0
10361,4242.177773861604,4,9920,19,5.28,62,2,3.02,3071.596873519292,1683047124,0,1824.0,864.75,32.0,1087.76,2112.0,2.0,1.0,0.0,2.0,2.0,2304.0,1.0,1170.58,589.14,0.0,0.0,,,,,,,
13949,4135.847197720657,4,13600,20,4.55,64,2,2.6,2965.2662973783463,1683047126,0,3104.0,1020.19,32.0,1124.1,3296.0,2.0,1.0,0.0,2.0,2.0,3520.0,1.0,1170.58,927.31,0.0,0.0,,,,,,,
