03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
96,2.199821555861283,1,96,0,14851.99,37,0,10.0,2.199821555861283,1683047598,0,,,,,,,,,,,,,,,,,,,,,,,
774,60.9963637519218,1,768,1,524.52,38,0,10.0,60.9963637519218,1683047599,0,96.0,0.0,2.2,0.0,,,,,,,,,,,,,,,,,,,
2297,286.6832649967698,1,1408,2,106.29,42,0,10.0,286.6832649967698,1683047603,0,768.0,0.0,61.0,0.0,,,,,,,,,,,,,,,,,,,
5409,1310.3684939467012,4,5248,3,20.88,43,0,10.0,1310.3684939467012,1683047604,0,1408.0,0.0,286.68,0.0,,,,,,,,,,,,,,,,,,,
8072,2000.280843456063,4,7840,4,12.35,44,0,7.06,2000.280843456063,1683047605,0,3648.0,0.0,540.94,0.0,264.26,640.0,187.63,416.0,0.0,0.0,0.0,0.0,544.0,0.0,317.54,0.0,,,,,,,
10677,2152.8151766879873,4,10432,5,10.26,46,0,5.86,2152.8151766879873,1683047607,0,4288.0,0.0,537.46,0.0,499.54,1280.0,456.67,1056.0,0.0,0.0,0.0,0.0,1216.0,0.0,506.6,0.0,,,,,,,
13283,2181.8410304739396,4,13024,6,8.93,47,0,5.1,2181.8410304739396,1683047608,0,4960.0,0.0,539.99,0.0,541.65,1920.0,528.05,1696.0,0.0,0.0,0.0,0.0,1856.0,0.0,543.13,0.0,,,,,,,
16275,2185.7536334727224,4,16000,7,7.55,48,0,4.31,2185.7536334727224,1683047609,0,5600.0,0.0,540.88,0.0,548.29,2592.0,545.77,2336.0,0.0,0.0,0.0,0.0,2496.0,0.0,546.91,0.0,,,,,,,
18915,2192.011090543803,4,18624,8,6.32,49,0,3.61,2192.011090543803,1683047610,0,6336.0,0.0,542.42,0.0,548.76,3328.0,548.05,3072.0,0.0,0.0,0.0,0.0,3264.0,0.0,546.52,0.0,,,,,,,
21525,2182.4318164827646,4,21216,9,5.15,51,0,2.94,2182.4318164827646,1683047612,0,6976.0,0.0,542.22,0.0,549.71,4000.0,549.28,3744.0,0.0,0.0,0.0,0.0,3904.0,0.0,550.81,0.0,,,,,,,
24127,2163.2417930556035,4,23840,10,3.99,52,0,2.28,2163.2417930556035,1683047613,0,7616.0,0.0,539.67,0.0,547.41,4640.0,546.01,4384.0,0.0,0.0,0.0,0.0,4576.0,0.0,549.34,0.0,,,,,,,
26738,2165.0756513994947,4,26464,11,2.79,53,0,1.59,2165.0756513994947,1683047614,0,8256.0,0.0,530.52,0.0,545.05,5312.0,536.91,5056.0,0.0,0.0,0.0,0.0,5216.0,0.0,550.77,0.0,,,,,,,
29320,2166.4272149555336,4,29056,12,1.59,54,0,0.91,2166.4272149555336,1683047615,0,8896.0,0.0,523.73,0.0,548.89,5984.0,542.47,5696.0,0.0,0.0,0.0,0.0,5888.0,0.0,549.99,0.0,,,,,,,
31940,2173.305442617923,4,31648,13,0.38,55,0,0.5,2173.305442617923,1683047616,0,9536.0,0.0,533.96,0.0,548.08,6624.0,536.43,6336.0,0.0,0.0,0.0,0.0,6560.0,0.0,547.96,0.0,,,,,,,
34530,2156.5477767330885,4,32800,14,0.0,57,0,0.5,2156.5477767330885,1683047618,0,10176.0,0.0,536.53,0.0,550.15,7296.0,541.54,6976.0,0.0,0.0,0.0,0.0,7200.0,0.0,545.08,0.0,,,,,,,
37131,2156.5477767330885,4,32800,15,0.0,58,0,0.5,2156.5477767330885,1683047619,0,10464.0,0.0,533.45,0.0,542.05,7584.0,535.35,7264.0,0.0,0.0,0.0,0.0,7488.0,0.0,545.7,0.0,,,,,,,
1471,2141.0170370081114,4,1184,16,14.62,59,1,8.35,2141.0170370081114,1683047620,0,10464.0,0.0,533.45,0.0,542.05,7584.0,535.35,7264.0,0.0,0.0,0.0,0.0,7488.0,0.0,545.7,0.0,,,,,,,
4089,2167.0299443626336,4,3776,17,13.23,60,1,7.56,2167.0299443626336,1683047621,0,288.0,1.0,537.09,0.0,531.65,320.0,532.04,288.0,1.0,0.0,1.0,1.0,288.0,0.0,540.24,0.0,22.32609932590276,0.0,32800.0,32800.0,0.0,1469.13258429991,1.0
6664,2158.0795061142226,4,6400,18,12.1,61,1,6.91,2158.0795061142226,1683047622,0,960.0,1.0,547.48,0.0,537.78,960.0,538.08,928.0,1.0,0.0,1.0,1.0,928.0,0.0,543.69,0.0,,,,,,,
9269,2164.288626420003,4,8992,19,10.86,63,1,6.2,2164.288626420003,1683047624,0,1632.0,1.0,547.9,0.0,537.84,1600.0,532.3,1568.0,1.0,0.0,1.0,1.0,1600.0,0.0,540.04,0.0,,,,,,,
11870,2164.6237413594595,4,11616,20,9.65,64,1,5.52,2164.6237413594595,1683047625,0,2272.0,1.0,541.81,0.0,537.45,2272.0,538.63,2208.0,1.0,0.0,1.0,1.0,2240.0,0.0,546.39,0.0,,,,,,,
14483,2175.119093353949,4,14208,21,8.41,65,1,4.8,2175.119093353949,1683047626,0,2944.0,1.0,548.38,0.0,535.96,2912.0,534.91,2880.0,1.0,0.0,1.0,1.0,2880.0,0.0,545.37,0.0,,,,,,,
17099,2172.4328586514002,4,16800,22,7.21,66,1,4.12,2172.4328586514002,1683047627,0,3584.0,1.0,548.43,0.0,537.57,3584.0,541.83,3520.0,1.0,0.0,1.0,1.0,3520.0,0.0,547.28,0.0,,,,,,,
19707,2163.801851420801,4,19456,23,6.04,67,1,3.45,2163.801851420801,1683047628,0,4256.0,1.0,546.31,0.0,538.3,4224.0,542.0,4160.0,1.0,0.0,1.0,1.0,4160.0,0.0,545.82,0.0,,,,,,,
22317,2164.3430882343355,4,22048,24,4.83,69,1,2.76,2164.3430882343355,1683047630,0,4896.0,1.0,546.31,0.0,538.49,4896.0,541.29,4832.0,1.0,0.0,1.0,1.0,4832.0,0.0,537.7,0.0,,,,,,,
24914,2157.8654601228045,4,24608,25,3.64,70,1,2.08,2157.8654601228045,1683047631,0,5568.0,1.0,544.28,0.0,537.67,5536.0,536.84,5472.0,1.0,0.0,1.0,1.0,5472.0,0.0,545.55,0.0,,,,,,,
27421,2130.5181332062803,4,27136,26,2.51,71,1,1.43,2130.5181332062803,1683047632,0,6208.0,1.0,547.87,0.0,534.82,6176.0,532.01,6112.0,1.0,0.0,1.0,1.0,6112.0,0.0,543.16,0.0,,,,,,,
30029,2156.1319763641277,4,29760,27,1.27,72,1,0.73,2156.1319763641277,1683047633,0,6784.0,1.0,516.81,0.0,536.43,6848.0,536.4,6752.0,1.0,0.0,1.0,1.0,6752.0,0.0,540.88,0.0,,,,,,,
32638,2169.085089147467,4,32352,28,0.06,74,1,0.5,2169.085089147467,1683047635,0,7456.0,1.0,537.56,0.0,539.87,7520.0,532.25,7392.0,1.0,0.0,1.0,1.0,7392.0,0.0,546.45,0.0,,,,,,,
35237,2165.7101677385044,4,32864,29,0.0,75,1,0.5,2165.7101677385044,1683047636,0,8096.0,1.0,544.25,0.0,543.32,8160.0,534.46,8032.0,1.0,0.0,1.0,1.0,8064.0,0.0,547.05,0.0,,,,,,,
37838,2165.7101677385044,4,32864,30,0.0,76,1,0.5,2165.7101677385044,1683047637,0,8224.0,1.0,543.03,0.0,542.71,8288.0,533.65,8160.0,1.0,0.0,1.0,1.0,8192.0,0.0,546.31,0.0,,,,,,,
2587,2186.108475555262,4,2304,31,13.81,77,2,7.89,2186.108475555262,1683047638,0,8224.0,1.0,543.03,0.0,542.71,8288.0,533.65,8160.0,1.0,0.0,1.0,1.0,8192.0,0.0,546.31,0.0,,,,,,,
5217,2185.3420069867275,4,4928,32,12.61,78,2,7.2,2185.3420069867275,1683047639,0,576.0,2.0,544.05,0.0,550.02,576.0,543.74,576.0,2.0,0.0,2.0,2.0,576.0,0.0,548.3,0.0,18.047604328021407,0.0,65664.0,32864.0,0.0,1820.9619073360382,2.0
7851,2185.0067599325166,4,7552,33,11.4,80,2,6.52,2185.0067599325166,1683047641,0,1216.0,2.0,543.78,0.0,547.66,1248.0,547.41,1216.0,2.0,0.0,2.0,2.0,1248.0,0.0,546.49,0.0,,,,,,,
10469,2181.443066490485,4,10176,34,10.22,81,2,5.84,2181.443066490485,1683047642,0,1888.0,2.0,545.59,0.0,545.92,1888.0,546.29,1888.0,2.0,0.0,2.0,2.0,1888.0,0.0,547.21,0.0,,,,,,,
13094,2181.367328122382,4,12768,35,9.02,82,2,5.15,2181.367328122382,1683047643,0,2528.0,2.0,541.68,0.0,547.51,2560.0,543.38,2528.0,2.0,0.0,2.0,2.0,2560.0,0.0,548.88,0.0,,,,,,,
15716,2172.735915479662,4,15424,36,7.85,83,2,4.48,2172.735915479662,1683047644,0,3168.0,2.0,542.66,0.0,547.74,3200.0,545.42,3200.0,2.0,0.0,2.0,2.0,3200.0,0.0,545.55,0.0,,,,,,,
