03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
257,7.532296243277448,1,256,0,4316.23,43,0,10.0,7.532296243277448,1683049257,0,,,,,,,,,,,,,,,,,,,,,,,
679,41.911900780471456,1,672,1,765.63,44,0,10.0,41.911900780471456,1683049258,0,256.0,0.0,7.53,0.0,,,,,,,,,,,,,,,,,,,
1139,140.1571635898206,1,1120,2,225.67,45,0,10.0,140.1571635898206,1683049259,0,672.0,0.0,41.91,0.0,,,,,,,,,,,,,,,,,,,
1593,268.2597903266215,1,1568,3,116.21,46,0,10.0,268.2597903266215,1683049260,0,1120.0,0.0,140.16,0.0,,,,,,,,,,,,,,,,,,,
3134,530.5617446762017,3,3072,4,55.85,49,0,10.0,530.5617446762017,1683049263,0,1568.0,0.0,268.26,0.0,,,,,,,,,,,,,,,,,,,
4955,984.1578641372967,4,4800,5,28.26,50,0,10.0,984.1578641372967,1683049264,0,2528.0,0.0,361.51,0.0,40.31,384.0,0.0,0.0,0.0,160.0,0.0,128.73,,,,,,,,,,,
6784,1311.5508722896875,4,6592,6,19.81,51,0,10.0,1311.5508722896875,1683049265,0,2944.0,0.0,365.41,0.0,196.29,832.0,0.0,0.0,0.0,608.0,0.0,278.94,143.51,416.0,0.0,0.0,,,,,,,
8560,1428.5594486867228,4,8352,7,16.95,52,0,9.68,1428.5594486867228,1683049266,0,3392.0,0.0,366.5,0.0,312.73,1280.0,0.0,0.0,0.0,1056.0,0.0,345.48,286.83,864.0,0.0,0.0,,,,,,,
10336,1460.5097480512566,4,10144,8,15.36,54,0,8.78,1460.5097480512566,1683049268,0,3840.0,0.0,366.94,0.0,352.81,1696.0,0.0,0.0,0.0,1504.0,0.0,361.98,346.83,1312.0,0.0,0.0,,,,,,,
12105,1466.8116653410832,4,11904,9,14.09,55,0,8.05,1466.8116653410832,1683049269,0,4288.0,0.0,366.71,0.0,365.21,2144.0,0.0,0.0,0.0,1952.0,0.0,367.12,361.48,1760.0,0.0,0.0,,,,,,,
