03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_accumulated,_step,04_peers/peer_5_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_2_epoch,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_2_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_8_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_6_samples_per_second,_timestamp,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_1_samples_accumulated,04_peers/peer_7_samples_accumulated,03_hivemind/epoch_s,03_hivemind/eta_next_epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/undershot_TBS,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_7_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated
,,,,0,,,,,,,,81,3,,,,9849,4672,2401.4259183742165,,,,,0,,,,1683050877.0,,,,,,9.54,,,2401.4259183742165,,,,,,4.77,,0,,,,,
,,,,1,,,0.0,,0.0,,47.72,82,6,0.0,1376.0,,20444,18816,5424.471250371102,,1115.22,,,0,0.0,,,1683050878.0,0.0,,3168.0,,,2.27,,,5424.471250371102,,,1238.49,0.0,,1.51,,0,,,,128.0,
,,1072.57,1504.0,2,0.0,0.0,0.0,,0.0,0.0,1070.01,84,8,0.0,4384.0,,30658,27104,8325.614625791526,,1148.35,1664.0,0.0,0,0.0,,838.66,1683050880.0,0.0,0.0,6112.0,,,0.25,312.91,,8325.614625791526,,0.0,981.98,0.0,,0.5,,0,,,,4160.0,992.0
,,1124.75,2912.0,3,0.0,0.0,0.0,,0.0,0.0,859.42,85,8,0.0,4384.0,1024.0,38558,34656,8217.05893407798,0.0,1148.35,3040.0,0.0,0,0.0,0.0,1243.42,1683050881.0,0.0,0.0,7136.0,1344.0,,0.0,1163.04,905.45,8217.05893407798,,0.0,1067.17,0.0,0.0,0.5,0.0,0,,,814.02,4800.0,2464.0
,,1186.05,4288.0,4,0.0,0.0,0.0,,0.0,0.0,1194.37,86,8,0.0,5056.0,1472.0,48142,38144,7562.07844682556,0.0,432.78,4448.0,0.0,0,0.0,0.0,1093.77,1683050882.0,0.0,0.0,7936.0,1824.0,,0.0,1092.31,1084.88,7562.07844682556,,0.0,1097.0,0.0,0.0,0.5,0.0,0,,,1035.9,5760.0,3872.0
,,577.54,5152.0,5,0.0,0.0,0.0,,0.0,0.0,788.06,88,8,0.0,5728.0,1472.0,58999,38944,7744.77813524114,0.0,856.18,4480.0,0.0,0,0.0,0.0,1146.95,1683050884.0,0.0,0.0,9376.0,1824.0,,0.0,1134.78,1084.88,7744.77813524114,,0.0,937.78,0.0,0.0,0.5,0.0,0,,,1035.9,6080.0,4032.0
,,577.54,5152.0,6,0.0,0.0,0.0,,0.0,0.0,788.06,89,8,0.0,5728.0,1472.0,5577,3008,8552.629133090517,0.0,856.18,4480.0,0.0,0,0.0,0.0,1146.95,1683050885.0,0.0,0.0,10176.0,1824.0,,3.18,1134.78,1084.88,8552.629133090517,,0.0,1120.48,0.0,0.0,2.31,0.0,1,,,1035.9,6080.0,4032.0
4853.949807557244,38944.0,891.2,480.0,7,1.0,0.0,1.0,0.0,0.0,0.0,1042.37,90,8,1.0,416.0,288.0,15882,14784,6974.87775857885,1.0,1059.36,352.0,1.0,0,0.0,0.0,1139.08,1683050886.0,1.0,1.0,384.0,256.0,8.023156716488302,2.42,1099.88,1072.43,6974.87775857885,0.0,0.0,1167.7,0.0,0.0,1.76,1.0,1,1.0,38944.0,1080.61,384.0,448.0
,,627.32,1344.0,8,1.0,0.0,1.0,,0.0,0.0,853.86,92,8,1.0,1824.0,2048.0,26397,25024,7845.245831316254,1.0,1116.81,1504.0,1.0,0,0.0,0.0,882.02,1683050888.0,1.0,1.0,2048.0,2048.0,,0.81,498.8,1042.94,7845.245831316254,,0.0,852.95,0.0,0.0,0.59,1.0,1,,,1100.18,2016.0,1952.0
,,1003.23,2784.0,9,1.0,0.0,1.0,,0.0,0.0,883.25,93,8,1.0,3104.0,3392.0,37696,32928,7908.009042113379,1.0,884.36,2816.0,1.0,0,0.0,0.0,1041.11,1683050889.0,1.0,1.0,3456.0,3232.0,,0.0,1082.38,892.59,7908.009042113379,,0.0,1092.34,0.0,0.0,0.5,1.0,1,,,966.0,2976.0,3264.0
