04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_5_samples_per_second,04_peers/peer_6_samples_accumulated,_timestamp,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,03_hivemind/total_training_samples,04_peers/peer_5_epoch,03_hivemind/overshot_TBS,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_8_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_7_epoch,04_peers/peer_8_samples_accumulated,04_peers/peer_6_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_step,04_peers/peer_2_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_runtime,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos
,,,,1683051381.0,,,0,,,,,,0,,,,,3,,,,,,,,,,288,,,,,82.25622895955338,82.25622895955338,0,,,,10.0,,,,,,389.28,747,78,,,
27.38,27.24,,,1683051383.0,0.0,,0,,,,,,0,0.0,,,,5,0.0,,,,,96.0,,,,7136,,,27.63,,1113.7526886237881,1113.7526886237881,1,0.0,96.0,,10.0,96.0,,,0.0,,22.7,7489,80,,,0.0
233.53,236.62,211.2,,1683051384.0,0.0,0.0,0,,0.0,,0.0,,0,0.0,0.0,,,5,0.0,,,,,1696.0,,992.0,,8928,,,236.77,195.63,1162.2021023927323,1162.2021023927323,2,0.0,1728.0,,10.0,1760.0,960.0,,0.0,,20.23,9260,81,,,0.0
233.52,236.93,231.66,,1683051385.0,0.0,0.0,0,,0.0,,0.0,,0,0.0,0.0,,,6,0.0,,,,,2048.0,,1344.0,,10624,,,238.17,221.92,1181.0210423589062,1181.0210423589062,3,0.0,2080.0,,10.0,2112.0,1344.0,,0.0,,18.44,10994,82,,,0.0
234.63,237.63,237.04,96.0,1683051387.0,0.0,0.0,0,,0.0,,0.0,,0,0.0,0.0,,,8,0.0,,,0.0,,2368.0,1.14,1664.0,,13280,0.0,,238.56,232.02,1314.4604250235527,1314.4604250235527,4,0.0,2400.0,,10.0,2432.0,1664.0,,0.0,,14.63,13535,84,,,0.0
235.74,237.59,230.49,416.0,1683051388.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,72.28,,8,0.0,0.0,256.0,0.0,52.97,2720.0,8.71,2048.0,288.0,15936,0.0,,238.45,238.24,1493.4473810518182,1493.4473810518182,5,0.0,2752.0,,8.06,2784.0,2016.0,0.0,0.0,0.0,11.08,16214,85,,,0.0
234.52,236.76,235.7,768.0,1683051390.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,154.22,,8,0.0,0.0,576.0,0.0,126.5,3072.0,30.86,2368.0,608.0,18592,0.0,,237.46,237.43,1650.4064158450067,1650.4064158450067,6,0.0,3104.0,,6.11,3104.0,2336.0,0.0,0.0,0.0,8.41,18895,87,,,0.0
235.43,235.7,238.64,1088.0,1683051391.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,205.8,,8,0.0,0.0,928.0,0.0,184.89,3392.0,73.75,2720.0,928.0,21184,0.0,,238.29,237.91,1759.477776956371,1759.477776956371,7,0.0,3424.0,,4.64,3424.0,2688.0,0.0,0.0,0.0,6.38,21550,88,,,0.0
235.49,237.11,236.96,1408.0,1683051392.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,225.09,,8,0.0,0.0,1248.0,0.0,215.46,3712.0,134.46,3040.0,1248.0,23840,0.0,,238.31,236.59,1828.1279186618947,1828.1279186618947,8,0.0,3744.0,,3.41,3776.0,3008.0,0.0,0.0,0.0,4.68,24205,89,,,0.0
235.54,237.14,235.12,1728.0,1683051394.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,231.37,,8,0.0,0.0,1568.0,0.0,226.36,4032.0,187.0,3392.0,1568.0,26496,0.0,,238.34,237.27,1854.0209966488726,1854.0209966488726,9,0.0,4096.0,,2.33,4096.0,3360.0,0.0,0.0,0.0,3.2,26834,91,,,0.0
234.89,236.65,234.19,2080.0,1683051395.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,229.38,,8,0.0,0.0,1888.0,0.0,226.94,4384.0,218.24,3712.0,1888.0,29120,0.0,,237.42,236.3,1867.3029827100524,1867.3029827100524,10,0.0,4416.0,,1.28,4448.0,3680.0,0.0,0.0,0.0,1.76,29484,92,,,0.0
234.45,235.03,234.32,2400.0,1683051397.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,230.03,,8,0.0,0.0,2240.0,0.0,230.52,4704.0,229.87,4032.0,2240.0,31744,0.0,,237.56,235.52,1876.0600137997576,1876.0600137997576,11,0.0,4736.0,,0.5,4768.0,4000.0,0.0,0.0,0.0,0.35,32112,94,,,0.0
234.65,234.9,235.23,2720.0,1683051398.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,230.45,,8,0.0,0.0,2560.0,0.0,232.88,5024.0,234.31,4384.0,2560.0,32896,0.0,,237.81,235.82,1871.5485304681806,1871.5485304681806,12,0.0,5088.0,,0.5,5088.0,4320.0,0.0,0.0,0.0,0.0,34735,95,,,0.0
235.2,234.59,234.7,2880.0,1683051399.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,231.05,,8,0.0,0.0,2688.0,0.0,228.21,5184.0,235.3,4512.0,2688.0,32896,0.0,,237.13,235.36,1871.5485304681806,1871.5485304681806,13,0.0,5216.0,,0.5,5248.0,4480.0,0.0,0.0,0.0,0.0,37364,96,,,0.0
235.2,234.59,234.7,2880.0,1683051401.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,231.05,,8,0.0,0.0,2688.0,0.0,228.21,5184.0,235.3,4512.0,2688.0,32896,0.0,,237.13,235.36,1871.5485304681806,1871.5485304681806,14,0.0,5216.0,,0.5,5248.0,4480.0,0.0,0.0,0.0,0.0,39967,98,,,0.0
235.2,234.59,234.7,2880.0,1683051402.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,231.05,,8,0.0,0.0,2688.0,0.0,228.21,5184.0,235.3,4512.0,2688.0,32896,0.0,,237.13,235.36,1871.5485304681806,1871.5485304681806,15,0.0,5216.0,,0.5,5248.0,4480.0,0.0,0.0,0.0,0.0,42739,99,,,0.0
235.2,234.59,234.7,2880.0,1683051404.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,231.05,,8,0.0,0.0,2688.0,0.0,228.21,5184.0,235.3,4512.0,2688.0,32896,0.0,,237.13,235.36,1871.5485304681806,1871.5485304681806,16,0.0,5216.0,,0.5,5248.0,4480.0,0.0,0.0,0.0,0.0,45352,101,,,0.0
235.2,234.59,234.7,2880.0,1683051405.0,0.0,0.0,0,,0.0,,0.0,0.0,0,0.0,0.0,231.05,,8,0.0,0.0,2688.0,0.0,228.21,5184.0,235.3,4512.0,2688.0,32896,0.0,,237.13,235.36,1871.5485304681806,1871.5485304681806,17,0.0,5216.0,,0.5,5248.0,4480.0,0.0,0.0,0.0,0.0,48001,102,,,0.0
235.2,234.59,234.7,2880.0,1683051407.0,0.0,0.0,1,,0.0,,0.0,0.0,0,0.0,0.0,231.05,,8,0.0,0.0,2688.0,0.0,228.21,5184.0,235.3,4512.0,2688.0,2272,0.0,,237.13,235.36,1817.6194548718559,1817.6194548718559,18,0.0,5216.0,,10.0,5248.0,4480.0,0.0,0.0,0.0,16.59,2609,104,,,0.0
229.6,228.68,229.8,288.0,1683051408.0,1.0,1.0,1,32896.0,1.0,1.0,0.0,0.0,0,0.0,0.0,219.69,25.470186909660697,8,1.0,1.0,224.0,0.0,219.56,256.0,229.06,288.0,288.0,4896,1.0,1291.5492185698383,231.91,229.32,1857.6201055978622,1857.6201055978622,19,1.0,320.0,32896.0,10.0,288.0,320.0,1.0,0.0,0.0,14.81,5250,105,0.0,0.0,0.0
233.4,234.07,235.66,608.0,1683051409.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,225.95,,8,1.0,1.0,544.0,0.0,227.78,608.0,232.04,608.0,608.0,7520,1.0,,235.33,233.4,1880.6511142587526,1880.6511142587526,20,1.0,640.0,,9.61,608.0,672.0,1.0,0.0,0.0,13.21,7921,106,,,0.0
235.62,236.88,238.63,928.0,1683051411.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,230.44,,8,1.0,1.0,896.0,0.0,232.72,928.0,233.76,928.0,928.0,10272,1.0,,237.29,235.3,1885.0280969886915,1885.0280969886915,21,1.0,992.0,,8.56,928.0,992.0,1.0,0.0,0.0,11.78,10571,108,,,0.0
236.04,237.24,238.58,1280.0,1683051412.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,231.7,,8,1.0,1.0,1216.0,0.0,234.07,1280.0,234.0,1280.0,1280.0,12832,1.0,,237.53,235.88,1876.0397161515364,1876.0397161515364,22,1.0,1312.0,,7.59,1280.0,1344.0,1.0,0.0,0.0,10.44,13187,109,,,0.0
235.61,237.79,235.78,1600.0,1683051414.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,223.89,,8,1.0,1.0,1504.0,0.0,234.7,1600.0,233.56,1600.0,1600.0,15456,1.0,,237.99,236.72,1872.4243656849192,1872.4243656849192,23,1.0,1664.0,,6.59,1600.0,1664.0,1.0,0.0,0.0,9.06,15813,111,,,0.0
235.01,238.55,234.59,1920.0,1683051415.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,220.48,,8,1.0,1.0,1824.0,0.0,234.8,1920.0,234.05,1952.0,1920.0,18016,1.0,,238.14,236.8,1873.167265343842,1873.167265343842,24,1.0,1984.0,,5.57,1952.0,1984.0,1.0,0.0,0.0,7.66,18421,112,,,0.0
234.42,238.82,234.22,2240.0,1683051416.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,223.37,,8,1.0,1.0,2112.0,0.0,234.99,2240.0,233.64,2272.0,2240.0,20704,1.0,,237.61,236.1,1877.5481718736826,1877.5481718736826,25,1.0,2304.0,,4.54,2272.0,2336.0,1.0,0.0,0.0,6.24,21053,113,,,0.0
234.58,239.12,233.27,2560.0,1683051418.0,1.0,1.0,1,,1.0,,0.0,0.0,0,0.0,0.0,229.17,,8,1.0,1.0,2464.0,0.0,235.7,2592.0,233.54,2592.0,2592.0,23328,1.0,,236.85,235.32,1874.779107124006,1874.779107124006,26,1.0,2656.0,,3.53,2592.0,2656.0,1.0,0.0,0.0,4.85,23678,115,,,0.0
