03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,_step,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,_timestamp,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_samples_per_second
10.0,,0,0,,,644,640,1680688683.0,,,,,,0,,392.47,1,,,,40.10535133456673,37,,40.10535133456673,,
10.0,,1,0,0.0,,1281,1248,1680688684.0,,,,,,0,,70.09,1,0.0,,640.0,215.47669472360903,38,,215.47669472360903,,40.11
10.0,,2,0,0.0,,1784,1728,1680688685.0,,,,,,0,,44.57,1,0.0,,1248.0,327.55031221516913,39,,327.55031221516913,,215.48
7.25,,3,0,0.0,,2397,2304,1680688686.0,,,,,,0,,28.99,1,0.0,,1728.0,482.5418234434264,40,,482.5418234434264,,327.55
8.13,,4,0,0.0,,3910,2720,1680688690.0,,,,,,0,,32.51,1,0.0,,2304.0,383.75310427004246,44,,383.75310427004246,,482.54
5.71,,5,0,0.0,,5103,5024,1680688692.0,,,,,,0,,14.28,2,0.0,,2720.0,789.8008194090776,46,,789.8008194090776,,383.75
4.84,324.32,6,0,0.0,,6176,6016,1680688693.0,0.0,640.0,0.0,,,0,,12.11,2,0.0,,4384.0,843.13433145765,47,,843.13433145765,,465.48
4.08,478.85,7,0,0.0,,7213,7072,1680688694.0,0.0,1216.0,0.0,,,0,,10.21,2,0.0,,4800.0,898.4490421451494,48,,898.4490421451494,,364.28
3.32,499.07,8,0,0.0,,8360,8128,1680688695.0,0.0,1824.0,0.0,,,0,,8.29,2,0.0,,5248.0,967.8271270960474,49,,967.8271270960474,,399.38
3.52,477.04,9,0,0.0,,9371,9216,1680688697.0,0.0,2304.0,0.0,,,0,,8.79,2,0.0,,5824.0,797.9687368125461,51,,797.9687368125461,,490.78
2.97,420.36,10,0,0.0,,10279,10176,1680688698.0,0.0,2880.0,0.0,,,0,,7.42,2,0.0,,6336.0,823.089236719978,52,,823.089236719978,,377.61
2.17,478.07,11,0,0.0,,11352,11200,1680688699.0,0.0,3456.0,0.0,,,0,,5.42,2,0.0,,6720.0,929.1062401523492,53,,929.1062401523492,,345.02
1.78,476.96,12,0,0.0,,12399,12288,1680688700.0,0.0,3968.0,0.0,,,0,,4.44,2,0.0,,7232.0,897.1287366969918,54,,897.1287366969918,,452.14
1.41,443.17,13,0,0.0,,13351,13248,1680688701.0,0.0,4512.0,0.0,,,0,,3.52,2,0.0,,7776.0,861.8445041463374,55,,861.8445041463374,,453.96
0.88,470.99,14,0,0.0,,14379,14240,1680688702.0,0.0,5056.0,0.0,,,0,,2.2,2,0.0,,8192.0,910.9732047618713,56,,910.9732047618713,,390.86
0.5,418.47,15,0,0.0,,15585,15392,1680688704.0,0.0,5472.0,0.0,,,0,,0.78,2,0.0,,8768.0,1019.8072235419064,58,,1019.8072235419064,,492.5
0.5,518.43,16,0,0.0,,16526,16256,1680688705.0,0.0,6048.0,0.0,,,0,,0.0,2,0.0,,9344.0,840.0886542818087,59,,840.0886542818087,,501.38
0.5,475.04,17,0,0.0,,17528,16256,1680688706.0,0.0,6496.0,0.0,,,0,,0.0,2,0.0,,9760.0,840.0886542818087,60,,840.0886542818087,,365.05
0.5,475.04,18,0,0.0,,18528,16256,1680688707.0,0.0,6496.0,0.0,,,0,,0.0,2,0.0,,9760.0,840.0886542818087,61,,840.0886542818087,,365.05
0.5,475.04,19,0,0.0,,19525,16256,1680688708.0,0.0,6496.0,0.0,,,0,,0.0,2,0.0,,9760.0,840.0886542818087,62,,840.0886542818087,,365.05
0.5,475.04,20,0,0.0,,20524,16256,1680688710.0,0.0,6496.0,0.0,,,0,,0.0,2,0.0,,9760.0,840.0886542818087,64,,840.0886542818087,,365.05
0.5,475.04,21,0,0.0,,21523,16256,1680688711.0,0.0,6496.0,0.0,,,0,,0.0,2,0.0,,9760.0,840.0886542818087,65,,840.0886542818087,,365.05
0.5,475.04,22,0,0.0,,22523,16256,1680688712.0,0.0,6496.0,0.0,,,0,,0.0,2,0.0,,9760.0,840.0886542818087,66,,840.0886542818087,,365.05
