04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_3_samples_per_second,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_7_epoch,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_6_samples_accumulated,04_peers/peer_8_samples_accumulated,_timestamp,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,04_peers/peer_6_samples_per_second,_step,03_hivemind/num_clients,04_peers/peer_5_epoch_oos,03_hivemind/actual_total_samples_per_second,04_peers/peer_5_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_3_samples_accumulated,04_peers/peer_2_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_7_samples_accumulated,_runtime,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_6_epoch,04_peers/peer_1_epoch_oos
,,,,,,,,,,,,1683052267.0,,0,1511,1472,10.0,,0,0,,231.2760357046873,,135.15,,,,,,,,,,,,,,,,,,72,5,,231.2760357046873,,,,,
,,64.96,,0.0,0.0,,,,,,,1683052269.0,,0,2179,2112,10.0,,1,0,0.0,299.1515892259691,0.0,102.25,416.0,65.03,,416.0,0.0,0.0,0.0,,128.0,,64.44,19.54,,0.0,,416.0,,74,5,,299.1515892259691,17.31,96.0,0.0,,0.0
,,74.92,,0.0,0.0,,,,,,,1683052270.0,,0,2857,2784,10.0,,2,0,0.0,353.9952848941922,0.0,84.49,544.0,74.82,,544.0,0.0,0.0,0.0,,256.0,,74.1,41.12,,0.0,,544.0,,75,5,,353.9952848941922,34.18,224.0,0.0,,0.0
,,81.74,,0.0,0.0,,,,,,,1683052271.0,,0,3515,3424,10.0,,3,0,0.0,390.76735422494346,0.0,74.86,672.0,81.44,,672.0,0.0,0.0,0.0,,384.0,,80.61,60.99,,0.0,,672.0,,76,5,,390.76735422494346,49.21,384.0,0.0,,0.0
,,86.27,,0.0,0.0,,,,,,,1683052273.0,,0,4313,4192,10.0,,4,0,0.0,437.02603784909866,0.0,65.11,800.0,85.96,,800.0,0.0,0.0,0.0,,512.0,,84.89,72.01,,0.0,,800.0,,78,7,,437.02603784909866,61.63,512.0,0.0,,0.0
,,89.32,,0.0,0.0,0.0,,,,96.0,,1683052274.0,,0,5240,5088,10.0,13.28,5,0,0.0,495.9577001248773,0.0,55.5,928.0,88.89,,928.0,0.0,0.0,0.0,6.59,640.0,0.0,87.93,79.72,,0.0,0.0,928.0,32.0,79,7,,495.9577001248773,71.29,640.0,0.0,0.0,0.0
,,91.25,,0.0,0.0,0.0,,,,224.0,,1683052276.0,,0,6187,6016,10.0,30.67,6,0,0.0,546.1898697561348,0.0,48.67,1056.0,90.77,,1056.0,0.0,0.0,0.0,30.12,768.0,0.0,89.77,84.93,,0.0,0.0,1056.0,160.0,81,7,,546.1898697561348,78.45,768.0,0.0,0.0,0.0
,,92.47,,0.0,0.0,0.0,,,,384.0,,1683052277.0,,0,7111,6912,10.0,49.99,7,0,0.0,580.8685697250147,0.0,44.17,1184.0,92.04,,1184.0,0.0,0.0,0.0,48.73,896.0,0.0,91.0,88.47,,0.0,0.0,1184.0,288.0,82,7,,580.8685697250147,83.49,896.0,0.0,0.0,0.0
,,93.43,,0.0,0.0,0.0,,,,512.0,,1683052278.0,,0,8042,7872,10.0,62.45,8,0,0.0,606.5310953844014,0.0,40.77,1312.0,92.9,,1312.0,0.0,0.0,0.0,62.68,1024.0,0.0,91.74,90.76,,0.0,0.0,1312.0,416.0,83,7,,606.5310953844014,86.91,1024.0,0.0,0.0,0.0
,,94.31,,0.0,0.0,0.0,,,,640.0,,1683052280.0,,0,9032,8832,10.0,72.04,9,0,0.0,625.1162629845671,0.0,37.97,1472.0,93.35,,1440.0,0.0,0.0,0.0,72.72,1184.0,0.0,92.17,92.2,,0.0,0.0,1440.0,544.0,85,8,,625.1162629845671,89.75,1152.0,0.0,0.0,0.0
0.0,0.0,94.72,,0.0,0.0,0.0,,,,768.0,64.0,1683052281.0,,0,10094,9920,10.0,79.11,10,0,0.0,639.8586953930551,0.0,35.44,1600.0,93.65,0.71,1568.0,0.0,0.0,0.0,79.72,1312.0,0.0,92.78,93.1,,0.0,0.0,1568.0,672.0,86,8,,639.8586953930551,91.31,1280.0,0.0,0.0,0.0
0.0,0.0,95.0,,0.0,0.0,0.0,,,,896.0,192.0,1683052283.0,,0,11182,10976,10.0,84.18,11,0,0.0,651.5671198544342,0.0,33.13,1728.0,94.24,2.62,1728.0,0.0,0.0,0.0,84.39,1440.0,0.0,93.22,93.84,,0.0,0.0,1696.0,800.0,88,8,,651.5671198544342,92.36,1440.0,0.0,0.0,0.0
0.0,0.0,95.2,,0.0,0.0,0.0,,,,1024.0,352.0,1683052284.0,,0,12237,12032,10.0,87.54,12,0,0.0,661.1083152867903,0.0,31.05,1856.0,94.48,6.23,1856.0,0.0,0.0,0.0,87.66,1568.0,0.0,93.32,94.13,,0.0,0.0,1824.0,928.0,89,8,,661.1083152867903,93.01,1568.0,0.0,0.0,0.0
0.0,0.0,95.25,,0.0,0.0,0.0,,,,1152.0,480.0,1683052285.0,,0,13294,13088,10.0,89.73,13,0,0.0,670.4932719296975,0.0,29.04,1984.0,94.64,10.46,1984.0,0.0,0.0,0.0,89.91,1696.0,0.0,93.44,94.28,,0.0,0.0,1984.0,1056.0,90,8,,670.4932719296975,93.4,1696.0,0.0,0.0,0.0
0.0,0.0,95.27,,0.0,0.0,0.0,,,,1280.0,608.0,1683052287.0,,0,14360,14176,10.0,91.2,14,0,0.0,679.809150913756,0.0,27.08,2112.0,94.63,16.18,2112.0,0.0,0.0,0.0,91.49,1824.0,0.0,93.53,94.49,,0.0,0.0,2112.0,1216.0,92,8,,679.809150913756,93.7,1824.0,0.0,0.0,0.0
0.0,0.0,95.16,,0.0,0.0,0.0,,,,1440.0,736.0,1683052288.0,,0,15421,15200,10.0,92.39,15,0,0.0,689.5706760903574,0.0,25.16,2272.0,94.67,23.52,2240.0,0.0,0.0,0.0,92.2,1952.0,0.0,93.48,94.49,,0.0,0.0,2240.0,1344.0,93,8,,689.5706760903574,93.9,1952.0,0.0,0.0,0.0
0.0,0.0,94.99,,0.0,0.0,0.0,,,,1568.0,864.0,1683052290.0,,0,16544,16320,10.0,93.01,16,0,0.0,700.0723979685845,0.0,23.17,2400.0,94.65,32.37,2368.0,0.0,0.0,0.0,92.64,2080.0,0.0,93.42,94.51,,0.0,0.0,2368.0,1472.0,95,8,,700.0723979685845,93.98,2080.0,0.0,0.0,0.0
0.0,0.0,94.91,,0.0,0.0,0.0,,,,1696.0,992.0,1683052291.0,,0,17598,17344,10.0,93.33,17,0,0.0,710.5193812682013,0.0,21.35,2528.0,94.67,42.25,2528.0,0.0,0.0,0.0,92.95,2240.0,0.0,93.36,94.55,,0.0,0.0,2496.0,1600.0,96,8,,710.5193812682013,94.05,2240.0,0.0,0.0,0.0
0.0,0.0,94.9,,0.0,0.0,0.0,,,,1824.0,1120.0,1683052292.0,,0,18664,18432,10.0,93.6,18,0,0.0,721.9842748368912,0.0,19.53,2656.0,94.67,52.34,2656.0,0.0,0.0,0.0,93.1,2368.0,0.0,93.24,94.61,,0.0,0.0,2624.0,1728.0,97,8,,721.9842748368912,94.06,2368.0,0.0,0.0,0.0
0.0,0.0,94.63,,0.0,0.0,0.0,,,,1952.0,1280.0,1683052294.0,,0,19710,19488,10.0,93.93,19,0,0.0,729.4745399686271,0.0,17.9,2816.0,94.47,64.01,2784.0,0.0,0.0,0.0,93.04,2496.0,0.0,93.13,94.76,,0.0,0.0,2752.0,1856.0,99,8,,729.4745399686271,94.02,2496.0,0.0,0.0,0.0
0.0,0.0,94.51,,0.0,0.0,0.0,,,,2112.0,1408.0,1683052295.0,,0,20765,20544,10.0,94.01,20,0,0.0,735.6246462974908,0.0,16.32,2944.0,94.39,71.81,2912.0,0.0,0.0,0.0,93.1,2624.0,0.0,93.08,94.73,,0.0,0.0,2880.0,1984.0,100,8,,735.6246462974908,93.85,2624.0,0.0,0.0,0.0
0.0,0.0,94.41,,0.0,0.0,0.0,,,,2240.0,1536.0,1683052297.0,,0,21812,21632,10.0,94.01,21,0,0.0,739.9867326174427,0.0,14.81,3072.0,94.24,77.97,3040.0,0.0,0.0,0.0,93.37,2752.0,0.0,92.96,94.83,,0.0,0.0,3008.0,2144.0,102,8,,739.9867326174427,93.84,2752.0,0.0,0.0,0.0
0.0,0.0,94.2,,0.0,0.0,0.0,,,,2368.0,1664.0,1683052298.0,,0,22864,22688,9.7,94.08,22,0,0.0,742.9094626213193,0.0,13.33,3200.0,94.22,82.61,3168.0,0.0,0.0,0.0,93.56,2880.0,0.0,92.88,94.67,,0.0,0.0,3168.0,2272.0,103,8,,742.9094626213193,93.78,2912.0,0.0,0.0,0.0
0.0,0.0,94.14,,0.0,0.0,0.0,,,,2496.0,1792.0,1683052299.0,,0,23916,23744,8.64,94.09,23,0,0.0,745.313242958821,0.0,11.88,3328.0,94.17,85.93,3328.0,0.0,0.0,0.0,93.52,3008.0,0.0,92.81,94.56,,0.0,0.0,3296.0,2400.0,104,8,,745.313242958821,93.68,3040.0,0.0,0.0,0.0
0.0,0.0,94.13,,0.0,0.0,0.0,,,,2624.0,1920.0,1683052301.0,,0,24971,24768,7.59,94.14,24,0,0.0,746.5979408981038,0.0,10.44,3456.0,94.15,88.2,3456.0,0.0,0.0,0.0,93.55,3168.0,0.0,92.8,94.65,,0.0,0.0,3424.0,2528.0,106,8,,746.5979408981038,93.7,3168.0,0.0,0.0,0.0
0.0,0.0,94.14,,0.0,0.0,0.0,,,,2752.0,2048.0,1683052302.0,,0,26017,25792,6.57,94.11,25,0,0.0,747.1013119812218,0.0,9.04,3584.0,94.15,89.74,3584.0,0.0,0.0,0.0,93.54,3296.0,0.0,92.79,94.56,,0.0,0.0,3552.0,2656.0,107,8,,747.1013119812218,93.56,3296.0,0.0,0.0,0.0
0.0,0.0,94.14,,0.0,0.0,0.0,,,,2880.0,2176.0,1683052304.0,,0,27075,26848,5.54,94.11,26,0,0.0,747.4677553781487,0.0,7.62,3712.0,93.91,90.68,3712.0,0.0,0.0,0.0,93.5,3424.0,0.0,92.69,94.49,,0.0,0.0,3680.0,2784.0,109,8,,747.4677553781487,93.57,3424.0,0.0,0.0,0.0
0.0,0.0,94.12,,0.0,0.0,0.0,,,,3008.0,2304.0,1683052305.0,,0,28129,27904,4.51,94.14,27,0,0.0,747.5647869713896,0.0,6.21,3872.0,93.83,91.33,3840.0,0.0,0.0,0.0,93.51,3552.0,0.0,92.64,94.41,,0.0,0.0,3808.0,2912.0,110,8,,747.5647869713896,93.49,3552.0,0.0,0.0,0.0
0.0,0.0,94.13,,0.0,0.0,0.0,,,,3168.0,2432.0,1683052306.0,,0,29179,28960,3.49,94.07,28,0,0.0,747.7951193635452,0.0,4.8,4000.0,93.86,91.73,3968.0,0.0,0.0,0.0,93.49,3680.0,0.0,92.53,94.33,,0.0,0.0,3936.0,3040.0,111,8,,747.7951193635452,93.43,3680.0,0.0,0.0,0.0
0.0,0.0,94.14,,0.0,0.0,0.0,,,,3296.0,2560.0,1683052308.0,,0,30228,29984,2.47,94.1,29,0,0.0,747.6181524527798,0.0,3.4,4128.0,93.94,92.05,4096.0,0.0,0.0,0.0,93.37,3808.0,0.0,92.46,94.36,,0.0,0.0,4064.0,3168.0,113,8,,747.6181524527798,93.38,3840.0,0.0,0.0,0.0
0.0,0.0,94.16,,0.0,0.0,0.0,,,,3424.0,2688.0,1683052309.0,,0,31274,31040,1.45,93.97,30,0,0.0,747.535885718701,0.0,2.0,4256.0,94.01,92.17,4224.0,0.0,0.0,0.0,93.37,3936.0,0.0,92.38,94.3,,0.0,0.0,4192.0,3296.0,114,8,,747.535885718701,93.26,3968.0,0.0,0.0,0.0
0.0,0.0,94.17,,0.0,0.0,0.0,,,,3552.0,2816.0,1683052311.0,,0,32320,32096,0.5,93.77,31,0,0.0,747.4979184938247,0.0,0.6,4384.0,94.05,92.29,4384.0,0.0,0.0,0.0,93.27,4064.0,0.0,92.36,94.35,,0.0,0.0,4320.0,3424.0,116,8,,747.4979184938247,93.26,4096.0,0.0,0.0,0.0
0.0,0.0,94.15,,0.0,0.0,0.0,,,,3680.0,2944.0,1683052312.0,,0,33363,32864,0.5,93.76,32,0,0.0,746.9973746184911,0.0,0.0,4512.0,94.02,92.37,4512.0,0.0,0.0,0.0,93.2,4192.0,0.0,92.31,94.35,,0.0,0.0,4448.0,3584.0,117,8,,746.9973746184911,93.34,4224.0,0.0,0.0,0.0
