03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
2491,444.23263840533355,2,896,0,68.16,78,0,10.0,444.23263840533355,1683052638,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18839,4009.2887838631696,5,17792,1,3.47,80,0,2.17,4009.2887838631696,1683052640,0,448.0,448.0,0.0,0.0,0.0,225.43,218.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24507,4101.211565469894,5,23456,2,2.01,81,0,1.26,4101.211565469894,1683052641,0,4416.0,4448.0,0.0,0.0,0.0,825.26,819.93,0.0,831.08,822.93,3872.0,0.0,0.0,0.0,3872.0,710.1,1184.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
30127,4099.268059318322,5,29088,3,0.64,82,0,0.5,4099.268059318322,1683052642,0,5536.0,5568.0,0.0,0.0,0.0,828.65,811.55,0.0,817.81,817.32,5024.0,0.0,0.0,0.0,5024.0,825.89,2304.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
36337,4106.331600025809,6,34848,4,0.0,84,0,0.5,4106.331600025809,1683052644,0,6656.0,6688.0,0.0,0.0,0.0,819.1,810.45,0.0,822.04,824.47,6144.0,0.0,0.0,0.0,6144.0,823.21,3456.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
42884,4264.337419649922,6,38048,5,0.0,85,0,0.5,4264.337419649922,1683052645,0,7424.0,7488.0,0.0,0.0,0.0,819.55,799.8,0.0,831.75,816.08,7264.0,0.0,0.0,0.0,7424.0,823.9,4704.0,0.0,0.0,0.0,544.0,15.24,0.0,0.0,,,,,,,,,,,,,,,
48937,4285.252735022068,8,38496,6,0.0,87,0,0.5,4285.252735022068,1683052647,0,7424.0,7488.0,0.0,0.0,0.0,819.55,799.8,0.0,821.8,812.01,7392.0,0.0,0.0,0.0,8576.0,831.36,5856.0,0.0,0.0,0.0,1312.0,179.82,0.0,0.0,,,,,,,,,,,,,,,
54937,4285.252735022068,8,38496,7,0.0,88,0,0.5,4285.252735022068,1683052648,0,7424.0,7488.0,0.0,0.0,0.0,819.55,799.8,0.0,824.1,812.01,7392.0,0.0,0.0,0.0,8704.0,828.41,6112.0,0.0,0.0,0.0,1312.0,179.82,0.0,0.0,0.0,10.79,32.0,10.77,0.0,32.0,0.0,0.0,,,,,,,
3203,4257.631398680175,8,2880,8,6.94,89,1,5.05,2403.7468825253527,1683052649,0,7424.0,7488.0,0.0,0.0,0.0,819.55,799.8,0.0,824.1,812.01,7392.0,0.0,0.0,0.0,8704.0,828.41,6112.0,0.0,0.0,0.0,1312.0,179.82,0.0,0.0,0.0,10.79,32.0,10.77,0.0,32.0,0.0,0.0,,,,,,,
6727,4332.276076791345,8,6368,9,6.01,91,1,4.37,2478.3915606365217,1683052651,0,960.0,960.0,1.0,1.0,0.0,808.49,789.82,0.0,824.1,805.43,960.0,1.0,0.0,1.0,8704.0,828.41,6112.0,0.0,1.0,0.0,1312.0,179.82,0.0,1.0,0.0,10.79,32.0,10.77,1.0,32.0,0.0,1.0,11.249094375409186,0.0,38496.0,38496.0,0.0,3422.1421489851896,1.0
10212,4324.561546182473,8,9856,10,5.22,92,1,3.79,2470.6770300276503,1683052652,0,2112.0,2112.0,1.0,1.0,0.0,829.75,819.26,0.0,824.1,829.39,2144.0,1.0,0.0,1.0,8704.0,828.41,6112.0,0.0,1.0,0.0,1312.0,179.82,0.0,1.0,0.0,10.79,32.0,10.77,1.0,32.0,0.0,1.0,,,,,,,
13695,4333.47571135963,8,13344,11,4.4,94,1,3.2,2479.5911952048073,1683052654,0,3264.0,3296.0,1.0,1.0,0.0,827.53,818.73,0.0,824.1,824.41,3296.0,1.0,0.0,1.0,8704.0,828.41,6112.0,0.0,1.0,0.0,1312.0,179.82,0.0,1.0,0.0,10.79,32.0,10.77,1.0,32.0,0.0,1.0,,,,,,,
22236,5785.899911791306,8,21408,12,1.82,95,1,1.32,5785.899911791306,1683052655,0,4416.0,4448.0,1.0,1.0,0.0,828.76,818.92,0.0,824.1,831.91,4480.0,1.0,0.0,1.0,8704.0,828.41,6112.0,0.0,1.0,0.0,1312.0,179.82,0.0,1.0,0.0,10.79,32.0,10.77,1.0,32.0,0.0,1.0,,,,,,,
31623,6544.219829600733,8,30624,13,0.17,97,1,0.5,6544.219829600733,1683052657,0,5568.0,5632.0,1.0,1.0,0.0,815.2,822.79,0.0,801.0,823.12,5664.0,0.0,1.0,1.0,960.0,792.46,928.0,1.0,0.0,0.0,960.0,701.79,1.0,0.0,1.0,502.88,832.0,526.65,0.0,864.0,1.0,0.0,,,,,,,
40818,6529.569930657301,8,35328,14,0.0,98,1,0.5,6529.569930657301,1683052658,0,6752.0,6816.0,1.0,1.0,0.0,838.04,835.16,0.0,821.41,835.35,6816.0,0.0,1.0,1.0,2112.0,828.7,2112.0,1.0,0.0,0.0,2112.0,825.9,1.0,0.0,1.0,764.9,1920.0,794.77,0.0,1984.0,1.0,0.0,,,,,,,
50019,6529.569930657301,8,35328,15,0.0,99,1,0.5,6529.569930657301,1683052659,0,7360.0,7392.0,1.0,1.0,0.0,822.78,828.41,0.0,811.79,829.68,7456.0,0.0,1.0,1.0,2688.0,827.95,2656.0,1.0,0.0,0.0,2752.0,827.6,1.0,0.0,1.0,775.68,2528.0,805.68,0.0,2496.0,1.0,0.0,,,,,,,
59931,6529.569930657301,8,35328,16,0.0,101,1,0.5,6529.569930657301,1683052661,0,7360.0,7392.0,1.0,1.0,0.0,822.78,828.41,0.0,811.79,829.68,7456.0,0.0,1.0,1.0,2688.0,827.95,2656.0,1.0,0.0,0.0,2752.0,827.6,1.0,0.0,1.0,775.68,2528.0,805.68,0.0,2496.0,1.0,0.0,,,,,,,
6125,6346.365162009098,8,4576,17,4.2,102,2,3.05,6346.365162009098,1683052662,0,7360.0,7392.0,1.0,1.0,0.0,822.78,828.41,0.0,811.79,829.68,7456.0,0.0,1.0,1.0,2688.0,827.95,2656.0,1.0,0.0,0.0,2752.0,827.6,1.0,0.0,1.0,775.68,2528.0,805.68,0.0,2496.0,1.0,0.0,,,,,,,
15350,6578.375492090532,8,14400,18,2.65,104,2,1.93,6578.375492090532,1683052664,0,704.0,544.0,2.0,2.0,0.0,811.94,797.67,0.0,793.01,806.94,704.0,0.0,2.0,2.0,480.0,821.81,736.0,2.0,0.0,0.0,672.0,808.31,2.0,0.0,2.0,739.94,384.0,766.74,0.0,352.0,2.0,0.0,12.842629942111671,0.0,73824.0,35328.0,0.0,2750.83843100996,2.0
24497,6531.3274283033,8,23552,19,1.27,105,2,0.92,6531.3274283033,1683052665,0,1856.0,1920.0,2.0,2.0,0.0,833.67,827.71,0.0,831.31,827.41,1888.0,0.0,2.0,2.0,1920.0,829.09,1920.0,2.0,0.0,0.0,1888.0,831.64,2.0,0.0,2.0,799.54,1536.0,798.0,0.0,1472.0,2.0,0.0,,,,,,,
33689,6544.601615986836,8,32736,20,0.0,106,2,0.5,6544.601615986836,1683052666,0,3040.0,3072.0,2.0,2.0,0.0,821.16,822.86,0.0,822.61,836.65,3040.0,0.0,2.0,2.0,3072.0,828.92,3104.0,2.0,0.0,0.0,3072.0,835.61,2.0,0.0,2.0,762.28,2560.0,801.25,0.0,2592.0,2.0,0.0,,,,,,,
43845,6551.141992458977,8,32896,21,0.0,108,2,0.5,6551.141992458977,1683052668,0,4192.0,4256.0,2.0,2.0,0.0,831.74,829.19,0.0,819.54,835.4,4224.0,0.0,2.0,2.0,4224.0,838.87,4256.0,2.0,0.0,0.0,4224.0,836.84,2.0,0.0,2.0,750.96,3648.0,802.06,0.0,3712.0,2.0,0.0,,,,,,,
53071,6551.141992458977,8,32896,22,0.0,109,2,0.5,6551.141992458977,1683052669,0,4192.0,4288.0,2.0,2.0,0.0,833.35,829.19,0.0,819.54,835.4,4224.0,0.0,2.0,2.0,4224.0,838.16,4288.0,2.0,0.0,0.0,4256.0,836.82,2.0,0.0,2.0,756.24,3680.0,802.44,0.0,3744.0,2.0,0.0,,,,,,,
62388,6551.141992458977,8,32896,23,0.0,111,2,0.5,6551.141992458977,1683052671,0,4192.0,4288.0,2.0,2.0,0.0,833.35,829.19,0.0,819.54,835.4,4224.0,0.0,2.0,2.0,4224.0,838.16,4288.0,2.0,0.0,0.0,4256.0,836.82,2.0,0.0,2.0,756.24,3680.0,802.44,0.0,3744.0,2.0,0.0,,,,,,,
