03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
2021,587.9375246022837,4,1824,0,52.3,79,0,10.0,587.9375246022837,1683052862,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4309,1204.7378976349728,4,4000,1,23.62,80,0,10.0,1204.7378976349728,1683052863,0,640.0,161.44,512.0,44.28,160.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,163.18,219.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
6381,1417.2837082960352,4,6048,2,18.62,82,0,10.0,1417.2837082960352,1683052865,0,1152.0,307.17,1088.0,246.83,736.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,318.64,332.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
8948,1619.9929454115438,5,8704,3,14.7,83,0,9.19,1619.9929454115438,1683052866,0,1664.0,356.31,1600.0,339.68,1248.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,359.22,362.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
11528,1779.8919948879127,5,11264,4,11.93,84,0,7.46,1779.8919948879127,1683052867,0,2240.0,366.62,2112.0,362.34,1760.0,0.0,0.0,0.0,0.0,0.0,2112.0,0.0,366.92,368.51,0.0,0.0,155.61,480.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
14286,1883.4118926579854,6,14016,5,9.81,86,0,6.54,1883.4118926579854,1683052869,0,2752.0,367.71,2624.0,365.7,2272.0,0.0,0.0,0.0,0.0,0.0,2592.0,0.0,367.54,367.2,0.0,0.0,311.75,1024.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
17367,2059.1959487358044,6,17056,6,7.48,87,0,4.99,2059.1959487358044,1683052870,0,3264.0,368.54,3136.0,367.24,2784.0,0.0,0.0,0.0,0.0,0.0,3104.0,0.0,368.46,367.25,0.0,0.0,358.3,1536.0,0.0,0.0,192.0,53.62,0.0,0.0,,,,,,,,,,,,,,,
20798,2165.842179240993,7,20416,7,5.53,89,0,3.87,2165.842179240993,1683052872,0,3776.0,368.83,3648.0,366.49,3296.0,0.0,0.0,0.0,0.0,0.0,3616.0,0.0,369.65,366.51,0.0,0.0,368.3,2048.0,0.0,0.0,672.0,219.41,0.0,0.0,,,,,,,,,,,,,,,
24655,2291.528462935204,8,24288,8,3.54,90,0,2.57,2291.528462935204,1683052873,0,4288.0,368.11,4160.0,364.82,3776.0,0.0,0.0,0.0,0.0,0.0,4128.0,0.0,369.85,367.45,0.0,0.0,370.02,2560.0,0.0,0.0,1152.0,319.04,0.0,0.0,0.0,6.56,352.0,0.0,,,,,,,,,,,
28800,2590.9446504386565,8,28384,9,1.53,91,0,1.11,2590.9446504386565,1683052874,0,4800.0,367.73,4672.0,365.38,4320.0,0.0,0.0,0.0,0.0,0.0,4672.0,0.0,368.33,367.55,0.0,0.0,370.73,3072.0,0.0,0.0,1664.0,354.69,0.0,0.0,0.0,48.02,896.0,0.0,49.1,192.0,0.0,0.0,,,,,,,
32911,2819.707319374632,8,32448,10,0.0,93,0,0.5,2819.707319374632,1683052876,0,5312.0,367.9,5184.0,365.35,4832.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,368.37,367.85,0.0,0.0,371.47,3584.0,0.0,0.0,2176.0,355.99,0.0,0.0,0.0,168.34,1408.0,0.0,225.67,704.0,0.0,0.0,,,,,,,
36885,2832.366232366422,8,32896,11,0.0,94,0,0.5,2832.366232366422,1683052877,0,5824.0,367.53,5696.0,365.29,5312.0,0.0,0.0,0.0,0.0,0.0,5696.0,0.0,369.34,367.13,0.0,0.0,367.88,4096.0,0.0,0.0,2688.0,357.48,0.0,0.0,0.0,301.25,1920.0,0.0,323.82,1216.0,0.0,0.0,,,,,,,
40858,2832.366232366422,8,32896,12,0.0,96,0,0.5,2832.366232366422,1683052879,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
44809,2832.366232366422,8,32896,13,0.0,97,0,0.5,2832.366232366422,1683052880,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
48789,2832.366232366422,8,32896,14,0.0,98,0,0.5,2832.366232366422,1683052881,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
52757,2832.366232366422,8,32896,15,0.0,100,0,0.5,2832.366232366422,1683052883,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
56960,2832.366232366422,8,32896,16,0.0,101,0,0.5,2832.366232366422,1683052884,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
60945,2832.366232366422,8,32896,17,0.0,103,0,0.5,2832.366232366422,1683052886,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
64929,2832.366232366422,8,32896,18,0.0,104,0,0.5,2832.366232366422,1683052887,0,5888.0,367.45,5760.0,363.7,5376.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,369.58,367.39,0.0,0.0,368.15,4160.0,0.0,0.0,2720.0,358.36,0.0,0.0,0.0,305.31,1952.0,0.0,332.43,1280.0,0.0,0.0,,,,,,,
