03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
931,198.5915272510503,3,896,0,160.32,85,0,10.0,198.5915272510503,1683053105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,466.80704530438777,4,1984,1,65.79,86,0,10.0,466.80704530438777,1683053106,0,384.0,45.07,288.0,0.0,0.0,0.0,0.0,224.0,0.0,60.86,92.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,725.3040384080507,4,3392,2,40.35,87,0,10.0,725.3040384080507,1683053107,0,736.0,134.33,640.0,0.0,0.0,0.0,0.0,576.0,0.0,150.05,176.92,0.0,5.52,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
4927,890.6932537031537,4,4800,3,31.26,89,0,10.0,890.6932537031537,1683053109,0,1088.0,203.34,992.0,0.0,0.0,0.0,0.0,928.0,0.0,211.49,224.96,0.0,85.51,384.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
6704,1046.6975861830863,5,6560,4,24.9,90,0,10.0,1046.6975861830863,1683053110,0,1440.0,236.35,1344.0,0.0,0.0,0.0,0.0,1280.0,0.0,239.07,244.74,0.0,170.53,736.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
8470,1162.2894715924376,5,8288,5,20.91,91,0,10.0,1162.2894715924376,1683053111,0,1792.0,247.52,1696.0,0.0,0.0,0.0,0.0,1632.0,0.0,249.41,251.52,0.0,221.08,1088.0,0.0,0.0,77.16,352.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
10239,1227.0879829739658,5,10016,6,18.36,93,0,10.0,1227.0879829739658,1683053113,0,2144.0,251.17,2048.0,0.0,0.0,0.0,0.0,1984.0,0.0,252.67,253.63,0.0,240.12,1408.0,0.0,0.0,164.7,704.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
12338,1323.742097953667,6,12096,7,15.43,94,0,10.0,1323.742097953667,1683053114,0,2496.0,252.62,2400.0,0.0,0.0,0.0,0.0,2304.0,0.0,253.64,253.49,0.0,247.72,1760.0,0.0,0.0,219.62,1056.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
14836,1427.476756120307,7,14560,8,12.56,96,0,8.79,1427.476756120307,1683053116,0,2848.0,252.66,2752.0,0.0,0.0,0.0,0.0,2656.0,0.0,253.84,253.86,0.0,250.97,2112.0,0.0,0.0,243.31,1408.0,0.0,0.0,320.0,69.11,0.0,0.0,,,,,,,,,,,,,,,
17679,1576.6702934278237,8,17408,9,9.57,97,0,6.96,1576.6702934278237,1683053117,0,3200.0,252.66,3104.0,0.0,0.0,0.0,0.0,3008.0,0.0,253.97,254.41,0.0,252.12,2464.0,0.0,0.0,251.27,1760.0,0.0,0.0,672.0,156.66,0.0,0.0,0.0,6.39,352.0,0.0,,,,,,,,,,,
