_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,64.0,255469.289472,1683053905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1683053905,0.1875,0.0,0.0,1455.251456,0.0,30.0,0.18454178992541978,178.958336,0.0,419.602432,0.0,0.0,0.0,0.296875,14.0,0.20691032404899795,244820.877312,2.854912,385.0,0.0,4787.417088,0.0,34.0,4.2,0.40625,12271.403008,292.0,,,,,,,,,,,,,,
2,2,,,1683053906,0.1875,0.0,0.016000000000076398,1594.560512,2.412672871998895,2442.0,0.28542554263882647,181.485568,9.0,422.223872,0.0,0.0,0.0,0.296875,1178.0,0.2803152976381243,244681.56416,2.854912,394.0,0.010000000000218279,4795.940864,0.0,2361.0,4.2,0.40625,12346.908672,292.0,,,,,,,,,,,,,,
3,3,,,1683053907,0.1875,0.0010000000000047748,0.03600000000005821,1661.140992,0.004075651389332056,3302.0,0.04823119526563699,181.485568,10.0,422.23616,4.0,0.0,0.01630260559850465,0.296875,1566.0,0.05323023650612242,244614.98368,2.854912,394.0,0.010000000000218279,4795.953152,0.0,3039.0,4.2,0.40625,12346.908672,292.0,,,,,,,,,,,,,,
4,4,,,1683053908,0.1875,0.0010000000000047748,0.03999999999996362,1661.730816,0.004079099310115294,3834.0,0.07520042708738457,181.485568,11.0,422.23616,4.0,0.0,0.0,0.265625,1817.0,0.0692968864265512,244614.393856,2.854912,394.0,0.011000000000422006,4795.953152,0.0,3396.0,4.2,0.390625,12346.908672,292.0,,,,,,,,,,,,,,
5,5,,,1683053909,0.1875,0.0010000000000047748,0.07199999999988904,1661.984768,3.1231188696308334,4375.0,0.03954544773927264,181.485568,359.0,422.23616,4.0,0.0,0.0,0.265625,2221.0,0.042571478657183554,244614.139904,2.854912,394.0,2.087000000000444,4795.957248,0.0,4120.0,4.2,0.390625,12346.908672,292.0,,,,,,,,,,,,,,
6,6,,,1683053910,0.1875,0.0010000000000047748,0.07600000000002183,1909.403648,0.004075697858193964,5061.0,0.05635129846096161,183.9104,360.0,669.618176,4.0,0.0,0.0,0.265625,2748.0,0.01648587872939272,244366.72512,2.854912,403.0,2.087000000000444,5058.678784,0.0,4750.0,4.3,0.390625,12676.608,292.0,,,,,,,,,,,,,,
7,7,,,1683053911,0.1875,0.0010000000000047748,0.09199999999987085,2462.236672,0.1469822146856294,6181.0,0.010430378103385502,185.942016,363.0,1220.77184,4.0,0.0,0.0,0.265625,5538.0,0.012726975985687615,243813.883904,2.854912,410.0,2.0910000000003492,6135.083008,0.0,11647.0,4.6,0.390625,17972.61312,293.0,,,,,,,,,,,,,,
8,8,,,1683053912,0.1875,0.0010000000000047748,0.09600000000000364,2466.299904,0.004081634533795621,12553.0,0.1263951478858374,185.942016,364.0,1220.77184,4.0,0.0,0.0,0.265625,23362.0,0.857278777079048,243809.849344,2.854912,410.0,2.092000000000553,6135.083008,0.0,32016.0,4.6,0.390625,17972.61312,297.0,,,,,,,,,,,,,,
9,9,,,1683053913,0.1875,0.0010000000000047748,0.09999999999990905,2862.514176,0.004077702214063195,16041.0,0.2260337245957573,333.94688,365.0,1682.47296,4.0,0.0,0.0,0.375,29316.0,0.2684673128986797,243401.048064,2.854912,452.0,2.092000000000553,6467.403776,0.0,41544.0,4.7,0.421875,18810.302464,301.0,,,,,,,,,,,,,,
