03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_9_epoch,04_peers/peer_9_samples_accumulated,04_peers/peer_9_samples_per_second,04_peers/peer_9_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
818,162.66051127164818,4,768,0,196.42,85,0,10.0,162.66051127164818,1683054417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2333,507.84026994720887,4,2176,1,59.93,86,0,10.0,507.84026994720887,1683054418,0,320.0,23.02,256.0,11.04,64.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,56.49,72.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4159,863.0328856259443,5,3904,2,33.15,88,0,10.0,863.0328856259443,1683054420,0,672.0,107.22,608.0,92.22,416.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,147.54,160.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5987,1095.729723057687,5,5664,3,24.44,89,0,10.0,1095.729723057687,1683054421,0,1024.0,185.91,960.0,175.7,768.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,209.32,217.06,0.0,0.0,75.04,320.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
7760,1195.903192474756,5,7392,4,20.91,90,0,10.0,1195.903192474756,1683054422,0,1376.0,228.1,1312.0,224.75,1120.0,0.0,0.0,0.0,0.0,0.0,1184.0,0.0,236.94,241.14,0.0,0.0,164.8,672.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
9574,1245.2854786640223,6,9184,5,18.63,92,0,10.0,1245.2854786640223,1683054424,0,1728.0,243.96,1632.0,244.08,1472.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,238.1,249.07,0.0,0.0,220.7,1024.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
11688,1267.8125776796776,6,11296,6,16.63,93,0,10.0,1267.8125776796776,1683054425,0,2080.0,249.81,1984.0,251.04,1824.0,0.0,0.0,0.0,0.0,0.0,1888.0,0.0,248.12,252.04,0.0,0.0,243.93,1376.0,0.0,0.0,32.0,0.34,0.0,0.0,,,,,,,,,,,,,,,,,,,
13805,1293.1444528402214,6,13376,7,14.66,95,0,9.78,1293.1444528402214,1683054427,0,2432.0,250.6,2336.0,253.31,2176.0,0.0,0.0,0.0,0.0,0.0,2240.0,0.0,251.67,253.12,0.0,0.0,251.65,1728.0,0.0,0.0,384.0,7.47,0.0,0.0,,,,,,,,,,,,,,,,,,,
15919,1337.7073039662307,6,15488,8,12.6,96,0,8.4,1337.7073039662307,1683054428,0,2784.0,251.21,2688.0,253.25,2528.0,0.0,0.0,0.0,0.0,0.0,2560.0,0.0,253.35,253.64,0.0,0.0,253.96,2080.0,0.0,0.0,736.0,27.74,0.0,0.0,,,,,,,,,,,,,,,,,,,
18241,1438.585441588069,7,17760,9,10.1,97,0,7.07,1438.585441588069,1683054429,0,3136.0,251.16,3040.0,253.51,2880.0,0.0,0.0,0.0,0.0,0.0,2912.0,0.0,250.3,253.55,0.0,0.0,254.6,2432.0,0.0,0.0,1088.0,74.59,0.0,0.0,,,,,,,,,,,,,,,,,,,
