03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
387,12.722164305817664,1,384,0,2545.22,42,0,10.0,12.722164305817664,1683056691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,18.05007745027676,1,480,1,1788.37,44,0,10.0,18.05007745027676,1683056693,0,384.0,0.0,12.72,0.0,,,,,,,,,,,,,,,,,,,,,,,
590,24.311375167558584,1,576,2,1323.57,45,0,10.0,24.311375167558584,1683056694,0,480.0,0.0,18.05,0.0,,,,,,,,,,,,,,,,,,,,,,,
718,33.90067195791424,1,704,3,945.42,46,0,10.0,33.90067195791424,1683056695,0,576.0,0.0,24.31,0.0,,,,,,,,,,,,,,,,,,,,,,,
849,44.325220220203875,1,832,4,720.1,47,0,10.0,44.325220220203875,1683056696,0,704.0,0.0,33.9,0.0,,,,,,,,,,,,,,,,,,,,,,,
991,59.27988683935481,2,960,5,536.05,48,0,10.0,59.27988683935481,1683056697,0,832.0,0.0,44.33,0.0,,,,,,,,,,,,,,,,,,,,,,,
1433,127.12292066295018,4,1376,6,246.49,50,0,10.0,127.12292066295018,1683056699,0,928.0,0.0,52.19,0.0,32.0,0.0,0.0,7.09,,,,,,,,,,,,,,,,,,,
1944,197.05529687346183,4,1856,7,156.42,51,0,10.0,197.05529687346183,1683056700,0,1056.0,0.0,62.04,0.0,128.0,0.0,0.0,26.26,19.38,19.45,96.0,0.0,0.0,0.0,96.0,0.0,,,,,,,,,,,
2419,245.2574182592292,4,2304,8,123.74,52,0,10.0,245.2574182592292,1683056701,0,1152.0,0.0,68.52,0.0,256.0,0.0,0.0,46.78,40.81,40.95,224.0,0.0,0.0,0.0,224.0,0.0,,,,,,,,,,,
3034,295.9514879743008,5,2912,9,100.47,53,0,10.0,295.9514879743008,1683056702,0,1280.0,0.0,75.7,0.0,352.0,0.0,0.0,58.66,57.17,53.72,320.0,0.0,0.0,0.0,352.0,0.0,,,,,,,,,,,
3614,334.88425172112403,5,3488,10,87.06,55,0,10.0,334.88425172112403,1683056704,0,1408.0,0.0,81.25,0.0,480.0,0.0,0.0,70.51,66.5,66.71,448.0,0.0,0.0,0.0,448.0,0.0,10.98,128.0,0.0,0.0,,,,,,,
4251,365.10192220480855,5,4032,11,78.11,56,0,10.0,365.10192220480855,1683056705,0,1504.0,0.0,84.39,0.0,608.0,0.0,0.0,78.73,75.65,75.94,576.0,0.0,0.0,0.0,576.0,0.0,20.18,224.0,0.0,0.0,,,,,,,
4832,390.27779881263507,5,4640,12,71.58,57,0,10.0,390.27779881263507,1683056706,0,1632.0,0.0,87.51,0.0,704.0,0.0,0.0,83.11,80.6,80.91,672.0,0.0,0.0,0.0,672.0,0.0,32.97,352.0,0.0,0.0,,,,,,,
5424,411.74874173349167,5,5248,13,66.41,58,0,10.0,411.74874173349167,1683056707,0,1760.0,0.0,89.67,0.0,832.0,0.0,0.0,87.27,85.3,85.69,800.0,0.0,0.0,0.0,800.0,0.0,42.35,448.0,0.0,0.0,,,,,,,
5995,425.50392816454706,5,5824,14,62.92,60,0,10.0,425.50392816454706,1683056709,0,1856.0,0.0,90.83,0.0,960.0,0.0,0.0,90.0,88.38,88.84,928.0,0.0,0.0,0.0,928.0,0.0,53.7,576.0,0.0,0.0,,,,,,,
6562,435.84560275362685,5,6336,15,60.13,61,0,10.0,435.84560275362685,1683056710,0,1984.0,0.0,91.88,0.0,1088.0,0.0,0.0,91.83,89.99,90.84,1056.0,0.0,0.0,0.0,1024.0,0.0,60.97,672.0,0.0,0.0,,,,,,,
7136,445.645698670976,5,6976,16,57.52,62,0,10.0,445.645698670976,1683056711,0,2080.0,0.0,92.43,0.0,1184.0,0.0,0.0,92.91,91.49,91.88,1152.0,0.0,0.0,0.0,1152.0,0.0,67.13,768.0,0.0,0.0,,,,,,,
7698,450.9130180029291,5,7456,17,55.6,63,0,10.0,450.9130180029291,1683056712,0,2208.0,0.0,92.74,0.0,1312.0,0.0,0.0,93.91,92.54,92.88,1280.0,0.0,0.0,0.0,1280.0,0.0,73.57,896.0,0.0,0.0,,,,,,,
8263,455.1525238558974,5,8064,18,53.84,64,0,10.0,455.1525238558974,1683056713,0,2304.0,0.0,92.99,0.0,1408.0,0.0,0.0,94.33,93.04,93.31,1376.0,0.0,0.0,0.0,1376.0,0.0,77.24,992.0,0.0,0.0,,,,,,,
8827,458.69204293062336,5,8608,19,52.19,66,0,10.0,458.69204293062336,1683056715,0,2432.0,0.0,93.21,0.0,1536.0,0.0,0.0,94.74,93.41,93.71,1504.0,0.0,0.0,0.0,1504.0,0.0,80.08,1088.0,0.0,0.0,,,,,,,
9393,460.99428502723,5,9184,20,50.71,67,0,10.0,460.99428502723,1683056716,0,2528.0,0.0,93.23,0.0,1664.0,0.0,0.0,94.99,93.6,93.97,1600.0,0.0,0.0,0.0,1600.0,0.0,82.91,1216.0,0.0,0.0,,,,,,,
9962,462.9137181153336,5,9792,21,49.27,68,0,10.0,462.9137181153336,1683056717,0,2656.0,0.0,93.36,0.0,1760.0,0.0,0.0,95.14,93.76,94.29,1728.0,0.0,0.0,0.0,1728.0,0.0,84.45,1312.0,0.0,0.0,,,,,,,
10525,464.05324239470724,5,10304,22,47.93,69,0,10.0,464.05324239470724,1683056718,0,2784.0,0.0,93.35,0.0,1888.0,0.0,0.0,95.22,93.87,94.62,1856.0,0.0,0.0,0.0,1824.0,0.0,85.86,1440.0,0.0,0.0,,,,,,,
11084,464.70235415385724,5,10912,23,46.66,70,0,10.0,464.70235415385724,1683056719,0,2880.0,0.0,93.4,0.0,1984.0,0.0,0.0,95.17,94.18,94.69,1952.0,0.0,0.0,0.0,1952.0,0.0,86.61,1536.0,0.0,0.0,,,,,,,
11647,465.1598319373243,5,11456,24,45.41,72,0,10.0,465.1598319373243,1683056721,0,3008.0,0.0,93.29,0.0,2112.0,0.0,0.0,95.15,94.37,94.83,2080.0,0.0,0.0,0.0,2080.0,0.0,87.05,1632.0,0.0,0.0,,,,,,,
12210,465.3065803177718,5,12032,25,44.18,73,0,10.0,465.3065803177718,1683056722,0,3104.0,0.0,93.28,0.0,2240.0,0.0,0.0,95.08,94.43,94.86,2176.0,0.0,0.0,0.0,2176.0,0.0,87.51,1760.0,0.0,0.0,,,,,,,
12776,465.16760907419916,5,12544,26,42.98,74,0,10.0,465.16760907419916,1683056723,0,3232.0,0.0,93.21,0.0,2336.0,0.0,0.0,95.13,94.3,94.9,2304.0,0.0,0.0,0.0,2304.0,0.0,87.77,1856.0,0.0,0.0,,,,,,,
13339,465.2619657420505,5,13152,27,41.76,75,0,10.0,465.2619657420505,1683056724,0,3328.0,0.0,93.11,0.0,2464.0,0.0,0.0,95.02,94.26,94.91,2400.0,0.0,0.0,0.0,2400.0,0.0,87.88,1952.0,0.0,0.0,,,,,,,
13902,464.9179211349665,5,13696,28,40.58,76,0,10.0,464.9179211349665,1683056725,0,3456.0,0.0,93.11,0.0,2560.0,0.0,0.0,95.04,94.25,94.87,2528.0,0.0,0.0,0.0,2528.0,0.0,88.0,2080.0,0.0,0.0,,,,,,,
14465,464.99105449585977,5,14272,29,39.36,78,0,10.0,464.99105449585977,1683056727,0,3552.0,0.0,93.02,0.0,2688.0,0.0,0.0,94.88,94.19,94.76,2656.0,0.0,0.0,0.0,2624.0,0.0,88.07,2176.0,0.0,0.0,,,,,,,
15023,464.5341727036816,5,14816,30,38.2,79,0,10.0,464.5341727036816,1683056728,0,3680.0,0.0,92.98,0.0,2816.0,0.0,0.0,94.89,94.18,94.81,2752.0,0.0,0.0,0.0,2752.0,0.0,88.13,2272.0,0.0,0.0,,,,,,,
15584,464.1846705781814,5,15392,31,37.02,80,0,10.0,464.1846705781814,1683056729,0,3776.0,0.0,92.97,0.0,2912.0,0.0,0.0,94.73,94.17,94.68,2880.0,0.0,0.0,0.0,2848.0,0.0,87.99,2400.0,0.0,0.0,,,,,,,
16147,463.89963965540267,5,15936,32,35.83,81,0,10.0,463.89963965540267,1683056730,0,3904.0,0.0,92.91,0.0,3040.0,0.0,0.0,94.53,94.17,94.64,2976.0,0.0,0.0,0.0,2976.0,0.0,87.93,2496.0,0.0,0.0,,,,,,,
16710,463.73003112644153,5,16544,33,34.63,82,0,10.0,463.73003112644153,1683056731,0,4000.0,0.0,93.02,0.0,3136.0,0.0,0.0,94.41,94.11,94.5,3104.0,0.0,0.0,0.0,3104.0,0.0,87.86,2592.0,0.0,0.0,,,,,,,
17270,463.5820805775936,5,17056,34,33.43,84,0,10.0,463.5820805775936,1683056733,0,4128.0,0.0,93.08,0.0,3264.0,0.0,0.0,94.3,94.12,94.5,3232.0,0.0,0.0,0.0,3200.0,0.0,87.73,2720.0,0.0,0.0,,,,,,,
17828,463.5529759538564,5,17632,35,32.23,85,0,10.0,463.5529759538564,1683056734,0,4224.0,0.0,93.01,0.0,3360.0,0.0,0.0,94.27,94.08,94.45,3328.0,0.0,0.0,0.0,3328.0,0.0,87.78,2816.0,0.0,0.0,,,,,,,
18389,463.4076817936809,5,18144,36,31.03,86,0,10.0,463.4076817936809,1683056735,0,4352.0,0.0,93.0,0.0,3488.0,0.0,0.0,94.25,94.09,94.49,3456.0,0.0,0.0,0.0,3424.0,0.0,87.73,2912.0,0.0,0.0,,,,,,,
18950,463.21264696014987,5,18752,37,29.83,87,0,10.0,463.21264696014987,1683056736,0,4448.0,0.0,92.97,0.0,3584.0,0.0,0.0,94.23,94.09,94.4,3552.0,0.0,0.0,0.0,3552.0,0.0,87.71,3008.0,0.0,0.0,,,,,,,
19513,462.99734997024245,5,19296,38,28.63,89,0,10.0,462.99734997024245,1683056738,0,4576.0,0.0,92.86,0.0,3712.0,0.0,0.0,94.21,94.1,94.33,3680.0,0.0,0.0,0.0,3648.0,0.0,87.72,3136.0,0.0,0.0,,,,,,,
20148,462.66935882025996,5,19840,39,27.28,90,0,10.0,462.66935882025996,1683056739,0,4672.0,0.0,92.85,0.0,3840.0,0.0,0.0,94.16,94.1,94.28,3776.0,0.0,0.0,0.0,3776.0,0.0,87.61,3232.0,0.0,0.0,,,,,,,
20709,462.1644744545298,5,20512,40,26.09,91,0,10.0,462.1644744545298,1683056740,0,4800.0,0.0,92.71,0.0,3936.0,0.0,0.0,94.17,94.05,94.21,3904.0,0.0,0.0,0.0,3872.0,0.0,87.53,3328.0,0.0,0.0,,,,,,,
