03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos
1,,28.57814512877083,37,,,0,,,0,10.0,,,,547,544,,554.16,,,0,,,,28.57814512877083,1680688881.0,
1,,175.13162673773422,38,0.0,0.0,0,,28.58,0,10.0,,,,1177,1152,,86.83,,,1,,544.0,,175.13162673773422,1680688882.0,
1,,389.07690857353157,39,0.0,0.0,0,,175.13,0,9.38,,,,1779,1728,,37.54,,,2,,1152.0,,389.07690857353157,1680688883.0,
1,,400.0787073617196,40,0.0,0.0,0,,389.08,0,8.86,,,,2203,2144,,35.44,,,3,,1728.0,,400.0787073617196,1680688884.0,
1,,443.24474875038896,45,0.0,0.0,0,,400.08,0,6.97,,,,4032,2656,,27.87,,,4,,2144.0,,443.24474875038896,1680688889.0,
2,,605.6913880855011,46,0.0,0.0,0,,443.24,0,7.57,,,,4922,4832,,18.92,,,5,,2656.0,,605.6913880855011,1680688890.0,
2,0.0,824.798699335014,47,0.0,0.0,0,,490.28,0,5.02,,,,6029,5920,,12.55,115.41,256.0,6,,4576.0,,824.798699335014,1680688891.0,0.0
2,0.0,924.3620616680382,48,0.0,0.0,0,,415.5,0,3.99,,,,7165,7072,,9.97,409.3,896.0,7,,5024.0,,924.3620616680382,1680688892.0,0.0
2,0.0,968.0235287195021,49,0.0,0.0,0,,443.01,0,3.33,,,,8331,8224,,8.32,481.35,1504.0,8,,5568.0,,968.0235287195021,1680688893.0,0.0
2,0.0,877.9238647437564,51,0.0,0.0,0,,497.6,0,3.16,,,,9439,9344,,7.91,470.42,2048.0,9,,6176.0,,877.9238647437564,1680688895.0,0.0
2,0.0,806.0221849373249,52,0.0,0.0,0,,449.3,0,2.99,,,,10350,10240,,7.49,428.63,2592.0,10,,6752.0,,806.0221849373249,1680688896.0,0.0
2,0.0,899.2885655056962,53,0.0,0.0,0,,349.69,0,2.18,,,,11476,11360,,5.46,456.33,3104.0,11,,7136.0,,899.2885655056962,1680688897.0,0.0
2,0.0,915.818816507023,54,0.0,0.0,0,,451.36,0,1.68,,,,12535,12416,,4.2,447.93,3648.0,12,,7712.0,,915.818816507023,1680688898.0,0.0
2,0.0,948.5278401738242,56,0.0,0.0,0,,426.87,0,1.13,,,,13694,13472,,2.84,488.94,4224.0,13,,8192.0,,948.5278401738242,1680688900.0,0.0
2,0.0,894.5708263457542,57,0.0,0.0,0,,449.21,0,0.78,,,,14642,14528,,1.95,499.31,4736.0,14,,8736.0,,894.5708263457542,1680688901.0,0.0
2,0.0,985.1304694109415,58,0.0,0.0,0,,465.22,0,0.5,,,,15842,15712,,0.55,429.35,5248.0,15,,9280.0,,985.1304694109415,1680688902.0,0.0
2,0.0,894.1691930756161,59,0.0,0.0,0,,485.99,0,0.5,,,,16874,16384,,0.0,499.14,5856.0,16,,9856.0,,894.1691930756161,1680688903.0,0.0
2,0.0,894.1691930756161,60,0.0,0.0,0,,449.84,0,0.5,,,,17937,16384,,0.0,444.33,6208.0,17,,10176.0,,894.1691930756161,1680688904.0,0.0
2,0.0,894.1691930756161,61,0.0,0.0,0,,449.84,0,0.5,,,,19003,16384,,0.0,444.33,6208.0,18,,10176.0,,894.1691930756161,1680688905.0,0.0
2,0.0,894.1691930756161,63,0.0,0.0,0,,449.84,0,0.5,,,,20063,16384,,0.0,444.33,6208.0,19,,10176.0,,894.1691930756161,1680688907.0,0.0
2,0.0,894.1691930756161,64,0.0,0.0,0,,449.84,0,0.5,,,,21127,16384,,0.0,444.33,6208.0,20,,10176.0,,894.1691930756161,1680688908.0,0.0
2,0.0,894.1691930756161,65,0.0,0.0,0,,449.84,0,0.5,,,,22188,16384,,0.0,444.33,6208.0,21,,10176.0,,894.1691930756161,1680688909.0,0.0
2,0.0,894.1691930756161,66,0.0,0.0,0,,449.84,0,0.5,,,,23252,16384,,0.0,444.33,6208.0,22,,10176.0,,894.1691930756161,1680688910.0,0.0
2,0.0,894.1691930756161,67,0.0,0.0,0,,449.84,0,0.5,,,,24316,16384,,0.0,444.33,6208.0,23,,10176.0,,894.1691930756161,1680688911.0,0.0
2,0.0,863.9885092856327,69,0.0,0.0,1,,449.84,0,7.29,,,,644,512,,18.22,444.33,6208.0,24,,10176.0,,863.9885092856327,1680688913.0,0.0
2,1.0,790.1417213299305,70,0.0,1.0,1,517.3615614131741,406.06,0,7.52,0.0,0.0,16384.0,1525,1440,1.0,18.81,457.93,288.0,25,31.6683751209639,224.0,16384.0,790.1417213299305,1680688914.0,0.0
2,1.0,877.0003295288358,71,0.0,1.0,1,,406.93,0,6.27,,,,2629,2528,,15.68,383.21,736.0,26,,704.0,,877.0003295288358,1680688915.0,0.0
2,1.0,942.6729097254622,72,0.0,1.0,1,,432.51,0,5.36,,,,3741,3552,,13.41,444.49,1280.0,27,,1248.0,,942.6729097254622,1680688916.0,0.0
2,1.0,891.5639885552707,73,0.0,1.0,1,,470.01,0,5.25,,,,4678,4544,,13.13,472.66,1728.0,28,,1824.0,,891.5639885552707,1680688917.0,0.0
2,1.0,948.5526742213857,75,0.0,1.0,1,,443.51,0,4.47,,,,5785,5664,,11.17,448.06,2272.0,29,,2272.0,,948.5526742213857,1680688919.0,0.0
2,1.0,976.4588495428559,76,0.0,1.0,1,,485.99,0,3.86,,,,6961,6848,,9.65,462.56,2816.0,30,,2848.0,,976.4588495428559,1680688920.0,0.0
2,1.0,842.9892292483969,77,0.0,1.0,1,,494.22,0,4.04,,,,7873,7776,,10.1,482.24,3424.0,31,,3424.0,,842.9892292483969,1680688921.0,0.0
2,1.0,902.9890927153665,78,0.0,1.0,1,,380.83,0,3.29,,,,8964,8864,,8.22,462.16,3968.0,32,,3808.0,,902.9890927153665,1680688922.0,0.0
2,1.0,902.3205591160564,79,0.0,1.0,1,,461.82,0,2.82,,,,10011,9920,,7.06,441.17,4512.0,33,,4352.0,,902.3205591160564,1680688923.0,0.0
2,1.0,828.1075374717453,81,0.0,1.0,1,,417.45,0,2.58,,,,11034,10912,,6.46,484.87,5088.0,34,,4832.0,,828.1075374717453,1680688925.0,0.0
2,1.0,880.8470795136183,82,0.0,1.0,1,,362.82,0,1.95,,,,12098,12000,,4.87,465.29,5632.0,35,,5280.0,,880.8470795136183,1680688926.0,0.0
2,1.0,829.6457797994829,83,0.0,1.0,1,,405.75,0,1.6,,,,13057,12960,,4.01,475.1,6208.0,36,,5792.0,,829.6457797994829,1680688927.0,0.0
2,1.0,918.5742508942185,84,0.0,1.0,1,,341.21,0,0.98,,,,14144,13888,,2.44,488.43,6752.0,37,,6208.0,,918.5742508942185,1680688928.0,0.0
2,1.0,760.5594424497008,85,0.0,1.0,1,,466.87,0,0.83,,,,14813,14688,,2.07,451.71,7232.0,38,,6656.0,,760.5594424497008,1680688929.0,0.0
2,1.0,955.1951315455808,86,0.0,1.0,1,,283.31,0,0.5,,,,16024,15840,,0.38,477.25,7776.0,39,,6912.0,,955.1951315455808,1680688930.0,0.0
2,1.0,704.5491423659084,88,0.0,1.0,1,,453.01,0,0.5,,,,16639,16160,,0.0,502.18,8384.0,40,,7456.0,,704.5491423659084,1680688932.0,0.0
2,1.0,704.5491423659084,89,0.0,1.0,1,,205.73,0,0.5,,,,17477,16160,,0.0,498.82,8672.0,41,,7488.0,,704.5491423659084,1680688933.0,0.0
