_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.18144,1683543506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1683543506,1.625,0.0,0.0,761.696256,0.0,20.0,0.8085906607681046,178.044928,0.0,401.3056,0.0,0.0,0.0,1.0,13.0,0.09153856482368028,30334.251008,2.654208,112.0,0.0,1009.672192,0.0,23.0,3.9,0.25,8492.683264,45.0,,,,,,,,,,,,,,
2,2,,,1683543507,1.625,0.0,0.012000000000000455,911.220736,1.792333653230455,2537.0,0.33103087159511235,180.228096,10.0,403.587072,0.0,0.0,0.0,1.0,1486.0,1.1017005320921092,30184.722432,2.654208,125.0,0.027000000000043656,1018.195968,0.0,2696.0,4.3,0.25,8568.188928,45.0,,,,,,,,,,,,,,
3,3,,,1683543508,1.625,0.0,0.015999999999991132,1212.084224,0.004082682115957935,3420.0,0.1039090442297224,182.849536,11.0,696.40192,0.0,0.0,0.0,1.0,2001.0,0.09453163375111893,29883.858944,2.654208,136.0,0.028000000000247383,1319.231488,0.0,3680.0,5.3,0.25,8936.20224,46.0,,,,,,,,,,,,,,
4,4,,,1683543509,1.625,0.0,0.02400000000000091,1717.248,0.004085060545528886,3678.0,0.011872207208770922,185.30304,12.0,1202.270208,0.0,0.0,0.0,1.875,2293.0,0.0254598206994026,29378.691072,2.654208,136.0,0.02900000000045111,1845.788672,0.0,4267.0,6.9,0.5,9663.680512,48.0,,,,,,,,,,,,,,
5,5,,,1683543510,1.625,0.0,0.03200000000001069,1717.727232,0.00408492650319577,4136.0,0.0112335478822294,185.30304,13.0,1202.270208,0.0,0.0,0.0,1.875,3178.0,0.009502241144161082,29378.215936,2.654208,136.0,0.030000000000654836,1845.788672,0.0,5705.0,6.9,0.5,9663.680512,52.0,,,,,,,,,,,,,,
6,6,,,1683543511,1.625,0.0,0.036000000000001364,2140.28288,0.004085316027378333,4501.0,0.06376125072308447,333.860864,14.0,1689.27232,0.0,0.0,0.0,1.875,3521.0,0.02095320289919997,28943.077376,2.654208,147.0,0.030000000000654836,2194.497536,0.0,6755.0,8.3,0.5,10417.09056,56.0,,,,,,,,,,,,,,
7,7,,,1683543512,1.625,0.0,0.04800000000000182,2918.72768,0.13482046228331185,4974.0,0.027313591524212744,460.935168,17.0,2590.081024,0.0,0.0,0.0,1.875,3944.0,0.024401099295231057,28164.620288,2.654208,147.0,0.03300000000126602,2968.395776,0.0,7464.0,10.8,0.5,11526.53312,58.0,,,,,,,,,,,,,,
8,8,,,1683543513,1.625,0.0,0.0519999999999925,2725.720064,0.004084270984443416,7224.0,0.1209885509129312,1022.550016,18.0,2953.039872,0.0,0.0,0.0,1.875,5326.0,0.8723348707742594,27799.891968,2.654208,483.0,0.03400000000146974,2803.52768,0.0,9933.0,11.9,0.5,13563.6992,60.0,,,,,,,,,,,,,,
9,9,,,1683543514,1.7500000000000002,0.001000000000000334,0.06399999999999295,4939.264,0.004067267430409985,8697.0,0.03587456975226449,1348.132864,19.0,5274.935296,2.0,0.0,0.016269069719325707,2.75,6120.0,0.034198410716869444,25262.313472,2.654208,619.0,0.03499999999985448,4804.141056,0.0,97516.0,19.9,0.75,18539.548672,61.0,,,,,,,,,,,,,,
