03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,03_hivemind/num_peers,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_per_second,_runtime,03_hivemind/reached_TBS
,,1,,,,0,,,10.0,,0,224,,2556.83,,225,,6.319910754477716,6.319910754477716,0,1680689065.0,,,,38,
,224.0,1,,,,0,,0.0,10.0,,0,512,0.0,673.23,,516,,23.570637992082023,23.570637992082023,1,1680689066.0,,,6.32,39,
,512.0,1,,,,0,,0.0,10.0,,0,800,0.0,267.99,,807,,58.125300414909894,58.125300414909894,2,1680689067.0,,,23.57,40,
,800.0,1,,,,0,,0.0,10.0,,0,1088,0.0,134.94,,1430,,110.82274852915221,110.82274852915221,3,1680689071.0,,,58.13,44,
,1088.0,1,,,,0,,0.0,10.0,,0,2048,0.0,63.45,,2094,,225.22440317640218,225.22440317640218,4,1680689072.0,,,110.82,45,
,2048.0,2,,,,0,,0.0,10.0,,0,2432,0.0,54.45,,2468,,255.57493339757318,255.57493339757318,5,1680689074.0,,,225.22,47,
,2336.0,2,0.0,0.0,28.36,0,,0.0,10.0,,0,3008,0.0,38.41,,3050,,347.1463224048009,347.1463224048009,6,1680689075.0,,96.0,227.22,48,
,2624.0,2,0.0,0.0,114.69,0,,0.0,10.0,,0,3552,0.0,30.88,,3626,,413.09692512330594,413.09692512330594,7,1680689076.0,,384.0,232.45,49,
,2880.0,2,0.0,0.0,179.18,0,,0.0,10.0,,0,4192,0.0,26.83,,4275,,451.26216976097817,451.26216976097817,8,1680689077.0,,672.0,233.92,50,
,3200.0,2,0.0,0.0,216.59,0,,0.0,9.9,,0,4768,0.0,24.75,,4843,,466.2300822535913,466.2300822535913,9,1680689079.0,,992.0,234.68,52,
,3488.0,2,0.0,0.0,231.04,0,,0.0,9.31,,0,5344,0.0,23.29,,5408,,471.35499854560953,471.35499854560953,10,1680689080.0,,1280.0,235.19,53,
,3776.0,2,0.0,0.0,236.41,0,,0.0,8.79,,0,5888,0.0,21.98,,5974,,473.6009636136648,473.6009636136648,11,1680689081.0,,1568.0,234.95,54,
,4032.0,2,0.0,0.0,238.7,0,,0.0,8.31,,0,6464,0.0,20.77,,6537,,474.2080905193254,474.2080905193254,12,1680689082.0,,1856.0,234.9,55,
,4320.0,2,0.0,0.0,239.61,0,,0.0,7.93,,0,7008,0.0,19.83,,7092,,468.6437163787948,468.6437163787948,13,1680689083.0,,2144.0,234.6,56,
,4608.0,2,0.0,0.0,234.34,0,,0.0,7.42,,0,7584,0.0,18.56,,7653,,470.41620303514503,470.41620303514503,14,1680689084.0,,2400.0,234.3,57,
,4896.0,2,0.0,0.0,236.47,0,,0.0,6.91,,0,8128,0.0,17.26,,8221,,472.8803496270272,472.8803496270272,15,1680689086.0,,2688.0,233.95,59,
,5152.0,2,0.0,0.0,238.06,0,,0.0,6.44,,0,8704,0.0,16.11,,8780,,472.0780641092538,472.0780641092538,16,1680689087.0,,2976.0,234.82,60,
,5440.0,2,0.0,0.0,237.91,0,,0.0,5.95,,0,9280,0.0,14.87,,9344,,473.32597827375366,473.32597827375366,17,1680689088.0,,3264.0,234.17,61,
,5728.0,2,0.0,0.0,238.26,0,,0.0,5.43,,0,9856,0.0,13.57,,9913,,476.78214311472755,476.78214311472755,18,1680689089.0,,3552.0,235.07,62,
,6016.0,2,0.0,0.0,239.18,0,,0.0,4.94,,0,10432,0.0,12.35,,10482,,477.75186142142604,477.75186142142604,19,1680689090.0,,3840.0,237.61,63,
,6304.0,2,0.0,0.0,238.91,0,,0.0,4.45,,0,10976,0.0,11.14,,11052,,478.82502735211733,478.82502735211733,20,1680689092.0,,4128.0,238.84,65,
,6560.0,2,0.0,0.0,239.61,0,,0.0,3.98,,0,11552,0.0,9.94,,11623,,479.0076708896968,479.0076708896968,21,1680689093.0,,4416.0,239.21,66,
,6848.0,2,0.0,0.0,239.64,0,,0.0,3.5,,0,12096,0.0,8.74,,12193,,479.31924738400596,479.31924738400596,22,1680689094.0,,4704.0,239.37,67,
,7136.0,2,0.0,0.0,239.81,0,,0.0,3.02,,0,12672,0.0,7.55,,12762,,479.51520059435614,479.51520059435614,23,1680689095.0,,4960.0,239.51,68,
,7424.0,2,0.0,0.0,239.56,0,,0.0,2.55,,0,13248,0.0,6.37,,13331,,479.16838511042005,479.16838511042005,24,1680689096.0,,5248.0,239.95,69,
