03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
225,5.709003095395369,1,224,0,5700.24,52,0,10.0,5.709003095395369,1683584266,0,,,,,,,,,,,,,,,,,,,
355,10.921486625861192,1,352,1,2967.78,53,0,10.0,10.921486625861192,1683584267,0,224.0,0.0,5.71,0.0,,,,,,,,,,,,,,,
487,18.009493798059903,1,480,2,1792.45,54,0,10.0,18.009493798059903,1683584268,0,352.0,0.0,10.92,0.0,,,,,,,,,,,,,,,
645,29.7929761006596,1,640,3,1078.2,55,0,10.0,29.7929761006596,1683584269,0,480.0,0.0,18.01,0.0,,,,,,,,,,,,,,,
902,41.381372014584684,1,768,4,770.05,60,0,10.0,41.381372014584684,1683584274,0,640.0,0.0,29.79,0.0,,,,,,,,,,,,,,,
1278,87.27475265934285,1,1248,5,360.81,61,0,10.0,87.27475265934285,1683584275,0,768.0,0.0,41.38,0.0,,,,,,,,,,,,,,,
1416,96.16877344819751,1,1376,6,326.01,62,0,10.0,96.16877344819751,1683584276,0,1248.0,0.0,87.27,0.0,,,,,,,,,,,,,,,
1553,102.94609655529328,1,1504,7,303.21,63,0,10.0,102.94609655529328,1683584277,0,1376.0,0.0,96.17,0.0,,,,,,,,,,,,,,,
1694,108.89888848041532,1,1664,8,285.34,64,0,10.0,108.89888848041532,1683584278,0,1504.0,0.0,102.95,0.0,,,,,,,,,,,,,,,
2155,112.06193840360673,1,1792,9,273.18,68,0,10.0,112.06193840360673,1683584282,0,1664.0,0.0,108.9,0.0,,,,,,,,,,,,,,,
2311,116.96403809890786,1,2272,10,260.4,69,0,10.0,116.96403809890786,1683584283,0,1792.0,0.0,112.06,0.0,,,,,,,,,,,,,,,
2446,117.32968446412585,1,2400,11,258.44,70,0,10.0,117.32968446412585,1683584284,0,2272.0,0.0,116.96,0.0,,,,,,,,,,,,,,,
2581,117.63437935085908,1,2528,12,256.62,72,0,10.0,117.63437935085908,1683584286,0,2400.0,0.0,117.33,0.0,,,,,,,,,,,,,,,
2716,117.77601167551539,1,2688,13,255.16,73,0,10.0,117.77601167551539,1683584287,0,2528.0,0.0,117.63,0.0,,,,,,,,,,,,,,,
2920,125.63267094810995,2,2880,14,237.58,74,0,10.0,125.63267094810995,1683584288,0,2688.0,0.0,117.78,0.0,,,,,,,,,,,,,,,
3223,147.37996121350707,2,3168,15,200.47,75,0,10.0,147.37996121350707,1683584289,0,2816.0,0.0,117.88,0.0,64.0,0.0,0.0,7.75,,,,,,,,,,,
3497,164.9677444153745,2,3424,16,177.43,76,0,10.0,164.9677444153745,1683584290,0,2944.0,0.0,118.17,0.0,224.0,0.0,0.0,29.21,,,,,,,,,,,
3773,181.64714104308715,2,3680,17,159.62,77,0,10.0,181.64714104308715,1683584291,0,3072.0,0.0,117.87,0.0,352.0,0.0,0.0,47.1,,,,,,,,,,,
4093,199.4902600450096,2,4000,18,143.74,79,0,10.0,199.4902600450096,1683584293,0,3200.0,0.0,117.67,0.0,480.0,0.0,0.0,63.98,,,,,,,,,,,
4398,210.5259206055979,2,4256,19,134.76,80,0,10.0,210.5259206055979,1683584294,0,3360.0,0.0,117.72,0.0,640.0,0.0,0.0,81.77,,,,,,,,,,,
4710,220.46785205704637,2,4576,20,127.26,81,0,10.0,220.46785205704637,1683584295,0,3488.0,0.0,117.68,0.0,768.0,0.0,0.0,92.85,,,,,,,,,,,
5018,226.75256891552698,2,4896,21,122.38,82,0,10.0,226.75256891552698,1683584296,0,3648.0,0.0,117.67,0.0,928.0,0.0,0.0,102.8,,,,,,,,,,,
5324,230.84483161235698,2,5184,22,118.88,84,0,10.0,230.84483161235698,1683584298,0,3808.0,0.0,117.5,0.0,1088.0,0.0,0.0,109.25,,,,,,,,,,,
