_runtime,_timestamp,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,_step,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/reached_TBS,04_peers/peer_2_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_per_second
39,1680689300.0,,,0,,0,0,193,,,,3186.58,,,,192,,5.081007537382194,5.081007537382194,1,,,,10.0,,
40,1680689301.0,,5.08,1,,0,0,452,,0.0,,873.94,,,,448,,18.230471001021375,18.230471001021375,1,0.0,,,10.0,192.0,
42,1680689303.0,,18.23,2,,0,0,714,,0.0,,361.65,,,,704,,43.330296376836046,43.330296376836046,1,0.0,,,10.0,448.0,
46,1680689307.0,,43.33,3,,0,0,1265,,0.0,,170.76,,,,992,,88.53743791790801,88.53743791790801,1,0.0,,,10.0,704.0,
47,1680689308.0,,88.54,4,,0,0,1923,,0.0,,71.08,,,,1888,,203.46602478958374,203.46602478958374,1,0.0,,,10.0,992.0,
48,1680689309.0,,203.47,5,,0,0,2341,,0.0,,56.5,,,,2304,,248.56377635170713,248.56377635170713,2,0.0,,,10.0,1888.0,
49,1680689310.0,0.0,212.19,6,,0,0,2872,,0.0,,41.78,,,128.0,2816,,323.4233075759595,323.4233075759595,2,0.0,0.0,,10.0,2176.0,36.37
51,1680689312.0,0.0,215.56,7,,0,0,3404,,0.0,,34.31,,,384.0,3328,,378.3338398974333,378.3338398974333,2,0.0,0.0,,10.0,2432.0,107.87
52,1680689313.0,0.0,216.78,8,,0,0,4008,,0.0,,29.79,,,640.0,3936,,415.51585772752566,415.51585772752566,2,0.0,0.0,,10.0,2688.0,161.56
53,1680689314.0,0.0,217.32,9,,0,0,4532,,0.0,,27.66,,,960.0,4448,,428.48559151490645,428.48559151490645,2,0.0,0.0,,10.0,2976.0,198.2
54,1680689315.0,0.0,217.34,10,,0,0,5054,,0.0,,26.09,,,1216.0,4960,,434.2073526688228,434.2073526688228,2,0.0,0.0,,10.0,3232.0,211.15
56,1680689317.0,0.0,217.34,11,,0,0,5575,,0.0,,24.74,,,1472.0,5504,,436.94931317607814,436.94931317607814,2,0.0,0.0,,9.89,3488.0,216.87
57,1680689318.0,0.0,217.28,12,,0,0,6096,,0.0,,23.48,,,1760.0,6048,,438.23438976844204,438.23438976844204,2,0.0,0.0,,9.39,3744.0,219.67
58,1680689319.0,0.0,217.79,13,,0,0,6617,,0.0,,22.27,,,2016.0,6560,,438.63503150330365,438.63503150330365,2,0.0,0.0,,8.91,4032.0,220.44
59,1680689320.0,0.0,218.11,14,,0,0,7136,,0.0,,21.14,,,2272.0,7072,,437.4427031663622,437.4427031663622,2,0.0,0.0,,8.46,4288.0,220.53
60,1680689321.0,0.0,218.01,15,,0,0,7662,,0.0,,19.95,,,2528.0,7584,,437.32077796545434,437.32077796545434,2,0.0,0.0,,7.98,4544.0,219.43
62,1680689323.0,0.0,217.68,16,,0,0,8183,,0.0,,18.73,,,2784.0,8096,,437.8322456258644,437.8322456258644,2,0.0,0.0,,7.49,4800.0,219.64
63,1680689324.0,0.0,217.83,17,,0,0,8701,,0.0,,17.57,,,3040.0,8640,,437.22817314103025,437.22817314103025,2,0.0,0.0,,7.03,5056.0,220.0
64,1680689325.0,0.0,217.37,18,,0,0,9220,,0.0,,16.39,,,3328.0,9152,,437.111715727013,437.111715727013,2,0.0,0.0,,6.56,5312.0,219.86
65,1680689326.0,0.0,217.3,19,,0,0,9739,,0.0,,15.2,,,3584.0,9664,,437.2775365962676,437.2775365962676,2,0.0,0.0,,6.08,5568.0,219.81
66,1680689327.0,0.0,217.33,20,,0,0,10259,,0.0,,14.02,,,3840.0,10176,,436.9825116611093,436.9825116611093,2,0.0,0.0,,5.61,5824.0,219.95
67,1680689328.0,0.0,217.34,21,,0,0,10776,,0.0,,12.84,,,4096.0,10688,,436.74751912276207,436.74751912276207,2,0.0,0.0,,5.14,6080.0,219.64
69,1680689330.0,0.0,217.35,22,,0,0,11296,,0.0,,11.65,,,4352.0,11200,,436.7465318715109,436.7465318715109,2,0.0,0.0,,4.66,6336.0,219.4
70,1680689331.0,0.0,217.29,23,,0,0,11808,,0.0,,10.55,,,4608.0,11744,,433.66153986577996,433.66153986577996,2,0.0,0.0,,4.22,6592.0,219.46
71,1680689332.0,0.0,214.52,24,,0,0,12325,,0.0,,9.33,,,4896.0,12256,,434.87363764387146,434.87363764387146,2,0.0,0.0,,3.73,6848.0,219.15
72,1680689333.0,0.0,215.98,25,,0,0,12843,,0.0,,8.14,,,5152.0,12768,,435.28173363980375,435.28173363980375,2,0.0,0.0,,3.25,7104.0,218.9
73,1680689334.0,0.0,216.57,26,,0,0,13366,,0.0,,6.92,,,5408.0,13312,,435.80165810279266,435.80165810279266,2,0.0,0.0,,2.77,7360.0,218.71
