02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/step,disk/counter/disk_write_sys_count,process/memory/data_resident_set_proc_MB,memory/used_memory_sys_MB,01_general/dataset_iteration_count,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,_timestamp,memory/available_memory_sys_MB,03_hivemind/num_peers,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,cpu/logical_core_count,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_cuda_move_time_s,_step,02_timing/backward_time_s,cpu/interrupts/interrupts_count,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,03_hivemind/global_epoch,02_timing/dataload_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,disk/time/disk_read_time_sys_s,02_timing/forward_time_s,01_general/minibatch_loss,01_general/lr,02_timing/loss_calc_time_s,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/disk_read_sys_bandwidth_MBs
,,,,,,,,,,,,,,,,1696169489.0,,,,,0,8.0,,,,0,,,31557.169152,,,,,,,,,,,,,,,,
,,,0.0,0.0,1085.984768,,,0.0,32.0,4.9,550.899712,9347.162112,0.0,0.0,4.75,1696169489.0,30009.913344,,0.2408602155137217,0.335251381977972,0,,2.654208,4.625,,1,,13.0,,0.0,,,458.0,2.0,1110.450176,243.564544,23.0,5.5,0.0,,,,,0.0,0.0
,,,10.0,0.0,1300.094976,,,0.02400000000000091,32.0,5.6,568.64768,10070.77376,0.02099999999973079,3.0,4.75,1696169490.0,29795.79904,,1.8346351392945224,0.32713874154304246,1,,2.654208,4.625,,2,,3312.0,,0.0,,,519.0,1089.0,1148.923904,248.373248,2715.0,5.5,0.0010000000000012221,,,,,1.8083961103044914,0.012246474787735273
,,,11.0,0.0,1325.50656,,,0.028000000000005798,32.0,5.7,591.474688,10093.17888,0.02099999999973079,3.0,4.75,1696169491.0,29770.375168,,30.955518666411628,0.16898379385809592,2,,2.654208,4.625,,3,,4410.0,,0.0,,,692.0,1889.0,1171.329024,248.635392,3841.0,5.5,0.0010000000000012221,,,,,0.004026981728139621,0.0
,,,12.0,0.0,1379.88096,,,0.031999999999996476,34.0,5.8,633.63072,10135.158784,0.021999999999934516,3.0,4.375,1696169492.0,29715.98848,,1086.4458140134855,1.9139475683221006,3,,2.654208,4.625,,4,,13281.0,,0.0,,,3500.0,7733.0,1213.321216,248.651776,10308.0,5.375,0.0010000000000012221,,,,,0.004084194282274977,0.0
,,,76.0,0.0,1633.959936,,,0.04399999999999693,37.0,6.6,822.35392,10727.56736,0.07799999999997453,3.0,4.375,1696169493.0,29461.909504,,124.70087025054123,0.2492717626832043,4,,2.654208,4.625,,5,,15005.0,,0.0,,,3767.0,8775.0,1434.660864,250.290176,11550.0,5.375,0.0010000000000012221,,,,,0.3309048539425236,0.0
,,,77.0,0.0,2180.804608,,,0.04800000000000182,38.0,8.4,1525.571584,11614.425088,0.07799999999997453,3.0,4.375,1696169494.0,28902.477824,,0.021467854483183647,0.009107091314520675,5,,2.654208,4.625,,6,,16287.0,,0.0,,,3790.0,9377.0,1950.322688,439.578624,12150.0,5.375,0.0010000000000012221,,,,,0.004083039187200923,0.0
,,,218.0,0.0,2678.145024,,,0.06400000000000716,41.0,10.1,2146.664448,12859.654144,0.37099999999963984,3.0,4.375,1696169495.0,28372.393984,,0.008809863513578365,0.013166915578384517,6,,2.654208,4.625,,7,,17497.0,,0.0,,,3875.0,10080.0,2491.94496,562.065408,13235.0,5.375,0.0010000000000012221,,,,,1.9652379595402298,0.0
,,,219.0,0.0,3053.412352,,,0.07600000000000762,45.0,12.1,2610.573312,13793.890304,0.37199999999984357,5.0,4.375,1696169496.0,27726.72512,,0.011326207725757879,0.06301099106909143,7,,2.654208,4.625,,8,,67170.0,,0.0,,,4157.0,10842.0,2686.558208,833.445888,15745.0,5.375,0.0019999999999988916,,,,,0.004078071979800659,0.01631228791693885
,,,223.0,0.0,3055.730688,,,0.08400000000000318,45.0,12.1,2610.761728,13793.890304,0.375,5.0,4.0,1696169497.0,27724.402688,,0.0,0.0,8,,2.654208,4.625,,9,,67421.0,,0.0,,,4157.0,10953.0,2686.558208,833.511424,16152.0,5.25,0.0019999999999988916,,,,,0.020410267539716698,0.0
