01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_one_min_percent,01_general/minibatch_loss,disk/counter/disk_read_sys_count,_step,01_general/lr,_runtime,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,cpu/interrupts/soft_interrupts_count,02_timing/loss_calc_time_s,03_hivemind/num_peers,memory/available_memory_sys_MB,01_general/step,memory/used_memory_sys_percent,_timestamp,memory/total_memory_sys_MB,02_timing/opt_step_time_s,process/memory/shared_memory_proc_MB,02_timing/step_time_s,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/dataload_cuda_move_time_s,process/memory/text_resident_set_proc_MB,process/memory/data_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,process/voluntary_proc_ctx_switches,disk/time/disk_busy_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/lib_memory_proc_MB,03_hivemind/global_epoch,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,bandwidth/net_sent_sys_bandwidth_Mbits,disk/counter/disk_write_sys_count,memory/used_memory_sys_MB,cpu/load/avg_sys_load_five_min_percent
,,,,,,,,,0,,0,8.0,,,,,,,,,1696169581.0,31557.169152,,,,,,,,,,,,,,,,,,,,,,,
,33.0,0.0,,0.0,20.0,2.625,,0.0,1,,0,,,0.0,15.0,,,30013.444096,,4.9,1696169581.0,,,243.113984,,21.0,0.0,,2.654208,0.0,9347.149824,,470.0,0.0,0.13105124660159137,1110.437888,,3.875,0.0,549.572608,,0.24793479073209335,0.0,1082.44992,3.6249999999999996
,33.0,0.0,,0.0019999999999527063,3817.0,2.625,,3.0,2,,1,,,0.0019999999999988916,2385.0,,,29752.307712,,5.7,1696169582.0,,,247.857152,,4635.0,0.012199064388443205,,2.654208,0.0,10070.77376,,539.0,0.008000000000009777,2.0526037727600475,1148.923904,,3.875,0.00813270959169353,567.283712,,0.5261799569464932,2.0,1343.582208,3.6249999999999996
,34.0,0.0,,0.0019999999999527063,7526.0,2.625,,4.0,3,,2,,,0.0030000000000001137,5327.0,,,29757.41952,,5.7,1696169583.0,,,248.119296,,8708.0,0.07759657378537797,,2.654208,0.0,10103.43936,,861.0,0.020000000000010232,34.58694183798842,1181.589504,,3.875,0.004084030199803158,600.33024,,0.6399723181925873,3.0,1338.466304,3.6249999999999996
,37.0,0.0,,0.01499999999987267,14759.0,2.625,,4.0,4,,3,,,0.0030000000000001137,12132.0,,,29544.48896,,6.4,1696169584.0,,,249.708544,,16180.0,0.0,,2.654208,0.0,10352.549888,,3971.0,0.04800000000000182,1208.762736459602,1430.71232,,3.875,0.5964835153822632,815.017984,,2.09903117203382,21.0,1551.597568,3.6249999999999996
,38.0,0.0,,0.016000000000076398,15367.0,2.625,,4.0,5,,4,,,0.0030000000000001137,13046.0,,,29345.263616,,7.0,1696169585.0,,,373.51424,,17886.0,0.0,,2.654208,0.0,10995.109888,,3993.0,0.056000000000011596,0.06767479446845107,1532.33408,,3.875,0.004086025325171362,1041.178624,,0.07909491603535092,22.0,1738.067968,3.6249999999999996
,40.0,0.0,,0.016999999999825377,15843.0,3.5000000000000004,,4.0,6,,5,,,0.0030000000000001137,13276.0,,,28558.958592,,9.5,1696169586.0,,,505.110528,,18479.0,0.0,,2.654208,0.0,12111.609856,,3993.0,0.060000000000002274,0.03860857175882652,2313.289728,,4.0,0.004085900938837157,1954.607104,,0.0416889580107466,23.0,2524.340224,3.875
,43.0,0.0,,0.058999999999741704,20181.0,3.5000000000000004,,6.0,7,,6,,,0.004000000000001336,14785.0,,,27713.957888,,12.2,1696169587.0,,,833.626112,,57706.0,0.016188040107651458,,2.654208,0.0,13836.058624,,4361.0,0.07600000000000762,0.4424915396802314,2728.665088,,4.0,0.23067957153369628,2641.567744,,0.4113169155669052,66.0,3066.42944,3.875
,43.0,0.0,,0.05999999999994543,21979.0,3.5000000000000004,,6.0,8,,7,,,0.004000000000001336,16010.0,,,27507.5072,,12.8,1696169588.0,,,833.634304,,60165.0,0.0,,2.654208,0.0,13978.669056,,4368.0,0.08400000000000318,0.34105627625992463,2737.324032,,4.0,0.004078210413141852,2641.67424,,0.4257110033404486,67.0,3272.568832,3.875
,43.0,0.0,,0.06300000000010186,24091.0,3.5000000000000004,,6.0,9,,8,,,0.004000000000001336,17149.0,,,27298.947072,,13.5,1696169589.0,,,833.634304,,62675.0,0.0,,2.654208,0.0,13978.669056,,4368.0,0.09199999999999875,0.49683173263705827,2737.324032,,4.0,0.17160086056257887,2641.67424,,0.6128921360964272,70.0,3481.116672,3.875
