process/memory/data_resident_set_proc_MB,01_general/step,01_general/locally_processed_samples,_runtime,02_timing/forward_time_s,01_general/dataset_iteration_count,memory/used_memory_sys_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/ctx_switches_count,cpu/logical_core_count,_step,disk/counter/disk_read_sys_count,_timestamp,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_write_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,02_timing/loss_calc_time_s,01_general/minibatch_loss,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/backward_time_s,memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,02_timing/dataload_time_s,01_general/lr,03_hivemind/num_peers,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,memory/available_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,02_timing/dataload_cuda_move_time_s,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,cpu/interrupts/soft_interrupts_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs
,,,1,,,,,,,,,,,8.0,0,,1696169582.0,31557.169152,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,1,,,5.1,0.0,2.654208,,0.0,0.0,0.0,21.0,,1,0.0,1696169582.0,,0.0,4.5,3.875,0.0,0.2158441064924267,243.007488,9347.149824,,,,0.28246265819492683,,1137.225728,1110.437888,,,,447.0,30.0,29958.67648,2.5,,,23.0,25.0,549.736448,0.0
0.0,,,2,,,5.6,0.008161746903910218,2.654208,,0.0,0.0,2.0,4100.0,,2,0.0,1696169583.0,,0.003999999999990678,4.5,3.875,0.0010000000002037268,1.8794813384598779,247.554048,10069.848064,,,,0.5412975757137309,,1307.529216,1147.998208,,,,497.0,31.0,29788.368896,2.5,,,5663.0,2541.0,566.280192,0.0
0.0,,,3,,,5.7,0.5634744067852369,2.654208,,0.0,0.0,20.0,6225.0,,3,0.0,1696169584.0,,0.027999999999991587,4.625,3.875,0.014000000000123691,32.694690125312206,248.0128,10093.174784,,,,0.4015600487547684,,1335.41888,1171.33312,,,,688.0,32.0,29760.446464,3.25,,,7824.0,4404.0,590.204928,0.0
0.0,,,4,,,5.8,0.004064131724946548,2.654208,,0.0,0.0,21.0,12734.0,,4,0.0,1696169585.0,,0.031999999999996476,4.625,3.875,0.01499999999987267,1179.37635481461,248.029184,10135.154688,,,,2.315324731546451,,1379.835904,1213.31712,,,,3557.0,36.0,29715.955712,3.25,,,17677.0,11538.0,632.262656,0.0
0.0,,,5,,,6.7,3.218887642515391,2.654208,,0.0,0.0,209.0,13375.0,,5,0.0,1696169586.0,,0.04399999999999693,4.625,3.875,0.4600000000000364,25.73457013006003,315.232256,10727.56736,,,,0.11708135745634815,,1638.203392,1434.660864,,,,3617.0,38.0,29457.641472,3.25,,,19086.0,12285.0,886.693888,0.0
0.0,,,6,,,8.5,0.004084952728177464,2.654208,,0.0,0.0,210.0,13857.0,,6,0.0,1696169587.0,,0.04799999999998761,4.625,3.875,0.4610000000002401,0.03834430236042373,448.249856,11639.246848,,,,0.042684564634168976,,2193.59232,1975.144448,,,,3640.0,43.0,28889.718784,3.25,,,20007.0,12584.0,1558.192128,0.0
0.0,,,7,,,10.3,0.03673753883101509,2.654208,,0.0,0.0,218.0,15946.0,,7,0.0,1696169588.0,,0.055999999999997385,4.625,3.875,0.4679999999998472,0.36896989954737436,632.070144,12937.87136,,,,0.40746937329206917,,2684.174336,2490.494976,,,,3723.0,44.0,28297.97376,3.25,,,22099.0,13578.0,2227.326976,0.0
0.0,,,8,,,12.4,0.17929140176357572,2.654208,,0.0,0.0009999999999976694,221.0,20347.0,,8,2.0,1696169589.0,,0.0759999999999934,5.0,4.0,0.47100000000000364,0.6338549539268916,833.138688,13944.684544,,,,0.6567120608995807,,3143.606272,2703.33952,,,,4007.0,45.0,27636.477952,5.0,,,72848.0,15556.0,2607.423488,0.016299218342184375
0.0,,,9,,,13.0,0.004078294639423396,2.654208,,0.0,0.0009999999999976694,222.0,21320.0,,9,2.0,1696169590.0,,0.0799999999999983,5.0,4.0,0.47200000000020736,0.2014454519858745,833.204224,13944.684544,,,,0.2991731803529144,,3334.815744,2703.33952,,,,4007.0,45.0,27445.26848,5.0,,,74454.0,16303.0,2607.63648,0.0
