_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1680689494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1680689494,4.433333333333334,0.0,0.0,1219.903488,0.0,27.0,0.6987720487981548,179.183616,0.0,395.3664,0.0,0.0,0.0,5.800000000000001,5.0,1.0665468084427312,208109.707264,2.719744,141.0,0.0,2481.012736,0.0,20.0,1.4,4.9,9963.380736,51.0,,,,,,,,,,,,,,
2,1,,,1680689495,4.433333333333334,0.0,0.012000000000000455,1646.481408,0.012252582843197439,2832.0,0.31394052764722896,183.975936,3.0,692.59264,0.0,0.0,0.0,5.800000000000001,955.0,0.8982993875775509,207683.166208,2.719744,162.0,0.0,2800.001024,0.0,2574.0,1.6,4.9,10416.328704,55.0,,,,,,,,,,,,,,
3,2,,,1680689496,4.433333333333334,0.0,0.02400000000000091,2152.771584,0.8710851848642521,6303.0,0.020455996532522065,186.400768,103.0,1196.883968,0.0,0.0,0.0,5.800000000000001,3070.0,0.020935246746686426,207176.871936,2.719744,204.0,0.057999999999992724,3538.857984,0.0,9952.0,1.8,4.9,13097.529344,61.0,,,,,,,,,,,,,,
4,3,,,1680689497,4.433333333333334,0.0,0.02800000000002001,2496.057344,0.0040865258678445,10165.0,0.05973351487658737,321.019904,104.0,1596.104704,0.0,0.0,0.0,5.800000000000001,5519.0,0.06312565061068738,206823.17824,2.719744,265.0,0.05899999999996908,3813.523456,0.0,16665.0,2.0,4.9,14045.310976,69.0,,,,,,,,,,,,,,
5,4,,,1680689498,4.433333333333334,0.0,0.03200000000001069,2601.775104,0.004088917537982258,11315.0,0.052197587991087376,515.776512,105.0,1903.484928,0.0,0.0,0.0,5.6000000000000005,5996.0,0.004240654756461961,206671.511552,2.719744,372.0,0.05899999999996908,3960.082432,0.0,17858.0,2.1,4.866666666666666,16132.775936,75.0,,,,,,,,,,,,,,
6,5,,,1680689499,4.433333333333334,0.0,0.036000000000001364,5201.334272,0.0040781707251247275,16677.0,0.0034648520767567113,1490.71872,106.0,5004.20608,0.0,0.0,0.0,5.6000000000000005,8255.0,0.010991944475400793,203091.779584,2.719744,641.0,0.05899999999996908,6094.364672,0.0,851540.0,3.8,4.866666666666666,21881.413632,249.0,,,,,,,,,,,,,,
7,6,,,1680689500,4.433333333333334,0.0,0.040000000000020464,5856.960512,0.004079997333291198,21258.0,0.050776841848609616,2046.496768,107.0,5871.730688,0.0,0.0,0.0,5.6000000000000005,10341.0,0.004342965935406774,201877.897216,2.719744,820.0,0.05999999999994543,6414.557184,0.0,961138.0,4.4,4.866666666666666,22826.262528,261.0,,,,,,,,,,,,,,
8,7,,,1680689501,4.433333333333334,0.0,0.04800000000000182,5858.24256,0.11033005744814679,21816.0,0.0029928943503769955,2046.500864,110.0,5871.869952,0.0,0.0,0.0,5.6000000000000005,10514.0,0.009162247271247457,201876.606976,2.719744,820.0,0.06099999999992178,6423.08096,0.0,961463.0,4.4,4.866666666666666,22901.764096,261.0,,,,,,,,,,,,,,
9,8,,,1680689502,4.433333333333334,0.0,0.056000000000011596,5858.238464,0.10626799894877918,22213.0,0.04898290576505585,2046.500864,131.0,5871.869952,0.0,0.0,0.0,5.6000000000000005,10631.0,0.004238905289557403,201876.606976,2.719744,820.0,0.06899999999995998,6423.08096,0.0,961680.0,4.4,4.866666666666666,22901.764096,261.0,,,,,,,,,,,,,,
10,9,,,1680689503,4.4,0.0,0.060000000000002274,5858.238464,0.0040872239190406084,22714.0,0.002993572205548648,2046.500864,132.0,5871.869952,0.0,0.0,0.0,5.133333333333334,10778.0,0.010824757111527136,201876.611072,2.719744,820.0,0.06899999999995998,6423.08096,0.0,961961.0,4.4,4.8,22901.764096,261.0,,,,,,,,,,,,,,
11,10,,,1680689504,4.4,0.0,0.06400000000002137,5858.238464,0.004086383960716221,23177.0,0.003783097650394584,2046.500864,133.0,5871.869952,0.0,0.0,0.0,5.133333333333334,10920.0,0.0016042249140563937,201876.619264,2.719744,820.0,0.06999999999993634,6423.08096,0.0,962225.0,4.4,4.8,22901.764096,261.0,,,,,,,,,,,,,,
12,11,,,1680689505,4.4,0.0,0.06800000000001205,5858.238464,0.004086814587123338,23804.0,0.05731917104607862,2046.500864,134.0,5871.869952,0.0,0.0,0.0,5.133333333333334,11086.0,0.01312250625173804,201876.619264,2.719744,820.0,0.06999999999993634,6423.08096,0.0,962614.0,4.4,4.8,22901.764096,261.0,,,,,,,,,,,,,,
13,12,,,1680689506,4.4,0.0,0.0759999999999934,5858.48832,0.03678199630139807,24227.0,0.0037835647121885227,2046.500864,137.0,5871.869952,0.0,0.0,0.0,5.133333333333334,11198.0,0.0016044230361361126,201876.361216,2.719744,820.0,0.07200000000000273,6423.08096,0.0,962863.0,4.4,4.8,22901.764096,261.0,,,,,,,,,,,,,,
