03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_8_epoch_oos
8,0.12149353931856015,1,8,0,2041.07,46,0,10.0,0.12149353931856015,1696169820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.5618209584523284,1,32,1,398.41,47,0,10.0,0.5618209584523284,1696169821,0,8.0,0.0,0.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.9227019152944231,1,48,2,224.99,49,0,10.0,0.9227019152944231,1696169823,0,32.0,0.0,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.5854837343126018,1,72,3,115.91,50,0,10.0,1.5854837343126018,1696169824,0,48.0,0.0,0.92,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2.112787687747108,1,88,4,79.23,51,0,10.0,2.112787687747108,1696169825,0,72.0,0.0,1.59,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2.717521651558874,1,104,5,55.46,52,0,10.0,2.717521651558874,1696169826,0,88.0,0.0,2.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,3.746374387434239,1,128,6,34.1,53,0,8.52,3.746374387434239,1696169827,0,104.0,0.0,2.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4.5211553676244876,1,144,7,24.55,54,0,6.14,4.5211553676244876,1696169828,0,128.0,0.0,3.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,5.361704887262206,1,160,8,17.51,55,0,4.38,5.361704887262206,1696169829,0,144.0,0.0,4.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,6.746144853108318,1,184,9,10.52,57,0,2.63,6.746144853108318,1696169831,0,160.0,0.0,5.36,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,7.665414031727695,1,200,10,7.0,58,0,1.75,7.665414031727695,1696169832,0,184.0,0.0,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
