_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.169152,1696170116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1696170116,5.375,0.0,0.0,1071.198208,0.0,12.0,0.11668032213056301,243.535872,0.0,550.8096,0.0,0.0,0.0,3.375,15.0,0.0,30024.708096,2.654208,99.0,0.0,1110.441984,0.0,15.0,4.9,5.5,9347.15392,38.0,,,,,,,,,,,,,,
2,2,,,1696170117,5.375,0.0,0.016000000000005343,1284.214784,0.012248966185935376,4532.0,1.0566806728163938,247.95136,3.0,568.242176,0.0,0.0,0.0,3.375,2424.0,2.415781622118815,29811.679232,2.654208,158.0,0.0019999999999527063,1148.919808,0.0,5284.0,5.5,5.5,10070.769664,38.0,,,,,,,,,,,,,,
3,3,,,1696170118,5.25,0.0,0.03200000000001069,1320.456192,0.273691637518261,10522.0,1.515332877279857,248.213504,17.0,601.247744,0.0,0.0,0.0,3.125,5300.0,32.355826344794764,29775.44192,2.654208,387.0,0.016999999999825377,1181.585408,0.0,10438.0,5.6,5.375,10103.435264,39.0,,,,,,,,,,,,,,
4,4,,,1696170119,5.25,0.0,0.04000000000000625,1360.375808,0.004082827654500167,22683.0,3.5556724044783805,248.229888,18.0,632.680448,0.0,0.0,0.0,3.125,14045.0,1450.1196516622267,29735.477248,2.654208,4064.0,0.016999999999825377,1213.054976,0.0,24873.0,5.8,5.375,10134.892544,40.0,,,,,,,,,,,,,,
5,5,,,1696170120,5.25,0.0,0.04800000000000182,1358.307328,0.016336062544001367,35659.0,3.7851885312897506,248.295424,21.0,632.803328,0.0,0.0,0.0,3.125,23552.0,1599.1282208030507,29737.496576,2.654208,8121.0,0.01999999999998181,1213.054976,0.0,39939.0,5.8,5.375,10134.892544,41.0,,,,,,,,,,,,,,
6,6,,,1696170121,5.25,0.0,0.055999999999997385,1386.872832,0.02042664813852784,48647.0,3.6478881701374517,248.295424,24.0,632.803328,0.0,0.0,0.0,3.125,33407.0,1620.2902196173136,29708.65664,2.654208,12244.0,0.021999999999934516,1213.054976,0.0,55693.0,5.9,5.375,10134.892544,45.0,,,,,,,,,,,,,,
7,7,,,1696170122,5.25,0.0,0.060000000000002274,1367.842816,0.004081076057957416,61976.0,3.6093769985910837,248.295424,25.0,632.827904,0.0,0.0,0.0,3.125,43827.0,1609.77193071073,29728.034816,2.654208,16093.0,0.023000000000138243,1213.054976,0.0,71144.0,5.8,5.375,10134.892544,50.0,,,,,,,,,,,,,,
8,8,,,1696170123,5.375,0.0,0.07200000000000273,1487.077376,0.13053037244950264,73117.0,3.178937200516866,248.492032,28.0,751.427584,0.0,0.0,0.0,4.875,53523.0,1466.0093506304477,29608.763392,2.654208,19496.0,0.02500000000009095,1340.874752,0.0,85395.0,6.2,5.75,10262.71232,54.0,,,,,,,,,,,,,,
9,9,,,1696170124,5.375,0.0,0.08800000000000807,2605.969408,0.4612451956438581,78706.0,1.3537916406689547,249.868288,83.0,1866.89536,0.0,0.0,0.0,4.875,56266.0,1.3865258907632754,28489.924608,2.654208,19503.0,0.08100000000013097,2449.543168,0.0,90569.0,9.7,5.75,11371.380736,56.0,,,,,,,,,,,,,,
10,10,,,1696170125,5.375,0.0,0.09199999999999875,3119.243264,0.004083207071933673,83569.0,1.2591270811352024,249.868288,84.0,2378.309632,0.0,0.0,0.0,4.875,58569.0,0.7183653193942036,27976.654848,2.654208,19503.0,0.08100000000013097,2958.209024,0.0,94878.0,11.3,5.75,11880.046592,58.0,,,,,,,,,,,,,,
11,11,,,1696170126,5.375,0.0,0.10000000000000853,3269.210112,0.004083765171350996,88405.0,1.3002883778035934,249.868288,85.0,2524.925952,0.0,0.0,0.0,4.875,60522.0,0.7580728381324355,27826.688,2.654208,19506.0,0.08199999999987995,3129.008128,0.0,99332.0,11.8,5.75,12251.779072,60.0,,,,,,,,,,,,,,
12,12,,,1696170127,5.375,0.0,0.10800000000000409,3204.784128,0.004083254627423083,93848.0,1.3849490532123558,457.457664,86.0,2583.564288,0.0,0.0,0.0,4.875,62652.0,0.8061158094291353,27878.526976,2.654208,19524.0,0.08199999999987995,2988.683264,0.0,104637.0,11.7,5.75,12686.340096,61.0,,,,,,,,,,,,,,
13,13,,,1696170128,5.5,0.0,0.11200000000000898,3341.656064,0.004085593888019479,98518.0,1.136505291835646,537.841664,87.0,2798.399488,0.0,0.0,0.0,6.5,64476.0,0.6647309132959199,27734.89664,2.654208,19544.0,0.08300000000008367,3152.838656,0.0,108669.0,12.1,6.0,14904.619008,63.0,,,,,,,,,,,,,,
14,14,,,1696170129,5.5,0.0,0.12400000000000944,5546.02496,0.11424578590783122,105449.0,1.1988555590589145,1499.357184,90.0,5960.183808,0.0,0.0,0.0,6.5,66844.0,0.6788204722019175,24569.184256,2.654208,20025.0,0.08599999999978536,5362.225152,0.0,115214.0,22.1,6.0,18141.261824,74.0,,,,,,,,,,,,,,
15,15,,,1696170130,5.5,0.0,0.1280000000000001,6131.24096,0.0040695874379956375,112944.0,1.982127535295916,1786.499072,91.0,6429.380608,0.0,0.0,0.0,6.5,69659.0,1.2443319984368693,23698.014208,2.654208,20217.0,0.08699999999998909,5552.001024,0.0,260514.0,24.9,6.0,21872.49664,78.0,,,,,,,,,,,,,,
16,16,,,1696170131,5.5,0.0,0.14000000000000057,6624.485376,0.008143409079022891,119986.0,1.7060919171040585,2467.96288,93.0,7148.920832,0.0,0.0,0.0,6.5,72040.0,1.2441363605337659,22522.585088,2.654208,20553.0,0.08899999999994179,5598.867456,0.0,356203.0,28.6,6.0,22667.546624,84.0,,,,,,,,,,,,,,
17,17,,,1696170132,5.5,0.0,0.15200000000000102,6829.268992,0.08963381666320999,127001.0,1.7310132965727238,2481.946624,97.0,7004.278784,0.0,0.0,0.0,6.5,74865.0,1.4862152583932664,22306.578432,2.654208,20570.0,0.09200000000009823,5456.932864,0.0,365158.0,29.3,6.0,22791.708672,86.0,0.0011145220000798872,,,,,,,,,,,,,
18,18,,,1696170133,5.625,0.0,0.1599999999999966,7316.692992,0.2816916105899875,129087.0,0.5593804701473761,2594.992128,151.0,7117.6192,0.0,0.0,0.0,8.0,76109.0,0.8424275940376248,21813.78048,2.654208,20570.0,0.1639999999997599,5457.555456,0.0,369248.0,30.9,6.375,22792.23296,89.0,,,,,,,,,,,,,,
19,19,,,1696170134,5.625,0.0,0.16400000000000148,7810.449408,0.004083612771299392,130383.0,0.22664050877628694,2774.511616,152.0,7302.291456,0.0,0.0,0.0,8.0,76636.0,0.6626858091434288,21320.011776,2.654208,20570.0,0.16499999999996362,5467.185152,0.0,375424.0,32.4,6.375,23437.234176,92.0,,,,,,,,,,,,,,
20,20,,,1696170135,5.625,0.0030000000000001137,0.1839999999999975,8032.17408,0.004082847060423119,131400.0,0.41860346398435994,2882.801664,153.0,7477.805056,3.0,0.0,0.21230804711231188,8.0,77186.0,0.40267079127666267,21098.287104,2.654208,20602.0,0.16499999999996362,5542.883328,0.0,377746.0,33.1,6.375,35325.591552,93.0,,1.306000058320933e-06,2.7683539409999867,,,,,,,,,,,
21,21,,,1696170136,5.625,0.0030000000000001137,0.1880000000000024,8074.145792,0.004075038486344597,156696.0,3.6223828940209724,2911.051776,154.0,7542.222848,3.0,0.0,0.0,8.0,85407.0,8.407122762274259,21056.3072,2.654208,20641.0,0.16600000000016735,5581.06624,0.0,398755.0,33.3,6.375,35392.970752,93.0,,,,0.4843781519998629,,,,,,,,,,
22,22,,,1696170137,5.625,0.0030000000000001137,0.19200000000000728,8074.641408,0.004085169339976508,183375.0,3.9628775611542095,2911.051776,155.0,7542.222848,3.0,0.0,0.0,8.0,94277.0,9.098876924656894,21055.807488,2.654208,20641.0,0.16699999999991633,5581.06624,0.0,419992.0,33.3,6.375,35392.970752,93.0,,,,,,,,,,,,,,
23,23,,,1696170138,5.625,0.0030000000000001137,0.19599999999999795,8074.743808,0.04902828094500943,210056.0,3.906941137836738,2911.051776,158.0,7542.222848,3.0,0.0,0.0,7.249999999999999,103114.0,9.29247915142964,21055.717376,2.654208,20641.0,0.16899999999986903,5581.06624,0.0,441268.0,33.3,6.25,35392.970752,93.0,,,,,,,,,,,,,,
24,24,,,1696170139,5.625,0.0030000000000001137,0.20400000000000773,8074.182656,0.004085777529955391,237417.0,4.191002260835016,2911.051776,159.0,7542.222848,3.0,0.0,0.0,7.249999999999999,112160.0,9.027278070113761,21056.274432,2.654208,20641.0,0.17000000000007276,5581.06624,0.0,462730.0,33.3,6.25,35392.970752,93.0,,,,,,,,,,,,,,
25,25,,,1696170140,5.625,0.0030000000000001137,0.2079999999999984,8073.183232,0.004085220823269094,252428.0,2.411102117995406,2911.051776,160.0,7542.222848,3.0,0.0,0.0,7.249999999999999,117204.0,4.599104901078436,21057.277952,2.654208,20641.0,0.17000000000007276,5581.06624,0.0,474465.0,33.3,6.25,35392.970752,93.0,,,,,,,,,,,,,,
26,26,,,1696170141,5.625,0.0030000000000001137,0.2120000000000033,8072.720384,0.004085340314388442,255670.0,0.7851274040206986,2911.051776,161.0,7542.222848,3.0,0.0,0.0,7.249999999999999,118543.0,0.45090347877973974,21057.736704,2.654208,20641.0,0.17099999999982174,5581.06624,0.0,477092.0,33.3,6.25,35392.970752,93.0,,,,,,,,,,,,,,
27,27,,,1696170142,5.625,0.0030000000000001137,0.21600000000000819,8072.491008,0.004085319913280545,258024.0,0.5696547744684368,2911.051776,162.0,7542.222848,3.0,0.0,0.0,7.249999999999999,119498.0,0.31923743044677066,21057.96608,2.654208,20641.0,0.17200000000002547,5581.06624,0.0,478973.0,33.3,6.25,35392.970752,93.0,,,,,,,,,,,,,,
28,28,,,1696170143,5.625,0.0030000000000001137,0.22800000000000864,8072.122368,0.1715793154299563,260677.0,0.696657979390094,2911.051776,183.0,7542.222848,3.0,0.0,0.0,6.75,120595.0,0.37078973062071807,21058.338816,2.654208,20641.0,0.19399999999995998,5581.06624,0.0,481126.0,33.3,6.125,35392.970752,93.0,,,,,,,,,,,,,,
29,29,,,1696170144,5.625,0.0030000000000001137,0.23199999999999932,8071.856128,0.004085615261666143,262969.0,0.5747231798443371,2911.051776,184.0,7542.222848,3.0,0.0,0.0,6.75,121536.0,0.3142332879636734,21058.60096,2.654208,20641.0,0.1950000000001637,5581.06624,0.0,482983.0,33.3,6.125,35392.970752,93.0,,,,,,,,,,,,,,
30,30,,,1696170145,5.625,0.0030000000000001137,0.2400000000000091,8070.709248,0.07762932996827204,274834.0,3.2453417000570965,2911.051776,189.0,7542.222848,3.0,0.0,0.0,6.75,125609.0,1.8117048120952108,21059.743744,2.654208,20641.0,0.19900000000006912,5581.06624,0.0,492112.0,33.3,6.125,35392.970752,93.0,,,,,,,,,,,,,,
31,31,,,1696170146,5.625,0.0030000000000001137,0.24800000000000466,8072.351744,0.049026462080760204,290897.0,4.430798428691428,2911.051776,193.0,7542.222848,3.0,0.0,0.0,6.75,130908.0,2.514473400337262,21058.10944,2.654208,20641.0,0.20299999999997453,5581.06624,0.0,504358.0,33.3,6.125,35392.970752,93.0,,,,,,,,,,,,,,
32,32,,,1696170147,5.625,0.0030000000000001137,0.25200000000000955,8073.060352,0.008174027795991589,311924.0,5.814719199360634,2911.051776,195.0,7542.222848,3.0,0.0,0.0,6.75,137822.0,3.329519398558373,21057.400832,2.654208,20641.0,0.2039999999997235,5581.06624,0.0,520269.0,33.3,6.125,35392.970752,93.0,,,,,,,,,,,,,,
33,33,,,1696170148,5.75,0.0030000000000001137,0.2560000000000002,8073.09312,0.004084323421538757,330493.0,5.203108950546584,2911.051776,196.0,7542.222848,3.0,0.0,0.0,9.25,144013.0,2.9221020690731003,21057.368064,2.654208,20641.0,0.20499999999992724,5581.06624,0.0,534495.0,33.3,6.625,35392.970752,93.0,,,,,,,,,,,,,,
34,34,,,1696170149,5.75,0.0030000000000001137,0.2600000000000051,8072.962048,0.004085662871451409,336638.0,2.9782008600757486,2911.051776,197.0,7542.222848,3.0,0.0,0.0,9.25,146352.0,1.0211922834871425,21057.499136,2.654208,20641.0,0.20600000000013097,5581.06624,0.0,539356.0,33.3,6.625,35392.970752,93.0,,,,,,,,,,,,,,
35,35,,,1696170150,5.75,0.0030000000000001137,0.27200000000000557,8072.822784,0.03677100083300771,337359.0,0.43100592382867553,2911.051776,200.0,7542.222848,3.0,0.0,0.0,9.25,146663.0,0.11294634239943062,21057.634304,2.654208,20641.0,0.20800000000008367,5581.06624,0.0,539926.0,33.3,6.625,35392.970752,93.0,,,,,,,,,,,,,,
